index,node,Zone,is_slack,Pd,Qd,Vmax,Vmin,Gs,Bs,baseKV
1,1,PJM_AP,0,0,0,1.1,0.9,0,0,0
2,2,PJM_ATSI,0,0,0,1.1,0.9,0,0,0
3,3,PJM_COMD,0,0,0,1.1,0.9,0,0,0
4,4,PJM_Dom,0,0,0,1.1,0.9,0,0,0
5,5,PJM_EMAC,0,0,0,1.1,0.9,0,0,0
6,6,PJM_PENE,0,0,0,1.1,0.9,0,0,0
7,7,PJM_SMAC,0,0,0,1.1,0.9,0,0,0
8,8,PJM_WMAC,0,0,0,1.1,0.9,0,0,0
9,9,PJM_West,1,0,0,1.1,0.9,0,0,0
10,10,ATLSHR,0,0,0,1.1,0.9,0,0,0
11,11,OCN1,0,0,0,1.1,0.9,0,0,0
12,12,OCN2,0,0,0,1.1,0.9,0,0,0
13,13,SKPJK1,0,0,0,1.1,0.9,0,0,0
14,14,SKPJK2,0,0,0,1.1,0.9,0,0,0
15,15,MRWN,0,0,0,1.1,0.9,0,0,0
16,16,MMTM,0,0,0,1.1,0.9,0,0,0
17,17,CVOW,0,0,0,1.1,0.9,0,0,0
