index,type,location_node,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,c2,c1,c0,SUcost,SDcost,RUrate,RDrate,UPtime,DNtime,Zone,PlannedRetirementYear,CO2mtonperMWh,SO2mtonperMWh,NOxmtonperMWh,PM25mtonperMWh,*Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,Owner Name,Owner Percent,Holding Company,Holding Company Percent,Latitude,Longitude,ave_marg_damages_isrm_Krewski,ave_marg_damages_isrm_LePeule,ave_marg_damages_imputed
1,Combustion Turbine,9,0,0,0,0,0,1,0,104,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT1,54,G,GT1,50,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,104,12578,1999,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,,,,,,,,,,0.05603,0.05603,0.05603,0.05603,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,13.52992448,30.42484127,FALSE
2,Combustion Turbine,9,0,0,0,0,0,1,0,104,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT2,54,G,GT2,51,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,104,12578,1999,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,,,,,,,,,,0.08005,0.08005,0.08005,0.08005,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,29.86001312,67.14580827,FALSE
3,Combustion Turbine,9,0,0,0,0,0,1,0,104,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT3,54,G,GT3,52,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,104,12578,1999,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,,,,,,,,,,0.0755,0.0755,0.0755,0.0755,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,37.36331439,84.01822041,FALSE
4,Combustion Turbine,9,0,0,0,0,0,1,0,74,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2031,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT4,54,G,GT4,9271,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,74,12578,2001,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O,,,,,,,,,,0.03337,0.03337,0.03337,0.03337,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,6.830643814,15.36017259,FALSE
5,Combustion Turbine,9,0,0,0,0,0,1,0,74,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2031,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT5,54,G,GT5,9272,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,74,12578,2001,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O,,,,,,,,,,0.03396,0.03396,0.03396,0.03396,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,5.76774169,12.96915216,FALSE
6,Combustion Turbine,9,0,0,0,0,0,1,0,74,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2035,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT6,54,G,GT6,89572,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,74,12578,2005,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O,,,,,,,,,,0.03624,0.03624,0.03624,0.03624,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,5.422231337,12.19275549,FALSE
7,Combustion Turbine,9,0,0,0,0,0,1,0,74,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2035,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT7,54,G,GT7,89573,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,74,12578,2005,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O,,,,,,,,,,0.03237,0.03237,0.03237,0.03237,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,6.25152141,14.05763666,FALSE
8,Combustion Turbine,9,0,0,0,0,0,1,0,88,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2040,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT10,54,G,GT10,90542,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,88,12578,2010,9999,,,N,Natural Gas,,,,H2O,SCR,,,,,,,,,0.01224,0.0118,0.01224,0.0118,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,6.159469722,13.85084452,FALSE
9,Combustion Turbine,9,0,0,0,0,0,1,0,88,0,0,343.0438267,0,0,0,400,400,1,1,PJM_West,2040,0.877847527,0.001864909,0.021010779,3.83E-05,J K Smith,54_G_GT9,54,G,GT9,90541,Combustion Turbine,,PJM_West,Kentucky,21,Clark,49,21049,88,12578,2010,9999,,,N,Natural Gas,,,,H2O,SCR,,,,,,,,,0.01307,0.01248,0.01307,0.01248,,,,,,,,,,,,East Kentucky Power Coop,100,East Kentucky Power Coop,100,37.8824,-84.1025,5.192090871,11.67561276,FALSE
10,Combustion Turbine,5,0,0,0,0,0,1,0,25,0,0,343.0438267,0,0,0,400,400,1,1,PJM_EMAC,2003,0.877847527,0.001864909,0.021010779,3.83E-05,Christiana,591_G_CH11,591,G,CH11,378,Combustion Turbine,,PJM_EMAC,Delaware,10,New Castle,3,10003,25,23603,1973,9999,,,N,Distillate Fuel Oil,,,,H2O,,,,,,,,,,0.52275,0.52275,0.52275,0.52275,,,,,,,,,,,,Calpine Mid Atlantic Generation LLC,100,Energy Capital Partners,100,39.731945,-75.537222,134.0091168,301.3442509,FALSE
