,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW
252,5031.370116,6844.393295,9192.856691,11357.91284,15015.79432,1881.891733,6607.523189,5758.373068,19136.5362,0,0,0,0,0,0,0,0
252,5190.556542,7136.77516,9026.681882,11785.88894,15643.72856,1973.32194,6959.808272,6046.120376,20039.31896,0,0,0,0,0,0,0,0
252,5514.474819,7727.777848,9094.295852,12502.38308,16901.70327,2133.865658,7609.667947,6626.078994,21866.40869,0,0,0,0,0,0,0,0
252,5665.575666,8048.195619,9588.109997,13031.60136,17821.03507,2198.987113,7960.059527,6926.371443,22718.58884,0,0,0,0,0,0,0,0
252,5851.968847,8347.484918,10399.15676,13429.57551,18422.63033,2253.091657,8186.871997,7092.462411,23457.27499,0,0,0,0,0,0,0,0
252,6029.10114,8599.628203,11032.16769,13801.73214,18927.90721,2304.821464,8406.617117,7238.954919,24405.08064,0,0,0,0,0,0,0,0
252,6261.441345,8879.255647,11654.64007,14149.09231,19341.27522,2355.998275,8567.861633,7377.149431,25409.94471,0,0,0,0,0,0,0,0
252,6426.351049,9099.099004,12124.21133,14340.8312,19450.02953,2374.830102,8650.285476,7441.412447,26595.73276,0,0,0,0,0,0,0,0
252,6616.732375,9289.782882,12542.79211,14502.66642,19581.90645,2387.864057,8714.662855,7515.936465,27731.76524,0,0,0,0,0,0,0,0
252,6795.20452,9584.97321,12835.83596,14787.22399,19796.94637,2423.629884,8778.159225,7612.804303,28924.96503,0,0,0,0,0,0,0,0
252,6851.870358,9761.924233,13187.95861,14959.23109,20008.02398,2421.06865,8846.004862,7618.133126,29745.04662,0,0,0,0,0,0,0,0
252,6838.212488,9964.726377,13606.32048,15058.11435,20238.95179,2427.274115,8878.021123,7609.096779,30419.87242,0,0,0,0,0,0,0,0
252,6919.858379,10055.00893,13910.75705,15231.25668,20419.90219,2435.671506,9028.099888,7667.275658,30818.24241,0,0,0,0,0,0,0,0
252,6879.799013,10061.83406,14180.0836,15249.88589,20576.29506,2446.910983,9146.457249,7662.522736,30943.63105,0,0,0,0,0,0,0,0
