,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW
49,4842.877469,7320.419839,10182.55649,9554.895793,12034.04436,1872.851336,5395.573439,5269.300174,20036.32233,0,0,0,0,0,0,0,0
49,4992.521042,7477.794515,10030.42678,9697.269937,12213.43123,1916.614705,5485.357347,5407.398368,20490.98035,0,0,0,0,0,0,0,0
49,5184.244352,7794.845835,9984.401882,10187.5611,12920.49287,2014.802357,5828.688362,5777.376603,21669.34679,0,0,0,0,0,0,0,0
49,5563.496689,8431.677627,10216.42604,11056.73771,14318.83152,2177.428317,6496.787396,6425.571839,23592.94848,0,0,0,0,0,0,0,0
49,5836.101926,8914.439639,10811.91761,11544.29575,15305.73415,2279.689269,6864.185726,6793.013257,24804.51872,0,0,0,0,0,0,0,0
49,5917.573069,9053.103119,11765.11689,11720.54633,15822.44374,2320.827075,7029.217554,6951.233274,24823.03221,0,0,0,0,0,0,0,0
49,5969.318135,9124.222997,12227.99748,11684.00246,16096.54159,2351.176967,7093.010518,7041.804646,24902.47154,0,0,0,0,0,0,0,0
49,5972.637334,9127.642198,12332.80925,11677.11513,16297.1715,2372.647229,7091.691167,7058.58826,24868.06145,0,0,0,0,0,0,0,0
49,5994.148179,9037.616262,12267.50868,11603.87413,16346.82887,2363.386261,7080.832901,7085.141768,24567.73319,0,0,0,0,0,0,0,0
49,5955.97496,8950.075809,12209.01583,11541.47283,16373.49483,2339.954494,7055.040592,7109.373475,24476.97518,0,0,0,0,0,0,0,0
49,6000.874547,8795.786486,12028.45421,11580.5616,16406.04794,2343.829937,7063.866964,7141.857798,24210.04968,0,0,0,0,0,0,0,0
49,5985.079986,8672.04433,11889.12939,11493.25384,16545.16669,2290.948332,7092.346145,7113.320855,23986.1424,0,0,0,0,0,0,0,0
49,6000.002048,8604.760237,11882.05302,11660.51829,16847.97693,2274.542729,7177.678708,7144.552655,23829.5416,0,0,0,0,0,0,0,0
49,6124.477746,8659.373575,11891.61727,11929.32713,17351.52556,2299.493001,7400.053879,7220.450113,23984.45588,0,0,0,0,0,0,0,0
49,6210.490715,8800.666136,11943.67571,12400.68178,18048.77992,2322.15124,7655.562676,7396.156672,24304.83117,0,0,0,0,0,0,0,0
