datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,MIDATL,444.796
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,SOUTH,193.769
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,WEST,3098.822
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,RTO,3737.387
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,RFC,3543.618
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,MIDATL,496.060
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,SOUTH,223.611
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,WEST,2823.412
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,RTO,3543.083
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,RFC,3319.472
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,MIDATL,600.131
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,SOUTH,209.315
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,WEST,2815.107
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,RTO,3624.553
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,RFC,3415.238
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,MIDATL,616.684
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,SOUTH,168.457
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,WEST,2842.865
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,RTO,3628.006
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,RFC,3459.549
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,MIDATL,570.549
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,SOUTH,135.256
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,WEST,2999.968
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,RTO,3705.773
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,RFC,3570.517
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,MIDATL,485.086
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,SOUTH,149.730
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,WEST,2746.616
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,RTO,3381.432
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,RFC,3231.702
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,MIDATL,333.469
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,SOUTH,118.018
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,WEST,2480.087
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,RTO,2931.574
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,RFC,2813.556
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,MIDATL,266.927
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,SOUTH,143.042
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,WEST,2531.684
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,RTO,2941.653
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,RFC,2798.611
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,MIDATL,266.813
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,SOUTH,129.988
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,WEST,2716.431
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,RTO,3113.232
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,RFC,2983.244
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,MIDATL,290.992
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,SOUTH,107.810
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,WEST,3637.275
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,RTO,4036.077
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,RFC,3928.267
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,MIDATL,222.193
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,SOUTH,151.523
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,WEST,3963.804
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,RTO,4337.520
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,RFC,4185.997
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,MIDATL,237.167
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,SOUTH,195.333
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,WEST,4130.555
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,RTO,4563.055
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,RFC,4367.722
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,MIDATL,245.972
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,SOUTH,198.807
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,WEST,4543.016
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,RTO,4987.795
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,RFC,4788.988
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,MIDATL,215.311
