EIA_Utility_ID,EIA_Plant_Code,EIA_State,EIA_Type,EIA_Utility_Name,EIA_Plant_Name,EIA_Nameplate_Capacity_(MW)_sum,EIA_Zip,EIA_County,geometry,ave_marg_damages_isrm_Krewski,ave_marg_damages_isrm_LePeule,annual_grossLoad_MWh_2016,VOC_shortton_2016,NOx_shortton_2016,NH3_shortton_2016,SOx_shortton_2016,PM2_5_shortton_2016,unique_match
22379,540,CT,Oil,Connecticut Jet Power LLC,Branford,21.8,6450,NEW HAVEN,POINT (-72.7942 41.2925),32.372786692212685,72.79641688099218,316.73,0.00118769,1.90374,0.0,0.00438471,0.000242255,True
22379,542,CT,Oil,Connecticut Jet Power LLC,Cos Cob,115.0,6430,FAIRFIELD,POINT (-73.5989 41.0289),67.52608452581626,151.84477469301783,671.8199999999999,0.0041101290000000006,1.7123270000000002,0.0,0.015171859999999999,0.12018780000000001,True
22350,544,CT,Oil,Devon Power LLC,Devon Station,222.6,6460,NEW HAVEN,POINT (-73.108976 41.209797),9.758940313418861,21.945251424214803,17388.23,0.12799752499999997,5.870038,0.21271347000000002,0.11716418800000002,1.09545303,True
22380,546,CT,Oil,NRG Montville Operations Inc,Montville Station,495.3,6382,NEW LONDON,POINT (-72.1019 41.4281),58.57650984713109,131.72030119609553,14186.58,0.46910799999999997,16.998,0.46777199999999997,26.099000000000004,2.308593102,True
54895,557,CT,Oil,FirstLight Power Resources Services LLC,Tunnel,18.5,6365,NEW LONDON,POINT (-72.041829 41.555425),107.89486575663886,242.6216616736492,64.61,0.000694397,0.91368,0.0,0.138423,0.015025,True
22379,561,CT,Oil,Connecticut Jet Power LLC,Franklin Drive,21.8,6790,LITCHFIELD,POINT (-73.116267 41.798943),92.03092437482519,206.9482784621796,92.06,0.000517685,0.8211009999999997,0.0,0.00191118,0.000105593,True
12490,562,CT,Oil,Middletown Power LLC,Middletown,433.4,6457,MIDDLESEX,POINT (-72.579075 41.554944),8.533140379935503,19.188444662839174,287463.73,7.862554930000001,245.72453099999996,12.1931525,29.6940447801,6.707827861999999,True
12490,562,CT,Gas_Steam,Middletown Power LLC,Middletown,353.0,6457,MIDDLESEX,POINT (-72.579075 41.554944),8.533140379935503,19.188444662839174,287463.73,7.862554930000001,245.72453099999996,12.1931525,29.6940447801,6.707827861999999,True
4426,563,CT,Oil,NAES Corp,South Meadow,167.2,6162,HARTFORD,POINT (-72.6524 41.7495),224.25917303934693,504.6230196207762,1525.01,0.005015421999999999,8.916574,0.6036745,0.018538819999999998,0.2871181,True
22379,565,CT,Oil,Connecticut Jet Power LLC,Torrington Terminal,21.8,6790,LITCHFIELD,POINT (-73.120886 41.776109),151.1982809824067,339.99726745365115,53.37,0.000472424,0.815741,0.0,0.00174409,9.46552e-05,True
5221,566,CT,Nuclear,Dominion Nuclear Conn Inc,Millstone,2162.9,6385,NEW LONDON,POINT (-72.1677 41.3107),,,,,,,,,True
15452,568,CT,Coal,PSEG Power Connecticut LLC,Bridgeport Station,400.0,6604,FAIRFIELD,POINT (-73.1844 41.1706),24.57722848188132,55.26698739267886,220598.37000000002,4.041285908,153.840589,0.2815069,238.77780140000002,0.96746641,True
15452,568,CT,Oil,PSEG Power Connecticut LLC,Bridgeport Station,18.6,6604,FAIRFIELD,POINT (-73.1844 41.1706),24.57722848188132,55.26698739267886,220598.37000000002,4.041285908,153.840589,0.2815069,238.77780140000002,0.96746641,True
13831,581,CT,Oil,City of Norwich - (CT),North Main Street,19.0,6360,NEW LONDON,POINT (-72.064935 41.52679),64.50713572517998,145.0566646773077,335.24,0.00195126,4.18806,0.0,0.0403767,0.056702,True
1179,1468,ME,Oil,Emera Maine,Eastport,2.0,4631,WASHINGTON,POINT (-67.0033 44.9136),,,,,,,,,True
14876,1484,ME,Oil,FPL Energy Cape LLC,Cape Gas Turbine,35.0,4106,CUMBERLAND,POINT (-70.2544 43.6436),,,,,,,,,True
31719,1507,ME,Oil,FPL Energy Wyman LLC,William F Wyman,846.0,4096,CUMBERLAND,POINT (-70.1567 43.7508),19.63728076335974,44.16033272910863,104105.77,2.7360873999999997,69.65,2.8967766,360.99999999999994,0.7121086400000001,True
6035,1586,MA,Oil,Exelon Power,Exelon Framingham LLC,42.6,1701,NORFOLK,POINT (-71.3983 42.2672),,,,,,,,,True
6035,1587,MA,Oil,Exelon Power,Exelon L Street,18.6,2127,SUFFOLK,POINT (-71.0353 42.3392),,,,,,,,,True
49965,1588,MA,Oil,Constellation Mystic Power LLC,Mystic Generating Station,631.2,2129,MIDDLESEX,POINT (-71.0675 42.3908),6.361723110079765,14.308428719639778,7102238.74,56.1057,464.54699999999997,161.595425,765.886,15.050583999999999,True
49965,1588,MA,Gas_CCGT,Constellation Mystic Power LLC,Mystic Generating Station,1744.4,2129,MIDDLESEX,POINT (-71.0675 42.3908),6.361723110079765,14.308428719639778,7102238.74,56.1057,464.54699999999997,161.595425,765.886,15.050583999999999,True
29926,1590,MA,Nuclear,Entergy Nuclear Generation Co,Pilgrim Nuclear Power Station,670.0,2360,PLYMOUTH,POINT (-70.578 41.9438),,,,,,,,,True
6035,1592,MA,Oil,Exelon Power,Exelon Medway LLC,135.0,2053,NORFOLK,POINT (-71.446441 42.140028),195.8320218154695,440.36728158406913,3364.480000000001,0.026199999999999998,49.61999999999999,1.2636,1.9700000000000002,0.826368,True
59528,1595,MA,Gas_CCGT,Veolia - Kendall Green Energy,Kendall Square Station,253.6,2142,MIDDLESEX,POINT (-71.0792 42.3633),11.329097350127995,25.477757753804326,1157261.13,15.3775,80.9185,2.7623,4.275600000000001,24.734882,True
59528,1595,MA,Oil,Veolia - Kendall Green Energy,Kendall Square Station,20.0,2142,MIDDLESEX,POINT (-71.0792 42.3633),11.329097350127995,25.477757753804326,1157261.13,15.3775,80.9185,2.7623,4.275600000000001,24.734882,True
21461,1597,MA,Oil,NRG Canal LLC,Oak Bluffs Diesel Generating Facility,8.1,2557,DUKES,POINT (-70.608273 41.425786),,,,,,,,,True
21461,1599,MA,Oil,NRG Canal LLC,Canal,1165.0,2563,BARNSTABLE,POINT (-70.5097 41.7694),3.473070389678469,7.809595004888251,71171.51,1.6797955,29.868000000000002,1.7659391,37.903,3.3741654999999997,True
13206,1615,MA,Oil,Nantucket Electric Co,Nantucket,7.4,2554,NANTUCKET,POINT (-70.0517 41.2583),,,,,,,,,True
58534,1619,MA,Coal,Brayton Point Energy LLC,Brayton Point,1124.6,2726,BRISTOL,POINT (-71.1931 41.7103),,,,,,,,,True
58534,1619,MA,Oil,Brayton Point Energy LLC,Brayton Point,475.5,2726,BRISTOL,POINT (-71.1931 41.7103),,,,,,,,,True
56401,1631,MA,Oil,NAEA Energy Massachusetts  LLC,Doreen,21.1,1201,BERKSHIRE,POINT (-73.2058 42.4433),41.34856614833643,92.9791526574154,193.53,0.0,1.12,0.0,0.0023,0.0,True
