facilityId,grossLoad,so2Mass,co2Mass,noxMass,heatInput
540,316.73,0.0,0.0,3.137,5227.5
542,671.8199999999999,0.0,0.0,8.1,13499.4
544,17388.23,0.3400000000000001,12993.179999999998,13.208,168380.967
546,14186.58,26.055,14476.580000000002,17.115000000000002,183689.96899999998
557,64.61,0.0,0.0,0.648,1186.0
561,92.06,0.0,0.0,0.92,1532.5
562,287463.73,29.796,193468.789,245.53099999999998,3173693.338
563,1525.01,0.0,1982.5999999999997,9.847,24473.3
565,53.37,0.0,0.0,0.845,1407.5
568,220598.37,238.765,242327.339,153.662,2311530.221
581,335.24,0.0,0.0,3.526,5876.9
1507,104105.77,360.90200000000004,93552.439,84.536,1089843.034
1586,384.02,0.0,0.0,2.996,10826.8
1587,237.98,0.0,0.0,2.273,6305.1
1588,7102238.74,765.8809999999999,3151483.9880000004,463.406,52001444.084
1592,3364.48,0.0,7623.699999999999,25.302,94093.3
1595,1157261.13,2.483,491950.535,97.85600000000001,8279592.869
1599,71171.51,37.903,44003.736000000004,29.868000000000002,662641.289
1631,193.53,0.0,0.0,1.858,3096.4
1642,43718.09,2.0999999999999996,29983.811,16.399,501401.22699999996
1643,302.17,0.0,0.0,2.976,4960.5
1660,59879.520000000004,0.603,35172.402,20.606,590485.651
1678,6142.599999999999,0.0,56.8,19.79,86912.0
1682,85039.76,4.691,54656.537000000004,70.706,912521.743
2362,402.0,0.0,0.0,3.584,11180.0
2364,402394.07,228.225,396316.424,548.26,3869211.959
2367,420499.56999999995,272.29200000000003,606479.927,275.36899999999997,5856388.661
2369,158.0,0.0,0.0,1.392,4336.2
3236,1417831.25,4.997,958719.075,255.413,16164082.425
6081,83498.25,0.0,65288.299999999996,102.523,1042575.85
6156,54450.65,29.295,47182.466,23.963,674654.752
6635,4067.25,0.013,2436.233,1.28,40001.764
8002,53506.53,40.596,45104.698,44.7,695698.952
10176,989.4100000000001,0.0,1098.7,1.1840000000000002,13555.099999999999
10307,490301.13,2.189,329400.044,218.375,5540559.164
10567,17056.0,0.0,12919.3,15.741,216848.05
10726,479862.75,1.69,335041.125,90.999,5637655.074999999
10823,4569.36,0.0,4917.264999999999,24.644,60602.409
50002,179799.1,0.0,127727.15899999999,22.981,2141554.232
50243,9430.75,0.299,6206.211,3.76,108106.95
50498,109072.84,0.295,57134.857,38.765,957518.653
51030,328389.97,1.237,245003.723,47.336,4119278.7
52026,105598.68000000001,0.224,53797.145000000004,12.979000000000001,905033.289
54056,18625.67,0.059,10159.507,2.553,169528.737
54324,199249.7,0.843,167034.13799999998,30.354,2776640.764
54586,95335.02,0.249,49340.025,9.066,826160.955
54605,2962.8,0.0,2317.468,0.517,35242.11
54805,68806.52,0.24,47497.947,19.447,799262.946
54907,207906.84,0.0,0.0,48.446,1604441.453
55026,604812.15,1.419,281032.199,28.567,4728876.188
55031,175322.22,0.685,114877.974,16.266,1931479.418
55041,844783.98,1.854,367337.741,49.889,6181203.783
55042,3553011.99,7.791,1543234.4309999999,209.898,25967817.481
55048,1163525.73,2.498,494723.749,53.972,8324708.495
55068,340225.56,1.25,247609.76799999998,37.519,4166409.8949999996
55079,1187375.65,3.787,750205.523,82.412,12623651.19
55100,424407.9,0.926,183510.142,29.58,3087943.509
55107,2344147.26,4.818,954220.865,58.753,16056541.276
55126,3245707.49,6.866,1360060.965,80.739,22885683.051
55149,3406381.08,11.897,2356579.0560000003,117.118,39656753.387
55170,2248022.3899999997,7.259,1437863.827,100.487,24194825.031
55211,1467386.57,4.612,913564.926,56.55,15372582.072999999
55212,1019552.16,3.326,658869.208,40.941,11086890.643
55294,2343729.4,4.629,916992.8189999999,116.65700000000001,15430195.201000001
55317,3914176.51,8.370000000000001,1658523.241,113.447,27901360.019
55517,213828.04,0.613,114022.092,9.172,1918662.883
55661,1323708.54,2.917,566081.321,57.349999999999994,9520840.602
56629,41990.57,1.277,22922.085,4.311,384864.278
56798,4106282.2800000003,8.547,1700649.21,99.33500000000001,28554842.307
