Scenario,Zone Number,Zone,Technology,Epoch,Capacity (MW)
MO,1,ME,Battery,1,0.0
MO,1,ME,Battery,2,0.0
MO,1,ME,Battery,3,0.0
MO,1,ME,Battery,4,0.0
MO,1,ME,NG-CC-CCS,1,0.0
MO,1,ME,NG-CC-CCS,2,0.0
MO,1,ME,NG-CC-CCS,3,0.0
MO,1,ME,NG-CC-CCS,4,0.0
MO,1,ME,NG-CT,1,0.0
MO,1,ME,NG-CT,2,0.0
MO,1,ME,NG-CT,3,0.0
MO,1,ME,NG-CT,4,0.0
MO,1,ME,Solar PV,1,0.0
MO,1,ME,Solar PV,2,0.0
MO,1,ME,Solar PV,3,0.0
MO,1,ME,Solar PV,4,0.0
MO,1,ME,Wind,1,2428.2683190733246
MO,1,ME,Wind,2,1869.204363463347
MO,1,ME,Wind,3,479.1862633530196
MO,1,ME,Wind,4,190.2160231276868
MO,2,NH,Battery,1,0.0
MO,2,NH,Battery,2,0.0
MO,2,NH,Battery,3,0.0
MO,2,NH,Battery,4,0.0
MO,2,NH,NG-CC-CCS,1,0.0
MO,2,NH,NG-CC-CCS,2,0.0
MO,2,NH,NG-CC-CCS,3,0.0
MO,2,NH,NG-CC-CCS,4,0.0
MO,2,NH,NG-CT,1,0.0
MO,2,NH,NG-CT,2,0.0
MO,2,NH,NG-CT,3,0.0
MO,2,NH,NG-CT,4,0.0
MO,2,NH,Solar PV,1,0.0
MO,2,NH,Solar PV,2,0.0
MO,2,NH,Solar PV,3,0.0
MO,2,NH,Solar PV,4,0.0
MO,2,NH,Wind,1,1611.4550995309316
MO,2,NH,Wind,2,0.0
MO,2,NH,Wind,3,0.0
MO,2,NH,Wind,4,0.0
MO,3,VT,Battery,1,0.0
MO,3,VT,Battery,2,0.0
MO,3,VT,Battery,3,0.0
MO,3,VT,Battery,4,0.0
MO,3,VT,NG-CC-CCS,1,0.0
MO,3,VT,NG-CC-CCS,2,0.0
MO,3,VT,NG-CC-CCS,3,0.0
MO,3,VT,NG-CC-CCS,4,0.0
MO,3,VT,NG-CT,1,0.0
MO,3,VT,NG-CT,2,0.0
MO,3,VT,NG-CT,3,0.0
MO,3,VT,NG-CT,4,0.0
MO,3,VT,Solar PV,1,0.0
MO,3,VT,Solar PV,2,0.0
MO,3,VT,Solar PV,3,0.0
MO,3,VT,Solar PV,4,0.0
MO,3,VT,Wind,1,2252.8366378725805
MO,3,VT,Wind,2,0.0
MO,3,VT,Wind,3,0.0
MO,3,VT,Wind,4,0.0
MO,4,WCMA,Battery,1,0.0
MO,4,WCMA,Battery,2,0.0
MO,4,WCMA,Battery,3,0.0
MO,4,WCMA,Battery,4,0.0
MO,4,WCMA,NG-CC-CCS,1,0.0
MO,4,WCMA,NG-CC-CCS,2,0.0
MO,4,WCMA,NG-CC-CCS,3,0.0
MO,4,WCMA,NG-CC-CCS,4,0.0
MO,4,WCMA,NG-CT,1,0.0
MO,4,WCMA,NG-CT,2,0.0
MO,4,WCMA,NG-CT,3,0.0
MO,4,WCMA,NG-CT,4,0.0
MO,4,WCMA,Solar PV,1,0.0
MO,4,WCMA,Solar PV,2,0.0
MO,4,WCMA,Solar PV,3,0.0
MO,4,WCMA,Solar PV,4,0.0
MO,4,WCMA,Wind,1,2999.9410523353995
MO,4,WCMA,Wind,2,0.0
MO,4,WCMA,Wind,3,0.0
MO,4,WCMA,Wind,4,0.0
MO,5,NEMA,Battery,1,0.0
MO,5,NEMA,Battery,2,0.0
MO,5,NEMA,Battery,3,0.0
MO,5,NEMA,Battery,4,0.0
MO,5,NEMA,NG-CC-CCS,1,0.0
MO,5,NEMA,NG-CC-CCS,2,0.0
MO,5,NEMA,NG-CC-CCS,3,0.0
MO,5,NEMA,NG-CC-CCS,4,0.0
MO,5,NEMA,NG-CT,1,0.0
MO,5,NEMA,NG-CT,2,0.0
MO,5,NEMA,NG-CT,3,813.6644330866885
MO,5,NEMA,NG-CT,4,1845.4047686351548
MO,5,NEMA,Solar PV,1,0.0
MO,5,NEMA,Solar PV,2,0.0
MO,5,NEMA,Solar PV,3,0.0
MO,5,NEMA,Solar PV,4,0.0
MO,5,NEMA,Wind,1,5274.50002059897
MO,5,NEMA,Wind,2,0.0
MO,5,NEMA,Wind,3,0.0
MO,5,NEMA,Wind,4,0.0
MO,6,CT,Battery,1,0.0
MO,6,CT,Battery,2,0.0
MO,6,CT,Battery,3,0.0
MO,6,CT,Battery,4,0.0
MO,6,CT,NG-CC-CCS,1,0.0
MO,6,CT,NG-CC-CCS,2,0.0
MO,6,CT,NG-CC-CCS,3,0.0
MO,6,CT,NG-CC-CCS,4,0.0
MO,6,CT,NG-CT,1,0.0
MO,6,CT,NG-CT,2,0.0
MO,6,CT,NG-CT,3,0.0
MO,6,CT,NG-CT,4,0.0
MO,6,CT,Solar PV,1,0.0
MO,6,CT,Solar PV,2,0.0
MO,6,CT,Solar PV,3,0.0
MO,6,CT,Solar PV,4,0.0
MO,6,CT,Wind,1,4063.97659996668
MO,6,CT,Wind,2,3502.517046701904
MO,6,CT,Wind,3,0.0
MO,6,CT,Wind,4,0.0
MO,7,RI,Battery,1,0.0
MO,7,RI,Battery,2,0.0
MO,7,RI,Battery,3,0.0
MO,7,RI,Battery,4,0.0
MO,7,RI,NG-CC-CCS,1,0.0
MO,7,RI,NG-CC-CCS,2,0.0
MO,7,RI,NG-CC-CCS,3,0.0
MO,7,RI,NG-CC-CCS,4,0.0
MO,7,RI,NG-CT,1,0.0
MO,7,RI,NG-CT,2,0.0
MO,7,RI,NG-CT,3,0.0
MO,7,RI,NG-CT,4,0.0
MO,7,RI,Solar PV,1,0.0
MO,7,RI,Solar PV,2,0.0
MO,7,RI,Solar PV,3,0.0
MO,7,RI,Solar PV,4,0.0
MO,7,RI,Wind,1,0.0
MO,7,RI,Wind,2,1012.4062011989458
MO,7,RI,Wind,3,0.0
MO,7,RI,Wind,4,0.0
MO,8,SEMA,Battery,1,0.0
MO,8,SEMA,Battery,2,0.0
MO,8,SEMA,Battery,3,0.0
MO,8,SEMA,Battery,4,0.0
MO,8,SEMA,NG-CC-CCS,1,0.0
MO,8,SEMA,NG-CC-CCS,2,0.0
MO,8,SEMA,NG-CC-CCS,3,0.0
MO,8,SEMA,NG-CC-CCS,4,0.0
MO,8,SEMA,NG-CT,1,0.0
MO,8,SEMA,NG-CT,2,0.0
MO,8,SEMA,NG-CT,3,0.0
MO,8,SEMA,NG-CT,4,0.0
MO,8,SEMA,Solar PV,1,0.0
MO,8,SEMA,Solar PV,2,0.0
MO,8,SEMA,Solar PV,3,0.0
MO,8,SEMA,Solar PV,4,0.0
MO,8,SEMA,Wind,1,0.0
MO,8,SEMA,Wind,2,0.0
MO,8,SEMA,Wind,3,0.0
MO,8,SEMA,Wind,4,0.0
MO,9,VINE,Offshore Storage,1,0.0
MO,9,VINE,Offshore Storage,2,0.0
MO,9,VINE,Offshore Storage,3,0.0
MO,9,VINE,Offshore Storage,4,0.0
MO,9,VINE,NG-CC-CCS,1,0.0
MO,9,VINE,NG-CC-CCS,2,0.0
MO,9,VINE,NG-CC-CCS,3,0.0
MO,9,VINE,NG-CC-CCS,4,0.0
MO,9,VINE,NG-CT,1,0.0
MO,9,VINE,NG-CT,2,0.0
MO,9,VINE,NG-CT,3,0.0
MO,9,VINE,NG-CT,4,0.0
MO,9,VINE,Solar PV,1,0.0
MO,9,VINE,Solar PV,2,0.0
MO,9,VINE,Solar PV,3,0.0
MO,9,VINE,Solar PV,4,0.0
MO,9,VINE,Wind,1,0.0
MO,9,VINE,Wind,2,0.0
MO,9,VINE,Wind,3,0.0
MO,9,VINE,Wind,4,0.0
MO,10,MFLR1,Offshore Storage,1,0.0
MO,10,MFLR1,Offshore Storage,2,0.0
MO,10,MFLR1,Offshore Storage,3,0.0
MO,10,MFLR1,Offshore Storage,4,0.0
MO,10,MFLR1,NG-CC-CCS,1,0.0
MO,10,MFLR1,NG-CC-CCS,2,0.0
MO,10,MFLR1,NG-CC-CCS,3,0.0
MO,10,MFLR1,NG-CC-CCS,4,0.0
MO,10,MFLR1,NG-CT,1,0.0
MO,10,MFLR1,NG-CT,2,0.0
MO,10,MFLR1,NG-CT,3,0.0
MO,10,MFLR1,NG-CT,4,0.0
MO,10,MFLR1,Solar PV,1,0.0
MO,10,MFLR1,Solar PV,2,0.0
MO,10,MFLR1,Solar PV,3,0.0
MO,10,MFLR1,Solar PV,4,0.0
MO,10,MFLR1,Wind,1,0.0
MO,10,MFLR1,Wind,2,0.0
MO,10,MFLR1,Wind,3,0.0
MO,10,MFLR1,Wind,4,0.0
MO,11,MFLR2,Offshore Storage,1,0.0
MO,11,MFLR2,Offshore Storage,2,0.0
MO,11,MFLR2,Offshore Storage,3,0.0
MO,11,MFLR2,Offshore Storage,4,0.0
MO,11,MFLR2,NG-CC-CCS,1,0.0
MO,11,MFLR2,NG-CC-CCS,2,0.0
MO,11,MFLR2,NG-CC-CCS,3,0.0
MO,11,MFLR2,NG-CC-CCS,4,0.0
MO,11,MFLR2,NG-CT,1,0.0
MO,11,MFLR2,NG-CT,2,0.0
MO,11,MFLR2,NG-CT,3,0.0
MO,11,MFLR2,NG-CT,4,0.0
MO,11,MFLR2,Solar PV,1,0.0
MO,11,MFLR2,Solar PV,2,0.0
MO,11,MFLR2,Solar PV,3,0.0
MO,11,MFLR2,Solar PV,4,0.0
MO,11,MFLR2,Wind,1,0.0
MO,11,MFLR2,Wind,2,0.0
MO,11,MFLR2,Wind,3,0.0
MO,11,MFLR2,Wind,4,0.0
MO,12,COMW,Offshore Storage,1,0.0
MO,12,COMW,Offshore Storage,2,0.0
MO,12,COMW,Offshore Storage,3,0.0
MO,12,COMW,Offshore Storage,4,0.0
MO,12,COMW,NG-CC-CCS,1,0.0
MO,12,COMW,NG-CC-CCS,2,0.0
MO,12,COMW,NG-CC-CCS,3,0.0
MO,12,COMW,NG-CC-CCS,4,0.0
MO,12,COMW,NG-CT,1,0.0
MO,12,COMW,NG-CT,2,0.0
MO,12,COMW,NG-CT,3,0.0
MO,12,COMW,NG-CT,4,0.0
MO,12,COMW,Solar PV,1,0.0
MO,12,COMW,Solar PV,2,0.0
MO,12,COMW,Solar PV,3,0.0
MO,12,COMW,Solar PV,4,0.0
MO,12,COMW,Wind,1,0.0
MO,12,COMW,Wind,2,0.0
MO,12,COMW,Wind,3,0.0
MO,12,COMW,Wind,4,0.0
MO,13,PKCTY,Offshore Storage,1,0.0
MO,13,PKCTY,Offshore Storage,2,0.0
MO,13,PKCTY,Offshore Storage,3,0.0
MO,13,PKCTY,Offshore Storage,4,0.0
MO,13,PKCTY,NG-CC-CCS,1,0.0
MO,13,PKCTY,NG-CC-CCS,2,0.0
MO,13,PKCTY,NG-CC-CCS,3,0.0
MO,13,PKCTY,NG-CC-CCS,4,0.0
MO,13,PKCTY,NG-CT,1,0.0
