Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO,Air Quality,1,383841473.0581177,0.0
MO,Air Quality,2,473818702.18066037,23.44124734768282
MO,Air Quality,3,664307685.138395,73.06824086666937
MO,Air Quality,4,1169510511.802213,204.68581273528423
MO,BESS Investment,1,0.0,0.0
MO,BESS Investment,2,0.0,0.0
MO,BESS Investment,3,0.0,0.0
MO,BESS Investment,4,0.0,0.0
MO,Emission,1,5093384175.254458,0.0
MO,Emission,2,4562799137.825422,-10.417141514806879
MO,Emission,3,4768857113.73505,-6.37154100992579
MO,Emission,4,4726417280.167979,-7.204775498171529
MO,Generation Investment,1,7928719765.796854,0.0
MO,Generation Investment,2,8397650443.039774,5.9143303218485155
MO,Generation Investment,3,6926237300.368581,-12.64368643413041
MO,Generation Investment,4,5929147737.565278,-25.219355549144122
MO,Line Investment,1,902884736.4976809,0.0
MO,Line Investment,2,707433816.3509123,-21.647383353154137
MO,Line Investment,3,554292906.155582,-38.608674645924125
MO,Line Investment,4,434302995.8607444,-51.89829019090302
MO,Operation,1,10957855927.733654,0.0
MO,Operation,2,7647706826.352648,-30.207999842407347
MO,Operation,3,7077872042.473171,-35.40823963053287
MO,Operation,4,6845902013.01923,-37.525168626348915
MO EM190,Air Quality,1,203270284.73004878,0.0
MO EM190,Air Quality,2,223784042.6760359,10.091862651361089
MO EM190,Air Quality,3,315110597.34506416,55.020492918354435
MO EM190,Air Quality,4,986114058.8648136,385.1245523537359
MO EM190,BESS Investment,1,276301231.3871104,0.0
MO EM190,BESS Investment,2,525675510.2636636,90.2544942071462
MO EM190,BESS Investment,3,411880517.3632394,49.069374499520904
MO EM190,BESS Investment,4,322719162.81266445,16.79975553946064
MO EM190,Emission,1,9691215540.028637,0.0
MO EM190,Emission,2,8832359663.618977,-8.862210038175691
MO EM190,Emission,3,9346824033.848248,-3.553646131983272
MO EM190,Emission,4,9662511848.815628,-0.29618256961111883
MO EM190,Generation Investment,1,15728420233.769304,0.0
MO EM190,Generation Investment,2,15309890020.032074,-2.6609806167223056
MO EM190,Generation Investment,3,13482491006.317707,-14.279432988632463
MO EM190,Generation Investment,4,11404821148.131397,-27.489086770170555
MO EM190,Line Investment,1,811821834.5862045,0.0
MO EM190,Line Investment,2,636083649.9087201,-21.64738335315412
MO EM190,Line Investment,3,498388183.76624477,-38.60867464592409
MO EM190,Line Investment,4,390500183.0395436,-51.898290190903
MO EM190,Operation,1,9907367373.586529,0.0
MO EM190,Operation,2,4875173716.248179,-50.79244028796586
MO EM190,Operation,3,4232156490.574475,-57.28273383848077
MO EM190,Operation,4,3986991604.6231604,-59.757305303398226
MO EM190 X5,Air Quality,1,189948531.63863528,0.0
MO EM190 X5,Air Quality,2,198675685.37794736,4.594483391908986
MO EM190 X5,Air Quality,3,311645934.89550656,64.06862017148555
MO EM190 X5,Air Quality,4,931501079.5072149,390.3965676762035
MO EM190 X5,BESS Investment,1,676951776.4663898,0.0
MO EM190 X5,BESS Investment,2,1073980423.103886,58.64947259758145
MO EM190 X5,BESS Investment,3,841491763.7767613,24.306013076625824
MO EM190 X5,BESS Investment,4,659330815.7867877,-2.6029861050932475
MO EM190 X5,Emission,1,8777507305.079752,0.0
MO EM190 X5,Emission,2,7539553755.267659,-14.103702871265735
MO EM190 X5,Emission,3,8821075074.940256,0.49635697637403786
MO EM190 X5,Emission,4,9393241884.451424,7.0149138926416095
MO EM190 X5,Generation Investment,1,16929837735.989199,0.0
MO EM190 X5,Generation Investment,2,16771015065.115364,-0.9381228181308066
MO EM190 X5,Generation Investment,3,13907692623.951542,-17.85099868744297
MO EM190 X5,Generation Investment,4,11536033781.575167,-31.85974986014168
MO EM190 X5,Line Investment,1,811821834.5862045,0.0
MO EM190 X5,Line Investment,2,636083649.9087201,-21.64738335315412
MO EM190 X5,Line Investment,3,498388183.76624477,-38.60867464592409
MO EM190 X5,Line Investment,4,390500183.0395436,-51.898290190903
MO EM190 X5,Operation,1,9952828395.088732,0.0
MO EM190 X5,Operation,2,4529819169.100903,-54.487116734212336
MO EM190 X5,Operation,3,3916989238.4570365,-60.644461222802825
MO EM190 X5,Operation,4,3894421116.3431983,-60.87121206405087
MO OPOI,Air Quality,1,379934633.4530342,0.0
MO OPOI,Air Quality,2,450734614.4104364,18.634779439277978
MO OPOI,Air Quality,3,655119156.8935503,72.42943896414569
MO OPOI,Air Quality,4,1147967588.7212803,202.14870865758724
MO OPOI,BESS Investment,1,0.0,0.0
MO OPOI,BESS Investment,2,0.0,0.0
MO OPOI,BESS Investment,3,0.0,0.0
MO OPOI,BESS Investment,4,0.0,0.0
