Scenario,Cost Components,Cost ($),Percentage Difference (%) (Cost ($))
MO,Air Quality,2691478372.179386,-83.06902328057862
MO,BESS Investment,0.0,0.0
MO,Emission,19151457706.98291,-45.09028472792531
MO,Generation Investment,29181755246.770485,31.95328885021988
MO,Line Investment,2598914454.8649197,1.1363868257244023
MO,Operation,32529336809.578705,-3.789929241922029
MO EM190,Air Quality,1728278983.6159625,-89.12811206705962
MO EM190,BESS Investment,1536576421.8266778,inf
MO EM190,Emission,37532911086.31149,7.611728183490516
MO EM190,Generation Investment,55925622408.25048,152.88299985248128
MO EM190,Line Investment,2336793851.300713,-9.06399922678221
MO EM190,Operation,23001689185.032345,-31.96928185158596
MO EM190 X5,Air Quality,1631771231.4193041,-89.73520240171545
MO EM190 X5,BESS Investment,3251754779.1338243,inf
MO EM190 X5,Emission,34531378019.73909,-0.994056743529133
MO EM190 X5,Generation Investment,59144579206.63127,167.43839354354878
MO EM190 X5,Line Investment,2336793851.300713,-9.06399922678221
MO EM190 X5,Operation,22294057918.98987,-34.06220045534082
MO OPOI,Air Quality,2633755993.478301,-83.43213087976262
MO OPOI,BESS Investment,0.0,0.0
MO OPOI,Emission,19235847531.636322,-44.84832814610911
MO OPOI,Generation Investment,28984185369.21856,31.05992260476085
MO OPOI,Line Investment,2218427286.7170696,-13.670217273149444
MO OPOI,Operation,32550921366.859764,-3.7260898899103707
MO OPOI X5,Air Quality,2383484439.897315,-85.00648566225414
MO OPOI X5,BESS Investment,498190960.2703779,inf
MO OPOI X5,Emission,16431091023.153624,-52.88992913777302
MO OPOI X5,Generation Investment,37709470002.43317,70.51368382545947
MO OPOI X5,Line Investment,2165293044.9368243,-15.737928744113486
MO OPOI X5,Operation,29931943507.189896,-11.472083811264495
MO X5,Air Quality,2413946029.5009875,-84.81486440690712
MO X5,BESS Investment,552042962.7429644,inf
MO X5,Emission,16338686328.756138,-53.15486539154545
MO X5,Generation Investment,37931369614.35119,71.51706362011424
MO X5,Line Investment,2336793851.300713,-9.06399922678221
MO X5,Operation,29904285025.683784,-11.553887645088135
SO,Air Quality,15896769671.250067,0.0
SO,BESS Investment,0.0,0.0
SO,Emission,34878085985.49176,0.0
SO,Generation Investment,22115216301.955673,0.0
SO,Line Investment,2569712579.6507854,0.0
SO,Operation,33810739929.06037,0.0
SO X5,Air Quality,16360633555.566574,2.917975751736678
SO X5,BESS Investment,51926920.4104612,inf
SO X5,Emission,34610903047.52284,-0.7660481658312843
SO X5,Generation Investment,24111162538.80546,9.025216889573379
SO X5,Line Investment,2598914454.8649197,1.1363868257244023
SO X5,Operation,34726611224.84028,2.708817664746564
