Scenario,Emission Components,Emission (mt),Percentage Difference (%) (Emission (mt))
MO,CO2,136484832.267399,-41.51473363779573
MO,NOx,3373233.0436312943,1.3119411378322958
MO,PM25,7040.662117992764,-41.58386568337792
MO,SO2,330690.7614125741,-51.764018734167216
MO EM190,CO2,72532057.23179016,-68.91920796965249
MO EM190,NOx,1807522.7869161882,-45.712721349305184
MO EM190,PM25,3483.629841691132,-71.09644159438255
MO EM190,SO2,169503.03068160723,-75.27555660298832
MO EM190 X5,CO2,67454766.45972669,-71.09488345145782
MO EM190 X5,NOx,1686667.573674588,-49.34249613561891
MO EM190 X5,PM25,3305.760927674643,-72.57221392911592
MO EM190 X5,SO2,159704.34144735482,-76.7048356923531
MO OPOI,CO2,136884325.77778938,-41.34354623200856
MO OPOI,NOx,3374106.4725263906,1.3381737685647457
MO OPOI,PM25,7086.141302874286,-41.20652643202256
MO OPOI,SO2,332305.17233880045,-51.528533790892205
MO OPOI X5,CO2,117409783.5195927,-49.68860386464847
MO OPOI X5,NOx,2936771.8341986514,-11.796768455319748
MO OPOI X5,PM25,6708.260285012619,-44.341792394963306
MO OPOI X5,SO2,306435.09197859035,-55.30205533189415
MO X5,CO2,117028982.88364887,-49.85178116614112
MO X5,NOx,2938631.9541254686,-11.74090147011669
MO X5,PM25,6697.829561880602,-44.42833575030232
MO X5,SO2,305677.9276591667,-55.4124985864044
SO,CO2,233366180.504568,0.0
SO,NOx,3329551.290545403,0.0
SO,PM25,12052.598482178873,0.0
SO,SO2,685568.6413636076,0.0
SO X5,CO2,233421988.20648155,0.02391422004374074
SO X5,NOx,3505915.1225719955,5.296924919805121
SO X5,PM25,12835.74093211046,6.497706292046082
SO X5,SO2,710612.7453244815,3.6530410596174243
