fuel,node,status,unit,tech,latitude,longitude,ave_marg_damages_isrm_LePeule,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Coal,2,Existing,Existing Coal 44,Coal,43.1411,-71.4692,105.4654119,NH,9652.422840776026,1274380.563598938,65719747.923047826,MO OPOI X5
Coal,2,Existing,Existing Coal 46,Coal,43.0978,-70.7842,20.39510344,NH,4209.681493634447,611774.8889383455,6358209.158750257,MO OPOI X5
Coal,8,Existing,Existing Coal 29,Coal,41.7103,-71.1931,60.37583423,SEMA,30402.307299154287,3805365.321504978,110457428.27927415,MO OPOI X5
Gas,1,New,New NG-CT 1,NG-CT,45.253333,-69.233333,28.317600000000002,ME,48329.5398370429,7690313.546961122,86179467.7615535,MO OPOI X5
Gas,2,New,New NG-CT 2,NG-CT,43.685,-71.577222,28.317600000000002,NH,96373.89328749708,15276194.59412885,171188640.29466867,MO OPOI X5
Gas,3,New,New NG-CT 3,NG-CT,43.926667,-72.671667,28.317600000000002,VT,29668.274288839308,4763987.71507083,53386370.165572524,MO OPOI X5
Gas,5,New,New NG-CT 5,NG-CT,42.498045,-71.361273,28.317600000000002,NEMA,162888.76102666973,26210302.90197319,299442807.43003315,MO OPOI X5
Oil,1,Existing,Existing Oil 15,Oil,44.9136,-67.0033,133.6953449,ME,9.999999999998636,1150.0000067498434,75220.86919975597,MO OPOI X5
Oil,1,Existing,Existing Oil 16,Oil,43.6436,-70.2544,133.6953449,ME,140.0,16100.000094500003,969485.8331579888,MO OPOI X5
Oil,1,Existing,Existing Oil 17,Oil,43.7508,-70.1567,44.16033273,ME,14038.8979259358,1750829.1866327464,39900463.20655372,MO OPOI X5
Oil,1,Existing,Existing Oil 90,Oil,44.3331,-69.2019,133.6953449,ME,10.0,1150.0000067500002,75220.86919976676,MO OPOI X5
Oil,2,Existing,Existing Oil 112,Oil,43.701916,-72.286735,133.6953449,NH,35.0,4025.0000236250007,263273.04219918366,MO OPOI X5
Oil,2,Existing,Existing Oil 113,Oil,42.971653,-71.87268,133.6953449,NH,10.5,1207.5000070875003,78981.91265975511,MO OPOI X5
Oil,2,Existing,Existing Oil 116,Oil,43.7644,-71.6881,133.6953449,NH,14.0,1610.00000945,105309.21687967345,MO OPOI X5
Oil,2,Existing,Existing Oil 43,Oil,44.595117,-71.494398,133.6953449,NH,71.99999999999682,8280.000048599635,498592.71419551544,MO OPOI X5
Oil,2,Existing,Existing Oil 45,Oil,43.1411,-71.4692,105.4654119,NH,301.6972018329546,34695.178414435395,1720689.741348147,MO OPOI X5
Oil,2,Existing,Existing Oil 47,Oil,43.0978,-70.7842,20.39510344,NH,466.4,61268.000238500004,641815.8033416301,MO OPOI X5
Oil,2,Existing,Existing Oil 48,Oil,43.8478,-71.2069,133.6953449,NH,74.4,8556.000050220002,515212.47133538837,MO OPOI X5
