node,unit,status,latitude,tech,longitude,zone,ave_marg_damages_isrm_LePeule,fuel,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
1,Existing Oil 17,Existing,43.7508,Oil,-70.1567,ME,44.16033273,Oil,3683.0338295718066,1104910.151265514,21841476.779386632,MO OPOI
1,New NG-CT 1,New,45.253333,NG-CT,-69.233333,ME,28.317600000000002,Gas,7492.147884538626,2576598.051721675,28873965.590203285,MO OPOI
2,Existing Coal 44,Existing,43.1411,Coal,-71.4692,NH,105.4654119,Coal,4420.79058691666,1394637.1782645115,68313642.1284263,MO OPOI
2,Existing Coal 46,Existing,43.0978,Coal,-70.7842,NH,20.39510344,Coal,2099.999999999995,687000.0007949985,6600348.07831394,MO OPOI
2,Existing Oil 47,Existing,43.0978,Oil,-70.7842,NH,20.39510344,Oil,211.7164430511367,63514.933052956694,633923.9119499016,MO OPOI
2,Existing Oil 67,Existing,43.1,Oil,-70.790833,NH,13.74748878,Oil,4127.382086691581,1244995.92685816,8328446.995100658,MO OPOI
2,New NG-CT 2,New,43.685,NG-CT,-71.577222,NH,28.317600000000002,Gas,26762.65644120473,9226750.75178298,103397145.52619018,MO OPOI
4,Existing Oil 35,Existing,42.336215,Oil,-73.235486,WCMA,46.07783098,Oil,81.6,24480.00005304,508045.6585302288,MO OPOI
5,New NG-CT 5,New,42.498045,NG-CT,-71.361273,NEMA,28.317600000000002,Gas,134307.27256555247,46510383.90376732,526910964.20078653,MO OPOI
6,Existing Oil 1,Existing,41.2925,Oil,-72.7942,CT,72.79641688,Oil,43.6,13080.00002834,428861.49087295134,MO OPOI
6,Existing Oil 149,Existing,41.362778,Oil,-72.0825,CT,133.6953449,Oil,-1.3322676295501878e-14,-5.462297286507045e-12,-4.3335679648976793e-10,MO OPOI
6,Existing Oil 151,Existing,41.3367,Oil,-72.02,CT,133.6953449,Oil,-2.042810365310288e-14,-8.535394623598868e-12,-6.961001331241595e-10,MO OPOI
6,Existing Oil 153,Existing,41.5694,Oil,-72.1175,CT,133.6953449,Oil,-7.993605777301127e-15,-3.455014058606487e-12,-2.9603513798939877e-10,MO OPOI
6,Existing Oil 154,Existing,41.5683,Oil,-72.2322,CT,133.6953449,Oil,-1.509903313490213e-14,-6.52811139569831e-12,-5.278836814175342e-10,MO OPOI
6,Existing Oil 155,Existing,41.3469,Oil,-72.0411,CT,133.6953449,Oil,-1.5987211554602254e-14,-6.505906928944149e-12,-5.575430980087495e-10,MO OPOI
6,Existing Oil 3,Existing,41.209797,Oil,-73.108976,CT,21.94525142,Oil,1426.3678181040477,427910.3463583534,4437575.221059729,MO OPOI
6,Existing Oil 61,Existing,41.283997,Oil,-72.904323,CT,49.37634365,Oil,1700.615853872694,510184.75726720854,11228782.340509685,MO OPOI
6,Existing Oil 7,Existing,41.554944,Oil,-72.579075,CT,19.18844466,Oil,3782.514717949505,1134754.417843486,10308978.79152348,MO OPOI
8,Existing Coal 29,Existing,41.7103,Coal,-71.1931,SEMA,60.37583423,Coal,6393.129765999633,2066138.932473424,54747086.41507051,MO OPOI
8,Existing Oil 27,Existing,41.7694,Oil,-70.5097,SEMA,7.809595005,Oil,7091.920517614563,2219623.2191688344,7569561.95455874,MO OPOI
