status,tech,unit,zone,latitude,ave_marg_damages_isrm_LePeule,fuel,node,longitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing,Coal,Existing Coal 29,SEMA,41.7103,60.37583423,Coal,8,-71.1931,22400.022604713988,2737097.462888041,77337915.25281753,MO X5
Existing,Coal,Existing Coal 44,NH,43.1411,105.4654119,Coal,2,-71.4692,11716.94226125237,1592758.0958426348,84884042.52059066,MO X5
Existing,Coal,Existing Coal 46,NH,43.0978,20.39510344,Coal,2,-70.7842,4299.999999999994,617000.001677499,6630020.893932355,MO X5
Existing,Oil,Existing Oil 1,CT,41.2925,72.79641688,Oil,6,-72.7942,261.5999999999964,30956.000167859587,1140356.6632546831,MO X5
Existing,Oil,Existing Oil 105,SEMA,42.3436,133.6953449,Oil,8,-71.0559,6.0,690.0000040500001,47521.273966681365,MO X5
Existing,Oil,Existing Oil 112,NH,43.701916,133.6953449,Oil,2,-72.286735,28.0,3220.0000189000007,193897.1666315978,MO X5
Existing,Oil,Existing Oil 113,NH,42.971653,133.6953449,Oil,2,-71.87268,10.5,1207.5000070875003,78981.91265975511,MO X5
Existing,Oil,Existing Oil 116,NH,43.7644,133.6953449,Oil,2,-71.6881,14.0,1610.00000945,105309.21687967345,MO X5
Existing,Oil,Existing Oil 120,SEMA,42.293927,133.6953449,Oil,8,-71.308111,8.7,1000.5000058725002,68905.84725168797,MO X5
Existing,Oil,Existing Oil 140,CT,41.0372,133.6953449,Oil,6,-73.5564,81.24065561667382,9342.675450754934,504006.40335424023,MO X5
Existing,Oil,Existing Oil 145,CT,41.554444,133.6953449,Oil,6,-72.576666,592.6666663999999,68156.66703605001,3900754.925373617,MO X5
Existing,Oil,Existing Oil 146,CT,41.2108,133.6953449,Oil,6,-73.1075,665.1751814739039,76495.1463184922,4341925.418423993,MO X5
Existing,Oil,Existing Oil 149,CT,41.362778,133.6953449,Oil,6,-72.0825,15.599999999999966,1794.0000105299928,103657.8049391735,MO X5
Existing,Oil,Existing Oil 15,ME,44.9136,133.6953449,Oil,1,-67.0033,10.0,1150.0000067500002,75220.86919976676,MO X5
Existing,Oil,Existing Oil 150,CT,41.4711,133.6953449,Oil,6,-72.1022,20.8,2392.0000140400007,126555.42933260837,MO X5
Existing,Oil,Existing Oil 151,CT,41.3367,133.6953449,Oil,6,-72.02,20.799999999999958,2392.0000140399916,155194.16964652296,MO X5
Existing,Oil,Existing Oil 152,CT,41.6041,133.6953449,Oil,6,-71.9825,10.4,1196.0000070200003,77597.08482326183,MO X5
Existing,Oil,Existing Oil 153,CT,41.5694,133.6953449,Oil,6,-72.1175,15.599999999999968,1794.000010529994,103657.80493917357,MO X5
Existing,Oil,Existing Oil 154,CT,41.5683,133.6953449,Oil,6,-72.2322,18.320312789512776,2106.8359831601774,130618.38802348108,MO X5
Existing,Oil,Existing Oil 155,CT,41.3469,133.6953449,Oil,6,-72.0411,20.799999999999958,2392.000014039992,155194.16964652293,MO X5
Existing,Oil,Existing Oil 156,CT,41.5256,133.6953449,Oil,6,-72.0833,8.0,920.0000054000002,59690.06524866294,MO X5
Existing,Oil,Existing Oil 158,CT,41.1117,133.6953449,Oil,6,-73.3928,18.0,2070.0000121500007,119605.1595452009,MO X5
Existing,Oil,Existing Oil 16,ME,43.6436,133.6953449,Oil,1,-70.2544,85.43391768983656,9824.900591999101,545758.2697885175,MO X5
Existing,Oil,Existing Oil 17,ME,43.7508,44.16033273,Oil,1,-70.1567,16966.326743521382,2210867.0973907975,50801272.65746448,MO X5
Existing,Oil,Existing Oil 172,CT,41.691389,133.6953449,Oil,6,-72.768611,4.0,460.0000027000001,29845.03262433147,MO X5
Existing,Oil,Existing Oil 179,CT,41.483611,133.6953449,Oil,6,-72.756389,11.6,1334.0000078300002,86550.59461056125,MO X5
Existing,Oil,Existing Oil 181,CT,41.542778,133.6953449,Oil,6,-72.093611,20.8,2392.0000140400007,126555.42933260837,MO X5
Existing,Oil,Existing Oil 182,SEMA,42.297949,133.6953449,Oil,8,-71.436065,6.0,690.0000040500001,47521.273966681365,MO X5
Existing,Oil,Existing Oil 2,CT,41.0289,151.8447747,Oil,6,-73.5989,144.9999996,16675.000051875002,1094281.2962807482,MO X5
Existing,Oil,Existing Oil 23,SEMA,42.140028,440.3672816,Oil,8,-71.446441,68.3333332,7858.333364125001,1369458.2931627135,MO X5
Existing,Oil,Existing Oil 26,SEMA,41.425786,133.6953449,Oil,8,-70.608273,8.1,931.5000054675,49283.604692025365,MO X5
Existing,Oil,Existing Oil 27,SEMA,41.7694,7.809595005,Oil,8,-70.5097,16114.738194232319,1989263.1744449292,7870686.0657644365,MO X5
Existing,Oil,Existing Oil 3,CT,41.209797,21.94525142,Oil,6,-73.108976,3875.668945201435,484976.68872955145,5439399.251901127,MO X5
Existing,Oil,Existing Oil 30,SEMA,41.7103,133.6953449,Oil,8,-71.1931,1528.4999996000001,175777.50098573754,10241082.114228329,MO X5
Existing,Oil,Existing Oil 31,WCMA,42.4433,92.97915266,Oil,4,-73.2058,210.99999999999682,24265.00014242464,1175462.0340165428,MO X5
Existing,Oil,Existing Oil 35,WCMA,42.336215,46.07783098,Oil,4,-73.235486,326.3999999999995,40800.00018767994,953290.7652288795,MO X5
Existing,Oil,Existing Oil 37,SEMA,42.235,34.13986798,Oil,8,-70.9672,35.1,4144.5000226125,77596.0516857139,MO X5
Existing,Oil,Existing Oil 4,CT,41.4281,131.7203012,Oil,6,-72.1019,2905.975198763667,334187.14981935505,20727704.439425014,MO X5
Existing,Oil,Existing Oil 40,SEMA,42.6986,133.6953449,Oil,8,-70.8697,7.199999999999999,828.0000048600001,57025.52876001763,MO X5
Existing,Oil,Existing Oil 43,NH,44.595117,133.6953449,Oil,2,-71.494398,53.999999999998636,6210.000036449844,358815.47863559367,MO X5
Existing,Oil,Existing Oil 45,NH,43.1411,105.4654119,Oil,2,-71.4692,308.6632643536127,35938.80617873241,1780000.100126294,MO X5
Existing,Oil,Existing Oil 47,NH,43.0978,20.39510344,Oil,2,-70.7842,551.1999999999999,74412.00026182001,826553.7334252377,MO X5
Existing,Oil,Existing Oil 48,NH,43.8478,133.6953449,Oil,2,-71.2069,55.800000000000004,6417.000037665001,370775.99459012283,MO X5
Existing,Oil,Existing Oil 50,VT,43.4011,133.6953449,Oil,3,-72.4203,26.4,3036.0000178200007,160628.04492215678,MO X5
Existing,Oil,Existing Oil 51,VT,43.603,133.6953449,Oil,3,-72.9923,26.4,3036.0000178200007,160628.04492215678,MO X5
Existing,Oil,Existing Oil 52,VT,44.251,133.6953449,Oil,3,-72.6027,65.12868389704587,7489.798692122138,396268.68040665274,MO X5
Existing,Oil,Existing Oil 53,VT,44.4906,133.6953449,Oil,3,-73.1703,36.0,4140.0000243,219038.2430756683,MO X5
Existing,Oil,Existing Oil 54,VT,44.4821,133.6953449,Oil,3,-73.1164,21.988379822345905,2528.663694411936,143852.5067586527,MO X5
Existing,Oil,Existing Oil 55,VT,44.887379,133.6953449,Oil,3,-72.055357,11.2,1288.00000756,83566.0913481281,MO X5
Existing,Oil,Existing Oil 56,VT,44.4814,133.6953449,Oil,3,-73.2239,51.0,5865.000034425001,310304.17769053014,MO X5
Existing,Oil,Existing Oil 57,SEMA,41.392486,133.6953449,Oil,8,-70.620089,10.8,1242.0000072900002,74788.90712933056,MO X5
Existing,Oil,Existing Oil 58,WCMA,42.1978,220.9678966,Oil,4,-72.5106,1538.3999996,176916.00099242,16396437.890218846,MO X5
Existing,Oil,Existing Oil 60,WCMA,42.2747,133.6953449,Oil,4,-71.7172,28.0,3220.0000189000007,170363.07794774201,MO X5
Existing,Oil,Existing Oil 61,CT,41.283997,49.37634365,Oil,6,-72.904323,8373.396646895217,1004872.0022310122,25844722.03486712,MO X5
Existing,Oil,Existing Oil 63,SEMA,42.5131,133.6953449,Oil,8,-70.8583,10.8,1242.0000072900002,74788.90712933056,MO X5
Existing,Oil,Existing Oil 65,VT,43.7089,133.6953449,Oil,3,-73.0631,18.4,2116.00001242,111952.87979423045,MO X5
Existing,Oil,Existing Oil 66,WCMA,42.1483,133.6953449,Oil,4,-72.5911,16.2,1863.000010935,98567.20938405073,MO X5
Existing,Oil,Existing Oil 67,NH,43.1,13.74748878,Oil,2,-70.790833,10839.573435895827,1463330.1240481057,10912654.864930078,MO X5
Existing,Oil,Existing Oil 7,CT,41.554944,19.18844466,Oil,6,-72.579075,8791.808603829992,1137362.3382650763,11054237.585838698,MO X5
Existing,Oil,Existing Oil 73,SEMA,42.339387,535.74911,Oil,8,-71.031407,2.3333331999999984,268.3333195749998,56890.45134673949,MO X5
Existing,Oil,Existing Oil 90,ME,44.3331,133.6953449,Oil,1,-69.2019,10.0,1150.0000067500002,75220.86919976676,MO X5
Existing,Oil,Existing Oil 93,RI,41.744973,133.6953449,Oil,7,-71.458415,20.0,2300.0000135000005,121687.91281981574,MO X5
New,NG-CT,New NG-CT 2,NH,43.685,28.317600000000002,Gas,2,-71.577222,34856.85231685874,5632580.98284199,63120031.22642309,MO X5
New,NG-CT,New NG-CT 5,NEMA,42.498045,28.317600000000002,Gas,5,-71.361273,315110.03440569266,50664900.66870586,579159420.5048833,MO X5
