unit,ave_marg_damages_isrm_LePeule,node,tech,longitude,zone,latitude,status,fuel,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing Coal 29,60.37583423,8,Coal,-71.1931,SEMA,41.7103,Existing,Coal,847550.7640875244,143705364.52969205,5225542103.734423,SO X5
Existing Coal 44,105.4654119,2,Coal,-71.4692,NH,43.1411,Existing,Coal,353493.73875147867,61090295.981267676,3853749359.4027143,SO X5
Existing Coal 46,20.39510344,2,Coal,-70.7842,NH,43.0978,Existing,Coal,77228.56170905192,13464824.194342773,163656877.53216478,SO X5
Existing Oil 1,72.79641688,6,Oil,-72.7942,CT,41.2925,Existing,Oil,544.9999999999891,62675.000367873756,2471455.5284539964,SO X5
Existing Oil 10,339.9972675,6,Oil,-73.120886,CT,41.776109,Existing,Oil,559.850684152062,64976.85641552855,11938266.138325637,SO X5
Existing Oil 105,133.6953449,8,Oil,-71.0559,SEMA,42.3436,Existing,Oil,42.0,4830.000028350001,345715.99821332004,SO X5
Existing Oil 112,133.6953449,2,Oil,-72.286735,NH,43.701916,Existing,Oil,276.1258705802835,34554.47527511757,2571169.2396465377,SO X5
Existing Oil 113,133.6953449,2,Oil,-71.87268,NH,42.971653,Existing,Oil,84.0,10500.000048300002,782869.5342034604,SO X5
Existing Oil 116,133.6953449,2,Oil,-71.6881,NH,43.7644,Existing,Oil,112.0,14000.000064400001,1043826.0456046136,SO X5
Existing Oil 120,133.6953449,8,Oil,-71.308111,SEMA,42.293927,Existing,Oil,60.9,7003.500041107501,501288.19740931405,SO X5
Existing Oil 14,145.0566647,6,Oil,-72.064935,CT,41.52679,Existing,Oil,494.0,57570.00032585001,4507937.616754819,SO X5
Existing Oil 140,133.6953449,6,Oil,-73.5564,CT,41.0372,Existing,Oil,1668.4692809652915,191873.96843722533,14056228.337586924,SO X5
Existing Oil 145,133.6953449,6,Oil,-72.576666,CT,41.554444,Existing,Oil,4543.661606014255,522521.0877586111,38411610.07118523,SO X5
Existing Oil 146,133.6953449,6,Oil,-73.1075,CT,41.2108,Existing,Oil,4528.54375605702,520782.53500332445,38402113.982748255,SO X5
Existing Oil 149,133.6953449,6,Oil,-72.0825,CT,41.362778,Existing,Oil,135.20000000000002,15756.000089180005,1137119.8441556126,SO X5
