latitude,ave_marg_damages_isrm_LePeule,longitude,tech,fuel,zone,node,unit,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
41.0289,151.8447747,-73.5989,Oil,Oil,CT,6,Existing Oil 2,Existing,460.0,138000.00029899998,9437962.37263271,SO
41.0372,133.6953449,-73.5564,Oil,Oil,CT,6,Existing Oil 140,Existing,336.0676380296603,100820.29162734207,6197489.2427131,SO
41.1117,133.6953449,-73.3928,Oil,Oil,CT,6,Existing Oil 158,Existing,30.0,9000.0000195,555104.3020796976,SO
41.209797,21.94525142,-73.108976,Oil,Oil,CT,6,Existing Oil 3,Existing,752.8046238341967,225841.38763958204,2281774.0745984544,SO
41.2108,133.6953449,-73.1075,Oil,Oil,CT,6,Existing Oil 146,Existing,484.0,145200.00031459998,8743437.419458717,SO
41.2925,72.79641688,-72.7942,Oil,Oil,CT,6,Existing Oil 1,Existing,108.99999999999986,32700.000070849943,1098180.0599406853,SO
41.3367,133.6953449,-72.02,Oil,Oil,CT,6,Existing Oil 151,Existing,25.999999999999993,7800.000016899998,481090.3951357378,SO
41.3469,133.6953449,-72.0411,Oil,Oil,CT,6,Existing Oil 155,Existing,25.999999999999996,7800.0000168999995,481090.3951357379,SO
41.362778,133.6953449,-72.0825,Oil,Oil,CT,6,Existing Oil 149,Existing,25.999999999999996,7800.000016899999,481090.39513573784,SO
41.4281,131.7203012,-72.1019,Oil,Oil,CT,6,Existing Oil 4,Existing,36.70859763855876,11012.579315428215,732641.6048048398,SO
41.4711,133.6953449,-72.1022,Oil,Oil,CT,6,Existing Oil 150,Existing,52.0,15600.000033800003,962180.790271476,SO
41.483611,133.6953449,-72.756389,Oil,Oil,CT,6,Existing Oil 179,Existing,14.5,4350.000009425,268300.41267185385,SO
41.5256,133.6953449,-72.0833,Oil,Oil,CT,6,Existing Oil 156,Existing,10.0,3000.0000065,185034.7673598992,SO
41.52679,145.0566647,-72.064935,Oil,Oil,CT,6,Existing Oil 14,Existing,95.0,28500.00006175,1907209.2536580928,SO
41.542778,133.6953449,-72.093611,Oil,Oil,CT,6,Existing Oil 181,Existing,52.0,15600.000033800003,962180.790271476,SO
41.554444,133.6953449,-72.576666,Oil,Oil,CT,6,Existing Oil 145,Existing,646.9171923264455,194075.1581184298,12043743.895437539,SO
41.554944,19.18844466,-72.579075,Oil,Oil,CT,6,Existing Oil 7,Existing,556.078258605099,166823.47794298056,1518531.192111093,SO
41.555425,242.6216617,-72.041829,Oil,Oil,CT,6,Existing Oil 5,Existing,92.5,27750.000060125003,3106049.3957741978,SO
41.5683,133.6953449,-72.2322,Oil,Oil,CT,6,Existing Oil 154,Existing,25.999999999999996,7800.000016899999,481090.39513573784,SO
41.5694,133.6953449,-72.1175,Oil,Oil,CT,6,Existing Oil 153,Existing,26.0,7800.0000168999995,481090.39513573796,SO
41.6041,133.6953449,-71.9825,Oil,Oil,CT,6,Existing Oil 152,Existing,13.0,3900.0000084500007,240545.197567869,SO
41.691389,133.6953449,-72.768611,Oil,Oil,CT,6,Existing Oil 172,Existing,5.0,1500.00000325,92517.3836799496,SO
41.7103,60.37583423,-71.1931,Coal,Coal,SEMA,8,Existing Coal 29,Existing,424274.24558423436,148599336.27808228,5451871443.046143,SO
41.776109,339.9972675,-73.120886,Oil,Oil,CT,6,Existing Oil 10,Existing,108.99999999999997,32700.000070849987,5129074.144106692,SO
41.798943,206.9482785,-73.116267,Oil,Oil,CT,6,Existing Oil 6,Existing,108.99999999999987,32700.00007084995,3121945.868055363,SO
42.1483,133.6953449,-72.5911,Oil,Oil,WCMA,4,Existing Oil 66,Existing,64.8,19440.00004212,1170608.9768200929,SO
42.1978,220.9678966,-72.5106,Oil,Oil,WCMA,4,Existing Oil 58,Existing,3106.7979125703832,932039.3757905336,93398198.50743939,SO
42.2747,133.6953449,-71.7172,Oil,Oil,WCMA,4,Existing Oil 60,Existing,112.0,33600.0000728,2023274.774750778,SO
42.336215,46.07783098,-73.235486,Oil,Oil,WCMA,4,Existing Oil 35,Existing,163.2,48960.00010608,1016091.3170604575,SO
42.4433,92.97915266,-73.2058,Oil,Oil,WCMA,4,Existing Oil 31,Existing,168.79999999999956,50640.00010971986,2120696.817739245,SO
42.498045,28.317600000000002,-71.361273,NG-CT,Gas,NEMA,5,New NG-CT 5,New,156834.5848999882,53994324.36199336,607016558.3100083,SO
42.971653,133.6953449,-71.87268,Oil,Oil,NH,2,Existing Oil 113,Existing,29.400000000000002,8820.00001911,632503.4065348135,SO
43.0978,20.39510344,-70.7842,Coal,Coal,NH,2,Existing Coal 46,Existing,38387.0177563982,13587462.89652388,165607195.82667828,SO
43.0978,20.39510344,-70.7842,Oil,Oil,NH,2,Existing Oil 47,Existing,275.59999999999997,82680.00017914,890453.4534535699,SO
43.1,13.74748878,-70.790833,Oil,Oil,NH,2,Existing Oil 67,Existing,4490.821195163494,1347246.361468082,9183953.067123013,SO
43.1411,105.4654119,-71.4692,Coal,Coal,NH,2,Existing Coal 44,Existing,176007.56944501857,62169687.552163325,3935276507.1074505,SO
43.1411,105.4654119,-71.4692,Oil,Oil,NH,2,Existing Oil 45,Existing,446.40000000000003,133920.00029016,7321133.249427065,SO
43.4011,133.6953449,-72.4203,Oil,Oil,VT,3,Existing Oil 50,Existing,105.59999999999954,31680.000068639863,1907659.0733364394,SO
43.603,133.6953449,-72.9923,Oil,Oil,VT,3,Existing Oil 51,Existing,105.6,31680.000068639998,1907659.0733364476,SO
43.6436,133.6953449,-70.2544,Oil,Oil,ME,1,Existing Oil 16,Existing,421.06005588555126,126318.01703935442,8759325.069522588,SO
43.685,28.317600000000002,-71.577222,NG-CT,Gas,NH,2,New NG-CT 2,New,35383.928020286105,12327461.829553217,138144445.3251931,SO
43.701916,133.6953449,-72.286735,Oil,Oil,NH,2,Existing Oil 112,Existing,98.0,29400.0000637,2108344.688449378,SO
43.7089,133.6953449,-73.0631,Oil,Oil,VT,3,Existing Oil 65,Existing,73.6,22080.00004784,1329580.566264797,SO
43.7508,44.16033273,-70.1567,Oil,Oil,ME,1,Existing Oil 17,Existing,8692.014681707742,2607604.4101621322,56122207.18089869,SO
