Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO,Demand Flexibility,1,0.0,0.0
MO,Demand Flexibility,2,0.0,0.0
MO,Demand Flexibility,3,0.0,0.0
MO,Demand Flexibility,4,0.0,0.0
MO,Generator O&M,1,9936541837.848656,0.0
MO,Generator O&M,2,4693466241.62092,-52.76559674168196
MO,Generator O&M,3,4114327524.160055,-58.59396969991684
MO,Generator O&M,4,4560918157.416064,-54.099542558726434
MO,Over Generation Penalty,1,0.0,0.0
MO,Over Generation Penalty,2,0.0,0.0
MO,Over Generation Penalty,3,0.0,0.0
MO,Over Generation Penalty,4,0.0,0.0
MO,RPS Noncompliance,1,0.0,0.0
MO,RPS Noncompliance,2,0.0,0.0
MO,RPS Noncompliance,3,0.0,0.0
MO,RPS Noncompliance,4,0.0,0.0
MO,Under Generation Penalty,1,0.0,0.0
MO,Under Generation Penalty,2,0.0,0.0
MO,Under Generation Penalty,3,0.0,0.0
MO,Under Generation Penalty,4,0.0,0.0
MO EM190,Demand Flexibility,1,0.0,0.0
MO EM190,Demand Flexibility,2,0.0,0.0
MO EM190,Demand Flexibility,3,0.0,0.0
MO EM190,Demand Flexibility,4,0.0,0.0
MO EM190,Generator O&M,1,9628518406.38721,0.0
MO EM190,Generator O&M,2,2587001619.5720553,-73.13188270112323
MO EM190,Generator O&M,3,2118384197.4898303,-77.9988560224949
MO EM190,Generator O&M,4,2083033746.3592794,-78.36599922811104
MO EM190,Over Generation Penalty,1,0.0,0.0
MO EM190,Over Generation Penalty,2,0.0,0.0
MO EM190,Over Generation Penalty,3,0.0,0.0
MO EM190,Over Generation Penalty,4,0.0,0.0
MO EM190,RPS Noncompliance,1,0.0,0.0
MO EM190,RPS Noncompliance,2,0.0,0.0
MO EM190,RPS Noncompliance,3,0.0,0.0
MO EM190,RPS Noncompliance,4,0.0,0.0
MO EM190,Under Generation Penalty,1,0.0,0.0
MO EM190,Under Generation Penalty,2,0.0,0.0
MO EM190,Under Generation Penalty,3,0.0,0.0
MO EM190,Under Generation Penalty,4,0.0,0.0
MO EM190 X5,Demand Flexibility,1,23641953.09129873,0.0
MO EM190 X5,Demand Flexibility,2,12180266.229297128,-48.48028763841851
MO EM190 X5,Demand Flexibility,3,16581500.236835351,-29.864084524649247
MO EM190 X5,Demand Flexibility,4,39722147.44060136,68.01550737879114
MO EM190 X5,Generator O&M,1,9847547795.134983,0.0
MO EM190 X5,Generator O&M,2,3838314021.8655176,-61.022641354817566
MO EM190 X5,Generator O&M,3,3015064484.526794,-69.38258592645433
MO EM190 X5,Generator O&M,4,3059770538.673098,-68.92860433554101
MO EM190 X5,Over Generation Penalty,1,0.0,0.0
MO EM190 X5,Over Generation Penalty,2,0.0,0.0
MO EM190 X5,Over Generation Penalty,3,0.0,0.0
MO EM190 X5,Over Generation Penalty,4,0.0,0.0
MO EM190 X5,RPS Noncompliance,1,0.0,0.0
MO EM190 X5,RPS Noncompliance,2,0.0,0.0
MO EM190 X5,RPS Noncompliance,3,0.0,0.0
MO EM190 X5,RPS Noncompliance,4,0.0,0.0
MO EM190 X5,Under Generation Penalty,1,0.0,0.0
MO EM190 X5,Under Generation Penalty,2,0.0,0.0
MO EM190 X5,Under Generation Penalty,3,0.0,0.0
MO EM190 X5,Under Generation Penalty,4,0.0,0.0
MO OPOI,Demand Flexibility,1,0.0,0.0
MO OPOI,Demand Flexibility,2,0.0,0.0
MO OPOI,Demand Flexibility,3,0.0,0.0
MO OPOI,Demand Flexibility,4,0.0,0.0
MO OPOI,Generator O&M,1,9950437110.847775,0.0
MO OPOI,Generator O&M,2,4684868033.513068,-52.91796750912866
MO OPOI,Generator O&M,3,4091227848.31326,-58.88393843670362
MO OPOI,Generator O&M,4,4564721104.051327,-54.125421293553465
MO OPOI,Over Generation Penalty,1,0.0,0.0
MO OPOI,Over Generation Penalty,2,0.0,0.0
MO OPOI,Over Generation Penalty,3,0.0,0.0
MO OPOI,Over Generation Penalty,4,0.0,0.0
MO OPOI,RPS Noncompliance,1,0.0,0.0
MO OPOI,RPS Noncompliance,2,0.0,0.0
MO OPOI,RPS Noncompliance,3,0.0,0.0
MO OPOI,RPS Noncompliance,4,0.0,0.0
MO OPOI,Under Generation Penalty,1,0.0,0.0
