latitude,tech,unit,node,ave_marg_damages_isrm_LePeule,fuel,status,zone,longitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
41.0289,Oil,Existing Oil 2,6,151.8447747,Oil,Existing,CT,-73.5989,1495.0,7474.999999999836,449173.7482438776,MO EM190 X5
41.0372,Oil,Existing Oil 140,6,133.6953449,Oil,Existing,CT,-73.5564,1337.4968935723134,6687.484467861419,384341.23750072013,MO EM190 X5
41.1117,Oil,Existing Oil 158,6,133.6953449,Oil,Existing,CT,-73.3928,120.0,599.9999999999868,34375.81305749316,MO EM190 X5
41.209797,Oil,Existing Oil 3,6,21.94525142,Oil,Existing,CT,-73.108976,8403.763715577825,42018.818577888196,457085.1287917733,MO EM190 X5
41.2108,Oil,Existing Oil 146,6,133.6953449,Oil,Existing,CT,-73.1075,3872.0,19359.999999999574,1077356.103276699,MO EM190 X5
41.283997,Oil,Existing Oil 61,6,49.37634365,Oil,Existing,CT,-72.904323,15616.687169847637,78083.43584923647,1683132.4372813168,MO EM190 X5
41.2925,Oil,Existing Oil 1,6,72.79641688,Oil,Existing,CT,-72.7942,479.59999999995455,2397.99999999972,76021.97321948766,MO EM190 X5
41.3367,Oil,Existing Oil 151,6,133.6953449,Oil,Existing,CT,-72.02,103.99999999999994,519.9999999999728,29792.371316492838,MO EM190 X5
41.3469,Oil,Existing Oil 155,6,133.6953449,Oil,Existing,CT,-72.0411,103.99999999999993,519.9999999999745,29792.371316492896,MO EM190 X5
41.362778,Oil,Existing Oil 149,6,133.6953449,Oil,Existing,CT,-72.0825,103.99999999999994,519.9999999999753,29792.371316492976,MO EM190 X5
41.392486,Oil,Existing Oil 57,8,133.6953449,Oil,Existing,SEMA,-70.620089,32.400000000000006,161.99999999999645,8571.061635261034,MO EM190 X5
41.425786,Oil,Existing Oil 26,8,133.6953449,Oil,Existing,SEMA,-70.608273,48.599999999999994,242.99999999999466,12856.592452891553,MO EM190 X5
41.4281,Oil,Existing Oil 4,6,131.7203012,Oil,Existing,CT,-72.1019,9620.1,48100.49999999894,2707563.4460351495,MO EM190 X5
41.4711,Oil,Existing Oil 150,6,133.6953449,Oil,Existing,CT,-72.1022,208.0,1039.999999999977,59584.74263298814,MO EM190 X5
41.483611,Oil,Existing Oil 179,6,133.6953449,Oil,Existing,CT,-72.756389,58.0,289.99999999999363,16614.97631112169,MO EM190 X5
41.5256,Oil,Existing Oil 156,6,133.6953449,Oil,Existing,CT,-72.0833,40.0,199.9999999999956,11458.604352497718,MO EM190 X5
41.52679,Oil,Existing Oil 14,6,145.0566647,Oil,Existing,CT,-72.064935,247.0,1234.9999999999727,70893.75217300848,MO EM190 X5
41.542778,Oil,Existing Oil 181,6,133.6953449,Oil,Existing,CT,-72.093611,208.0,1039.999999999977,59584.74263298814,MO EM190 X5
41.554444,Oil,Existing Oil 145,6,133.6953449,Oil,Existing,CT,-72.576666,3959.4859077057245,19797.429538528188,1106893.6353003252,MO EM190 X5
41.554944,Oil,Existing Oil 7,6,19.18844466,Oil,Existing,CT,-72.579075,16740.38126649311,83701.90633246371,803138.8186099633,MO EM190 X5
41.555425,Oil,Existing Oil 5,6,242.6216617,Oil,Existing,CT,-72.041829,148.0,739.9999999999839,71050.08637944557,MO EM190 X5
41.5683,Oil,Existing Oil 154,6,133.6953449,Oil,Existing,CT,-72.2322,103.99999999999993,519.9999999999716,29792.371316492663,MO EM190 X5
41.5694,Oil,Existing Oil 153,6,133.6953449,Oil,Existing,CT,-72.1175,103.99999999999996,519.9999999999781,29792.37131649321,MO EM190 X5
41.6041,Oil,Existing Oil 152,6,133.6953449,Oil,Existing,CT,-71.9825,52.0,259.99999999999426,14896.185658247035,MO EM190 X5
41.691389,Oil,Existing Oil 172,6,133.6953449,Oil,Existing,CT,-72.768611,20.0,99.9999999999978,5729.302176248859,MO EM190 X5
