ave_marg_damages_isrm_LePeule,unit,zone,node,longitude,fuel,tech,latitude,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
7.809595005,Existing Oil 27,SEMA,8,-70.5097,Oil,Oil,41.7694,Existing,63072.090008307656,795671.5652510177,2844770.6512034163,MO OPOI X5
13.74748878,Existing Oil 67,NH,2,-70.790833,Oil,Oil,43.1,Existing,25953.209311160143,335526.38790409314,2192387.8230939517,MO OPOI X5
19.18844466,Existing Oil 7,CT,6,-72.579075,Oil,Oil,41.554944,Existing,22256.556646569024,313970.7832328428,2839220.16998219,MO OPOI X5
20.39510344,Existing Coal 46,NH,2,-70.7842,Coal,Coal,43.0978,Existing,8699.109941739456,144995.54970869626,1369102.6228814742,MO OPOI X5
20.39510344,Existing Oil 47,NH,2,-70.7842,Oil,Oil,43.0978,Existing,1102.3999999999999,15687.999999999885,151286.8543226597,MO OPOI X5
21.94525142,Existing Oil 3,CT,6,-73.108976,Oil,Oil,41.209797,Existing,10532.057442894149,134282.21265363638,1368009.5014814876,MO OPOI X5
34.13986798,Existing Oil 37,SEMA,8,-70.9672,Oil,Oil,42.235,Existing,59.400000000000006,944.9999999999941,13133.895559228862,MO OPOI X5
44.16033273,Existing Oil 17,ME,1,-70.1567,Oil,Oil,43.7508,Existing,36834.1384674906,359267.26530931506,7190279.894262415,MO OPOI X5
46.07783098,Existing Oil 35,WCMA,4,-73.235486,Oil,Oil,42.336215,Existing,876.2320814549458,9277.160407274636,189838.1588286963,MO OPOI X5
49.37634365,Existing Oil 61,CT,6,-72.904323,Oil,Oil,41.283997,Existing,24513.38737486762,276526.9368743355,5837795.8234407175,MO OPOI X5
60.37583423,Existing Coal 29,SEMA,8,-71.1931,Coal,Coal,41.7103,Existing,87262.35600234843,1018911.780011733,28143491.15479105,MO OPOI X5
72.79641688,Existing Oil 1,CT,6,-72.7942,Oil,Oil,41.2925,Existing,784.7999999999519,9155.99999999895,282555.1848188606,MO OPOI X5
92.97915266,Existing Oil 31,WCMA,4,-73.2058,Oil,Oil,42.4433,Existing,738.4999999999973,8756.499999999909,342981.85427509574,MO OPOI X5
105.4654119,Existing Coal 44,NH,2,-71.4692,Coal,Coal,43.1411,Existing,28254.795185718704,371617.9759285902,17741473.503291484,MO OPOI X5
105.4654119,Existing Oil 45,NH,2,-71.4692,Oil,Oil,43.1411,Existing,1115.7552691642445,8535.197878960651,397795.52991814713,MO OPOI X5
131.7203012,Existing Oil 4,CT,6,-72.1019,Oil,Oil,41.4281,Existing,9053.124971020974,71932.29151110389,3966060.9401263706,MO OPOI X5
133.6953449,Existing Oil 105,SEMA,8,-71.0559,Oil,Oil,42.3436,Existing,12.0,59.99999999999868,3320.6417353357983,MO OPOI X5
133.6953449,Existing Oil 112,NH,2,-72.286735,Oil,Oil,43.701916,Existing,168.0,839.9999999999816,53846.66527016835,MO OPOI X5
133.6953449,Existing Oil 113,NH,2,-71.87268,Oil,Oil,42.971653,Existing,50.400000000000006,251.99999999999446,16153.999581050502,MO OPOI X5
133.6953449,Existing Oil 116,NH,2,-71.6881,Oil,Oil,43.7644,Existing,67.19999999999999,335.9999999999926,21538.666108067337,MO OPOI X5
133.6953449,Existing Oil 120,SEMA,8,-71.308111,Oil,Oil,42.293927,Existing,17.4,86.99999999999808,4814.930516236907,MO OPOI X5
133.6953449,Existing Oil 140,CT,6,-73.5564,Oil,Oil,41.0372,Existing,1052.7999995999999,5498.666653999882,316571.03467619134,MO OPOI X5
133.6953449,Existing Oil 145,CT,6,-72.576666,Oil,Oil,41.554444,Existing,3810.6517132235895,23233.553946339893,1324408.098752079,MO OPOI X5
133.6953449,Existing Oil 146,CT,6,-73.1075,Oil,Oil,41.2108,Existing,3920.832179751711,33630.827554758136,1878498.2159505717,MO OPOI X5
