unit,node,zone,tech,status,latitude,ave_marg_damages_isrm_LePeule,fuel,longitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing Coal 29,8,SEMA,Coal,Existing,41.7103,60.37583423,Coal,-71.1931,76213.2361702603,963666.1808512935,26194328.502509307,MO X5
Existing Coal 44,2,NH,Coal,Existing,43.1411,105.4654119,Coal,-71.4692,30736.574361993495,399578.01101484086,19198627.711757816,MO X5
Existing Coal 46,2,NH,Coal,Existing,43.0978,20.39510344,Coal,-70.7842,8842.41912659084,153712.0956329532,1440986.8214413952,MO X5
Existing Oil 1,6,CT,Oil,Existing,41.2925,72.79641688,Oil,-72.7942,828.3999999999272,9373.999999999258,295611.15954531723,MO X5
Existing Oil 10,6,CT,Oil,Existing,41.776109,339.9972675,Oil,-73.120886,239.8,1198.9999999999736,169427.37904043432,MO X5
Existing Oil 105,8,SEMA,Oil,Existing,42.3436,133.6953449,Oil,-71.0559,4.0,339.9999999999998,17988.64787647416,MO X5
Existing Oil 112,2,NH,Oil,Existing,43.701916,133.6953449,Oil,-72.286735,182.0,909.99999999998,58895.18083259726,MO X5
Existing Oil 113,2,NH,Oil,Existing,42.971653,133.6953449,Oil,-71.87268,54.6,272.999999999994,17668.554249779176,MO X5
Existing Oil 116,2,NH,Oil,Existing,43.7644,133.6953449,Oil,-71.6881,72.8,363.999999999992,23558.0723330389,MO X5
Existing Oil 120,8,SEMA,Oil,Existing,42.293927,133.6953449,Oil,-71.308111,5.8,492.99999999999966,26083.53942088753,MO X5
Existing Oil 14,6,CT,Oil,Existing,41.52679,145.0566647,Oil,-72.064935,247.0,1234.9999999999727,76920.40959511512,MO X5
Existing Oil 140,6,CT,Oil,Existing,41.0372,133.6953449,Oil,-73.5564,1267.4666659999998,6571.999985999859,397219.4290746431,MO X5
Existing Oil 145,6,CT,Oil,Existing,41.554444,133.6953449,Oil,-72.576666,4389.106239885387,21945.531199426452,1301120.9007533272,MO X5
Existing Oil 146,6,CT,Oil,Existing,41.2108,133.6953449,Oil,-73.1075,4427.1120574662655,30975.217886010283,1777067.8291931874,MO X5
Existing Oil 149,6,CT,Oil,Existing,41.362778,133.6953449,Oil,-72.0825,98.79999999999995,493.9999999999784,30146.98685420495,MO X5
Existing Oil 15,1,ME,Oil,Existing,44.9136,133.6953449,Oil,-67.0033,45.999999999997726,229.99999999998357,14947.611961405335,MO X5
Existing Oil 150,6,CT,Oil,Existing,41.4711,133.6953449,Oil,-72.1022,187.20000000000002,935.9999999999794,56782.66153138066,MO X5
Existing Oil 151,6,CT,Oil,Existing,41.3367,133.6953449,Oil,-72.02,98.79999999999997,493.99999999998056,30146.986854205006,MO X5
Existing Oil 152,6,CT,Oil,Existing,41.6041,133.6953449,Oil,-71.9825,49.4,246.99999999999457,15073.493427102892,MO X5
Existing Oil 153,6,CT,Oil,Existing,41.5694,133.6953449,Oil,-72.1175,98.79999999999995,493.99999999997954,30146.986854204995,MO X5
Existing Oil 154,6,CT,Oil,Existing,41.5683,133.6953449,Oil,-72.2322,98.79999999999997,493.99999999998073,30146.986854205068,MO X5
Existing Oil 155,6,CT,Oil,Existing,41.3469,133.6953449,Oil,-72.0411,98.79999999999995,493.99999999998016,30146.9868542051,MO X5
Existing Oil 156,6,CT,Oil,Existing,41.5256,133.6953449,Oil,-72.0833,38.0,189.99999999999582,11594.994943925301,MO X5
Existing Oil 158,6,CT,Oil,Existing,41.1117,133.6953449,Oil,-73.3928,112.46490907888415,562.3245453944085,34266.69796214478,MO X5
Existing Oil 16,1,ME,Oil,Existing,43.6436,133.6953449,Oil,-70.2544,791.269502670965,3956.347513354738,256947.4340872842,MO X5
Existing Oil 17,1,ME,Oil,Existing,43.7508,44.16033273,Oil,-70.1567,38747.627271311416,356526.34762506216,7319468.93602456,MO X5
Existing Oil 172,6,CT,Oil,Existing,41.691389,133.6953449,Oil,-72.768611,19.0,94.99999999999791,5797.497471962651,MO X5
Existing Oil 179,6,CT,Oil,Existing,41.483611,133.6953449,Oil,-72.756389,55.1,275.4999999999939,16812.742668691688,MO X5
Existing Oil 18,8,SEMA,Oil,Existing,42.2672,133.6953449,Oil,-71.3983,85.1999999999991,7241.999999999919,383158.1997688956,MO X5
Existing Oil 181,6,CT,Oil,Existing,41.542778,133.6953449,Oil,-72.093611,187.20000000000002,935.9999999999794,56782.66153138066,MO X5
Existing Oil 182,8,SEMA,Oil,Existing,42.297949,133.6953449,Oil,-71.436065,4.0,339.9999999999998,17988.64787647416,MO X5
Existing Oil 2,6,CT,Oil,Existing,41.0289,151.8447747,Oil,-73.5989,1622.4549336342898,8112.2746681712715,532219.6022702431,MO X5
Existing Oil 23,8,SEMA,Oil,Existing,42.140028,440.3672816,Oil,-71.446441,200.2751336613469,1001.3756683067124,174508.0222473708,MO X5
Existing Oil 26,8,SEMA,Oil,Existing,41.425786,133.6953449,Oil,-70.608273,16.2,1376.999999999999,72854.02389972034,MO X5
Existing Oil 27,8,SEMA,Oil,Existing,41.7694,7.809595005,Oil,-70.5097,42733.90195536136,712101.6559892235,2422075.0964379893,MO X5
Existing Oil 3,6,CT,Oil,Existing,41.209797,21.94525142,Oil,-73.108976,11910.627245069829,155710.1870930046,1612480.2459789226,MO X5
Existing Oil 30,8,SEMA,Oil,Existing,41.7103,133.6953449,Oil,-71.1931,3069.715182632637,42015.24256916287,2225605.9159706607,MO X5
Existing Oil 31,4,WCMA,Oil,Existing,42.4433,92.97915266,Oil,-73.2058,759.599999999995,8861.999999999896,353493.2794473422,MO X5
Existing Oil 35,4,WCMA,Oil,Existing,42.336215,46.07783098,Oil,-73.235486,935.9315167681806,9575.657583840804,200426.47478095372,MO X5
Existing Oil 37,8,SEMA,Oil,Existing,42.235,34.13986798,Oil,-70.9672,24.3,769.499999999998,10611.664771716542,MO X5
Existing Oil 4,6,CT,Oil,Existing,41.4281,131.7203012,Oil,-72.1019,11159.755748458318,82465.44539829037,4838198.854494285,MO X5
