longitude,tech,ave_marg_damages_isrm_LePeule,zone,fuel,node,status,latitude,unit,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
-73.5989,Oil,151.8447747,CT,Oil,6,Existing,41.0289,Existing Oil 2,8451.623709998907,133016.71396679588,12227465.954078209,SO X5
-73.5564,Oil,133.6953449,CT,Oil,6,Existing,41.0372,Existing Oil 140,5228.144893101895,80278.15569052806,6490327.192687544,SO X5
-73.3928,Oil,133.6953449,CT,Oil,6,Existing,41.1117,Existing Oil 158,552.0,12509.999999999945,913555.9447238062,SO X5
-73.235486,Oil,46.07783098,WCMA,Oil,4,Existing,42.336215,Existing Oil 35,1693.1999999999998,29681.99999999983,817002.2263299605,SO X5
-73.2239,Oil,133.6953449,VT,Oil,3,Existing,44.4814,Existing Oil 56,2046.3436496241045,32671.718248120313,2653326.2385874237,SO X5
-73.2058,Oil,92.97915266,WCMA,Oil,4,Existing,42.4433,Existing Oil 31,1751.2999999999793,30700.499999999578,1705175.5018203002,SO X5
-73.1703,Oil,133.6953449,VT,Oil,3,Existing,44.4906,Existing Oil 53,1527.8098072960736,30953.833620166104,2337503.4615712813,SO X5
-73.120886,Oil,339.9972675,CT,Oil,6,Existing,41.776109,Existing Oil 10,1835.8602746783295,33968.12334765782,6759522.924029471,SO X5
-73.1164,Oil,133.6953449,VT,Oil,3,Existing,44.4821,Existing Oil 54,704.0,13959.999999999927,1054285.6829829833,SO X5
-73.116267,Oil,206.9482785,CT,Oil,6,Existing,41.798943,Existing Oil 6,1813.0596505676137,32030.070298246992,3952417.9751379294,SO X5
-73.108976,Oil,21.94525142,CT,Oil,6,Existing,41.209797,Existing Oil 3,15671.693856600989,285003.80253100337,3687181.4202929297,SO X5
-73.1075,Oil,133.6953449,CT,Oil,6,Existing,41.2108,Existing Oil 146,15163.894196046858,279438.6495724553,21833306.680189896,SO X5
-73.0631,Oil,133.6953449,VT,Oil,3,Existing,43.7089,Existing Oil 65,800.4,16007.999999999918,1209994.7771883195,SO X5
-72.9923,Oil,133.6953449,VT,Oil,3,Existing,43.603,Existing Oil 51,1138.184363123328,22916.921815616523,1732271.6113044634,SO X5
-72.904323,Oil,49.37634365,CT,Oil,6,Existing,41.283997,Existing Oil 61,24515.860102264396,384005.0734354654,8943523.725187903,SO X5
-72.7942,Oil,72.79641688,CT,Oil,6,Existing,41.2925,Existing Oil 1,1852.674016897065,35397.291436252446,1499819.9585810336,SO X5
-72.768611,Oil,133.6953449,CT,Oil,6,Existing,41.691389,Existing Oil 172,93.0,2089.9999999999905,152809.28157622126,SO X5
-72.756389,Oil,133.6953449,CT,Oil,6,Existing,41.483611,Existing Oil 179,266.8,6046.499999999974,441552.03994983964,SO X5
-72.7137063,NG-CT,28.317600000000002,CT,Gas,6,New,41.6184324,New NG-CT 6,68294.4666049944,12003169.788003528,134510352.2067008,SO X5
-72.671667,NG-CT,28.317600000000002,VT,Gas,3,New,43.926667,New NG-CT 3,68576.27612591191,11752348.998326365,131699595.26864953,SO X5
-72.6027,Oil,133.6953449,VT,Oil,3,Existing,44.251,Existing Oil 52,3213.528646964543,49101.93499198583,3907149.496111438,SO X5
-72.5911,Oil,133.6953449,WCMA,Oil,4,Existing,42.1483,Existing Oil 66,712.799999999999,14134.499999999924,1067464.2540202702,SO X5
-72.579075,Oil,19.18844466,CT,Oil,6,Existing,41.554944,Existing Oil 7,22502.184000481426,323642.5441293755,3124092.5844093547,SO X5
-72.576666,Oil,133.6953449,CT,Oil,6,Existing,41.554444,Existing Oil 145,15003.804358296942,273958.68001902814,20824650.8301484,SO X5
-72.5106,Oil,220.9678966,WCMA,Oil,4,Existing,42.1978,Existing Oil 58,24429.69844413039,364318.5009323452,38851289.777196966,SO X5
-72.506761,NG-CT,28.317600000000002,WCMA,Gas,4,New,42.395356,New NG-CT 4,72907.2163477922,12367225.100139027,138590041.91558155,SO X5
-72.4203,Oil,133.6953449,VT,Oil,3,Existing,43.4011,Existing Oil 50,1148.3999999999976,22967.999999999825,1736079.4629223673,SO X5
-72.286735,Oil,133.6953449,NH,Oil,2,Existing,43.701916,Existing Oil 112,583.2139803145145,12226.069901572513,902070.0786724362,SO X5
