unit,tech,status,longitude,fuel,ave_marg_damages_isrm_LePeule,latitude,node,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing Coal 29,Coal,Existing,-71.1931,Coal,60.37583423,41.7103,8,SEMA,460947.04370662494,162911418.91450188,5766400209.753865,SO
Existing Coal 44,Coal,Existing,-71.4692,Coal,105.4654119,43.1411,2,NH,185915.1237394376,64951625.682772815,4020526602.629018,SO
Existing Coal 46,Coal,Existing,-70.7842,Coal,20.39510344,43.0978,2,NH,40381.62003605185,14070531.55733171,168244552.7456961,SO
Existing Oil 1,Oil,Existing,-72.7942,Oil,72.79641688,41.2925,6,CT,370.59999999999627,37386.999999999236,1474460.288052173,SO
Existing Oil 10,Oil,Existing,-73.120886,Oil,339.9972675,41.776109,6,CT,340.2821516801464,34658.3936512131,6408082.62972033,SO
Existing Oil 105,Oil,Existing,-71.0559,Oil,133.6953449,42.3436,8,SEMA,50.0,4869.999999999992,341136.04053868126,SO
Existing Oil 112,Oil,Existing,-72.286735,Oil,133.6953449,43.701916,2,NH,84.0,11444.999999999985,786728.1396740722,SO
Existing Oil 113,Oil,Existing,-71.87268,Oil,133.6953449,42.971653,2,NH,25.200000000000003,3433.4999999999955,236018.44190222162,SO
Existing Oil 116,Oil,Existing,-71.6881,Oil,133.6953449,43.7644,2,NH,33.599999999999994,4577.999999999994,314691.2558696288,SO
Existing Oil 120,Oil,Existing,-71.308111,Oil,133.6953449,42.293927,8,SEMA,72.5,7061.499999999988,494647.2587810878,SO
Existing Oil 14,Oil,Existing,-72.064935,Oil,145.0566647,41.52679,6,CT,399.0,39424.999999999935,3007577.343006846,SO
Existing Oil 140,Oil,Existing,-73.5564,Oil,133.6953449,41.0372,6,CT,713.3962854178035,64748.3323296022,5288350.149955745,SO
Existing Oil 145,Oil,Existing,-72.576666,Oil,133.6953449,41.554444,6,CT,2962.85231233953,266656.7081105572,19636331.25929027,SO
Existing Oil 146,Oil,Existing,-73.1075,Oil,133.6953449,41.2108,6,CT,2651.896550997804,238670.68958980194,17898267.79238697,SO
Existing Oil 149,Oil,Existing,-72.0825,Oil,133.6953449,41.362778,6,CT,109.2,10789.999999999982,758656.4345643881,SO
Existing Oil 15,Oil,Existing,-67.0033,Oil,133.6953449,44.9136,1,ME,23.99999999999909,3269.999999999746,224779.46847829124,SO
Existing Oil 150,Oil,Existing,-72.1022,Oil,133.6953449,41.4711,6,CT,218.4,21579.999999999967,1517312.8691287765,SO
Existing Oil 151,Oil,Existing,-72.02,Oil,133.6953449,41.3367,6,CT,109.2,10789.999999999982,758656.4345643881,SO
Existing Oil 152,Oil,Existing,-71.9825,Oil,133.6953449,41.6041,6,CT,54.6,5394.999999999992,379328.2172821941,SO
Existing Oil 153,Oil,Existing,-72.1175,Oil,133.6953449,41.5694,6,CT,109.2,10789.99999999998,758656.434564388,SO
Existing Oil 154,Oil,Existing,-72.2322,Oil,133.6953449,41.5683,6,CT,109.2,10789.99999999998,758656.434564388,SO
Existing Oil 155,Oil,Existing,-72.0411,Oil,133.6953449,41.3469,6,CT,109.2,10789.999999999982,758656.434564388,SO
Existing Oil 156,Oil,Existing,-72.0833,Oil,133.6953449,41.5256,6,CT,42.0,4149.999999999994,291790.9363709185,SO
Existing Oil 158,Oil,Existing,-73.3928,Oil,133.6953449,41.1117,6,CT,126.0,12449.999999999978,875372.8091127555,SO
Existing Oil 16,Oil,Existing,-70.2544,Oil,133.6953449,43.6436,1,ME,225.83827373031795,36205.5252758374,2518661.9035919677,SO
Existing Oil 17,Oil,Existing,-70.1567,Oil,44.16033273,43.7508,1,ME,2506.1097719093673,225549.87947184267,3941651.7756921304,SO
Existing Oil 172,Oil,Existing,-72.768611,Oil,133.6953449,41.691389,6,CT,21.0,2074.999999999997,145895.46818545926,SO
Existing Oil 179,Oil,Existing,-72.756389,Oil,133.6953449,41.483611,6,CT,60.9,6017.49999999999,423096.8577378319,SO
Existing Oil 18,Oil,Existing,-71.3983,Oil,133.6953449,42.2672,8,SEMA,843.8673870826316,75948.06483743672,5553051.1165452115,SO
Existing Oil 181,Oil,Existing,-72.093611,Oil,133.6953449,41.542778,6,CT,218.4,21579.999999999967,1517312.8691287765,SO
Existing Oil 182,Oil,Existing,-71.436065,Oil,133.6953449,42.297949,8,SEMA,50.0,4869.999999999992,341136.04053868126,SO
Existing Oil 2,Oil,Existing,-73.5989,Oil,151.8447747,41.0289,6,CT,1464.2065202762203,140720.2534668596,12103052.141380297,SO
Existing Oil 23,Oil,Existing,-71.446441,Oil,440.3672816,42.140028,8,SEMA,2429.177977574738,230190.6106230526,54473073.50544972,SO
Existing Oil 26,Oil,Existing,-70.608273,Oil,133.6953449,41.425786,8,SEMA,202.5,19723.499999999964,1381600.9641816588,SO
Existing Oil 27,Oil,Existing,-70.5097,Oil,7.809595005,41.7694,8,SEMA,9615.072572764284,865356.5315487841,3057874.852681813,SO
Existing Oil 3,Oil,Existing,-73.108976,Oil,21.94525142,41.209797,6,CT,3109.4025179286723,279846.22661358,3469056.378956757,SO
Existing Oil 30,Oil,Existing,-71.1931,Oil,133.6953449,41.7103,8,SEMA,5024.704090685561,452223.3681616997,28375293.595458303,SO
Existing Oil 31,Oil,Existing,-73.2058,Oil,92.97915266,42.4433,4,WCMA,323.9053651686018,33054.982865174105,1707557.3452498133,SO
Existing Oil 35,Oil,Existing,-73.235486,Oil,46.07783098,42.336215,4,WCMA,329.3486644651454,33415.37980186303,844711.3396288793,SO
Existing Oil 37,Oil,Existing,-70.9672,Oil,34.13986798,42.235,8,SEMA,67.5,6574.499999999989,117599.892385888,SO
Existing Oil 4,Oil,Existing,-72.1019,Oil,131.7203012,41.4281,6,CT,3104.390542469309,279395.1488222373,16230507.085085101,SO
Existing Oil 40,Oil,Existing,-70.8697,Oil,133.6953449,42.6986,8,SEMA,60.0,5843.999999999991,409363.24864641746,SO
Existing Oil 43,Oil,Existing,-71.494398,Oil,133.6953449,44.595117,2,NH,214.47670629138565,29292.903566224253,2015761.747268539,SO
Existing Oil 45,Oil,Existing,-71.4692,Oil,105.4654119,43.1411,2,NH,223.20000000000002,33851.99999999996,1865140.8022994446,SO
Existing Oil 47,Oil,Existing,-70.7842,Oil,20.39510344,43.0978,2,NH,222.94592077022338,31831.132869320063,340268.15854596836,SO
Existing Oil 48,Oil,Existing,-71.2069,Oil,133.6953449,43.8478,2,NH,204.60000000000002,28736.999999999967,2001881.4199505497,SO
Existing Oil 5,Oil,Existing,-72.041829,Oil,242.6216617,41.555425,6,CT,388.5,38387.49999999994,4898090.637444691,SO
Existing Oil 50,Oil,Existing,-72.4203,Oil,133.6953449,43.4011,3,VT,197.99999999999977,22703.9999999999,1603634.4065403761,SO
Existing Oil 51,Oil,Existing,-72.9923,Oil,133.6953449,43.603,3,VT,198.0,22703.999999999964,1603634.4065403794,SO
Existing Oil 52,Oil,Existing,-72.6027,Oil,133.6953449,44.251,3,VT,390.895167646043,48505.36089889861,3454196.6111882506,SO
Existing Oil 53,Oil,Existing,-73.1703,Oil,133.6953449,44.4906,3,VT,270.0,30959.999999999956,2186774.1907368815,SO
Existing Oil 54,Oil,Existing,-73.1164,Oil,133.6953449,44.4821,3,VT,120.0,13759.99999999998,971899.6403275027,SO
Existing Oil 55,Oil,Existing,-72.055357,Oil,133.6953449,44.887379,3,VT,42.0,4815.999999999993,340164.87411462597,SO
Existing Oil 56,Oil,Existing,-73.2239,Oil,133.6953449,44.4814,3,VT,280.5,34679.99999999995,2481229.5119309174,SO
Existing Oil 57,Oil,Existing,-70.620089,Oil,133.6953449,41.392486,8,SEMA,135.0,13148.999999999978,921067.3094544393,SO
Existing Oil 58,Oil,Existing,-72.5106,Oil,220.9678966,42.1978,4,WCMA,3784.136433160191,340572.27898441657,35906421.21404342,SO
Existing Oil 6,Oil,Existing,-73.116267,Oil,206.9482785,41.798943,6,CT,356.6963908455621,36135.6751761005,4132648.223144913,SO
Existing Oil 60,Oil,Existing,-71.7172,Oil,133.6953449,42.2747,4,WCMA,265.6927972856393,29035.519253550763,2004934.4456548095,SO
Existing Oil 61,Oil,Existing,-72.904323,Oil,49.37634365,41.283997,6,CT,3581.301007610333,322317.09068492934,6965525.813393754,SO
Existing Oil 63,Oil,Existing,-70.8583,Oil,133.6953449,42.5131,8,SEMA,135.0,13148.999999999978,921067.3094544393,SO
Existing Oil 65,Oil,Existing,-73.0631,Oil,133.6953449,43.7089,3,VT,138.0,15823.999999999975,1117684.586376628,SO
Existing Oil 66,Oil,Existing,-72.5911,Oil,133.6953449,42.1483,4,WCMA,153.9,16847.999999999975,1162583.8210031714,SO
Existing Oil 67,Oil,Existing,-70.790833,Oil,13.74748878,43.1,2,NH,3074.82710978286,350734.4398804569,2334937.6010399754,SO
Existing Oil 68,Oil,Existing,-71.56,Oil,133.6953449,42.388611,8,SEMA,69.2,6227.999999999989,685027.0066790676,SO
Existing Oil 7,Oil,Existing,-72.579075,Oil,19.18844466,41.554944,6,CT,3040.602812883612,273654.25315952464,2345963.664679502,SO
Existing Oil 73,Oil,Existing,-71.031407,Oil,535.74911,42.339387,8,SEMA,1212.3693088515079,109544.90443863552,32153190.26303719,SO
Existing Oil 82,Oil,Existing,-70.962778,Oil,133.6953449,42.353333,8,SEMA,939.783371884296,84580.50346958649,6159016.578616986,SO
Existing Oil 90,Oil,Existing,-69.2019,Oil,133.6953449,44.3331,1,ME,24.0,3269.999999999996,224779.4684783063,SO
Existing Oil 93,Oil,Existing,-71.458415,Oil,133.6953449,41.744973,7,RI,210.0,20749.999999999967,1458954.6818545926,SO
New NG-CT 4,NG-CT,New,-72.506761,Gas,28.317600000000002,42.395356,4,WCMA,37635.10910317088,12778061.84686345,143193975.416263,SO
New NG-CT 5,NG-CT,New,-71.361273,Gas,28.317600000000002,42.498045,5,NEMA,98378.12077817373,33572544.095794916,376221848.94141066,SO
New NG-CT 6,NG-CT,New,-72.7137063,Gas,28.317600000000002,41.6184324,6,CT,38415.31245552804,13250306.851863042,148486064.34545878,SO
New NG-CT 7,NG-CT,New,-71.576667,Gas,28.317600000000002,41.671667,7,RI,37181.9407729715,12581047.19759402,140986182.7805547,SO
New NG-CT 8,NG-CT,New,-70.780095,Gas,28.317600000000002,41.850783,8,SEMA,38682.791230251176,13310567.70282307,149161361.65692478,SO
