Scenario,Zone Number,Zone,Technology,Epoch,Capacity (MW)
MO,1,PJM_AP,Battery,1,0.0
MO,1,PJM_AP,Battery,2,0.0
MO,1,PJM_AP,Battery,3,0.0
MO,1,PJM_AP,Battery,4,0.0
MO,1,PJM_AP,NG-CC-CCS,1,0.0
MO,1,PJM_AP,NG-CC-CCS,2,0.0
MO,1,PJM_AP,NG-CC-CCS,3,0.0
MO,1,PJM_AP,NG-CC-CCS,4,0.0
MO,1,PJM_AP,NG-CT,1,0.0
MO,1,PJM_AP,NG-CT,2,800.0
MO,1,PJM_AP,NG-CT,3,0.0
MO,1,PJM_AP,NG-CT,4,2006.4262953229547
MO,1,PJM_AP,Solar PV,1,0.0
MO,1,PJM_AP,Solar PV,2,0.0
MO,1,PJM_AP,Solar PV,3,0.0
MO,1,PJM_AP,Solar PV,4,0.0
MO,1,PJM_AP,Wind,1,26565.408907441935
MO,1,PJM_AP,Wind,2,0.0
MO,1,PJM_AP,Wind,3,0.0
MO,1,PJM_AP,Wind,4,0.0
MO,2,PJM_ATSI,Battery,1,0.0
MO,2,PJM_ATSI,Battery,2,1792.3506144160217
MO,2,PJM_ATSI,Battery,3,2203.0477102130244
MO,2,PJM_ATSI,Battery,4,0.0
MO,2,PJM_ATSI,NG-CC-CCS,1,0.0
MO,2,PJM_ATSI,NG-CC-CCS,2,0.0
MO,2,PJM_ATSI,NG-CC-CCS,3,0.0
MO,2,PJM_ATSI,NG-CC-CCS,4,0.0
MO,2,PJM_ATSI,NG-CT,1,0.0
MO,2,PJM_ATSI,NG-CT,2,2162.2861733146697
MO,2,PJM_ATSI,NG-CT,3,2650.588352732056
MO,2,PJM_ATSI,NG-CT,4,0.0
MO,2,PJM_ATSI,Solar PV,1,0.0
MO,2,PJM_ATSI,Solar PV,2,0.0
MO,2,PJM_ATSI,Solar PV,3,0.0
MO,2,PJM_ATSI,Solar PV,4,0.0
MO,2,PJM_ATSI,Wind,1,409.73676477802144
MO,2,PJM_ATSI,Wind,2,74.13646521591548
MO,2,PJM_ATSI,Wind,3,77.91817002081625
MO,2,PJM_ATSI,Wind,4,81.89277977727909
MO,3,PJM_COMD,Battery,1,3173.71066231642
MO,3,PJM_COMD,Battery,2,891.3837610974788
MO,3,PJM_COMD,Battery,3,2531.510916898981
MO,3,PJM_COMD,Battery,4,253.15895178921696
MO,3,PJM_COMD,NG-CC-CCS,1,1624.7946704005244
MO,3,PJM_COMD,NG-CC-CCS,2,0.0
MO,3,PJM_COMD,NG-CC-CCS,3,375.2053295994758
MO,3,PJM_COMD,NG-CC-CCS,4,0.0
MO,3,PJM_COMD,NG-CT,1,2324.1659290909147
MO,3,PJM_COMD,NG-CT,2,963.1561885417424
MO,3,PJM_COMD,NG-CT,3,2989.9455004536567
MO,3,PJM_COMD,NG-CT,4,1656.6007181489113
MO,3,PJM_COMD,Solar PV,1,24177.488833671192
MO,3,PJM_COMD,Solar PV,2,0.0
MO,3,PJM_COMD,Solar PV,3,0.0
MO,3,PJM_COMD,Solar PV,4,0.0
MO,3,PJM_COMD,Wind,1,15263.685307184309
MO,3,PJM_COMD,Wind,2,1672.459251412175
MO,3,PJM_COMD,Wind,3,0.0
MO,3,PJM_COMD,Wind,4,0.0
MO,4,PJM_Dom,Battery,1,0.0
MO,4,PJM_Dom,Battery,2,36.83023582762312
MO,4,PJM_Dom,Battery,3,1130.486749501472
MO,4,PJM_Dom,Battery,4,909.0925669192886
MO,4,PJM_Dom,NG-CC-CCS,1,0.0
MO,4,PJM_Dom,NG-CC-CCS,2,0.0
MO,4,PJM_Dom,NG-CC-CCS,3,0.0
MO,4,PJM_Dom,NG-CC-CCS,4,0.0
MO,4,PJM_Dom,NG-CT,1,0.0
MO,4,PJM_Dom,NG-CT,2,800.0
MO,4,PJM_Dom,NG-CT,3,0.0
MO,4,PJM_Dom,NG-CT,4,1551.6328339395186
MO,4,PJM_Dom,Solar PV,1,37655.77997931747
MO,4,PJM_Dom,Solar PV,2,2001.1153866066911
MO,4,PJM_Dom,Solar PV,3,892.8242290201355
MO,4,PJM_Dom,Solar PV,4,0.0
MO,4,PJM_Dom,Wind,1,3156.530294621237
MO,4,PJM_Dom,Wind,2,1665.364247444752
MO,4,PJM_Dom,Wind,3,5266.893501096621
MO,4,PJM_Dom,Wind,4,5494.85944534551
MO,5,PJM_EMAC,Battery,1,693.2597289967968
MO,5,PJM_EMAC,Battery,2,992.5521957457876
MO,5,PJM_EMAC,Battery,3,181.76168668135756
MO,5,PJM_EMAC,Battery,4,178.86040866608096
MO,5,PJM_EMAC,NG-CC-CCS,1,0.0
MO,5,PJM_EMAC,NG-CC-CCS,2,0.0
MO,5,PJM_EMAC,NG-CC-CCS,3,0.0
MO,5,PJM_EMAC,NG-CC-CCS,4,0.0
MO,5,PJM_EMAC,NG-CT,1,0.0
MO,5,PJM_EMAC,NG-CT,2,1600.0
MO,5,PJM_EMAC,NG-CT,3,1600.0
MO,5,PJM_EMAC,NG-CT,4,3175.7237570607026
MO,5,PJM_EMAC,Solar PV,1,18296.473110786097
MO,5,PJM_EMAC,Solar PV,2,5456.350936933431
MO,5,PJM_EMAC,Solar PV,3,0.0
MO,5,PJM_EMAC,Solar PV,4,0.0
MO,5,PJM_EMAC,Wind,1,11212.63466546186
MO,5,PJM_EMAC,Wind,2,1620.573750229102
MO,5,PJM_EMAC,Wind,3,2074.4408132813483
MO,5,PJM_EMAC,Wind,4,0.0
MO,6,PJM_PENE,Battery,1,0.0
MO,6,PJM_PENE,Battery,2,823.2662979535107
MO,6,PJM_PENE,Battery,3,0.0
MO,6,PJM_PENE,Battery,4,0.0
MO,6,PJM_PENE,NG-CC-CCS,1,0.0
MO,6,PJM_PENE,NG-CC-CCS,2,0.0
MO,6,PJM_PENE,NG-CC-CCS,3,0.0
MO,6,PJM_PENE,NG-CC-CCS,4,0.0
MO,6,PJM_PENE,NG-CT,1,0.0
MO,6,PJM_PENE,NG-CT,2,400.0
MO,6,PJM_PENE,NG-CT,3,400.0
MO,6,PJM_PENE,NG-CT,4,640.6886081626474
MO,6,PJM_PENE,Solar PV,1,0.0
MO,6,PJM_PENE,Solar PV,2,0.0
MO,6,PJM_PENE,Solar PV,3,0.0
MO,6,PJM_PENE,Solar PV,4,0.0
