Scenario,Technology,Capacity (MW),Percentage Difference (%) (Capacity (MW))
MO,Battery,20812.99805649728,39.28570775309247
MO,NG-CC-CCS,2000.0000000000002,-9.353845122211869
MO,NG-CT,41086.49834866081,-22.00971081860069
MO,Offshore Storage,0.0,0.0
MO,Solar PV,102517.06343535702,105.7964100420201
MO,Wind,184319.30104454883,25.075821126021303
MO EM190,Battery,49916.329894640374,234.05237049168898
MO EM190,NG-CC-CCS,1402.2032746372101,-36.447832398546886
MO EM190,NG-CT,31977.787163929286,-39.29984378000972
MO EM190,Offshore Storage,0.0,0.0
MO EM190,Solar PV,152643.92531362543,206.42286065943
MO EM190,Wind,226152.24636505896,53.46291871390844
MO EM190 X5,Battery,42228.23461572233,182.60174385488787
MO EM190 X5,NG-CC-CCS,1536.2106396353574,-30.374206217353716
MO EM190 X5,NG-CT,57894.76873776139,9.895706312860273
MO EM190 X5,Offshore Storage,0.0,0.0
MO EM190 X5,Solar PV,193229.4413260815,287.8956732349972
MO EM190 X5,Wind,200746.32872916438,36.222911879238644
MO OPOI,Battery,19919.768046972484,33.30799259042163
MO OPOI,NG-CC-CCS,2000.0,-9.353845122211878
MO OPOI,NG-CT,41707.30114034436,-20.83130450037041
MO OPOI,Offshore Storage,0.0,0.0
MO OPOI,Solar PV,103148.16620597197,107.06330825591621
MO OPOI,Wind,181382.41793707997,23.08290413829343
MO OPOI X5,Battery,17011.878566165014,13.847680178793741
MO OPOI X5,NG-CC-CCS,1200.0,-45.61230707332712
MO OPOI X5,NG-CT,65836.0529929965,24.969832374461394
MO OPOI X5,Offshore Storage,0.0,0.0
MO OPOI X5,Solar PV,143686.57459767614,188.44155531320294
MO OPOI X5,Wind,174501.6282359904,18.41372181727736
MO X5,Battery,17214.952074692545,15.206698100401187
MO X5,NG-CC-CCS,1200.0,-45.61230707332712
MO X5,NG-CT,66194.395223005,25.65003670599411
MO X5,Offshore Storage,0.0,0.0
MO X5,Solar PV,143253.59621626185,187.5723790655137
MO X5,Wind,171663.53706490423,16.487843292117805
SO,Battery,14942.665972155482,0.0
SO,NG-CC-CCS,2206.3815091731803,0.0
SO,NG-CT,52681.55661417902,0.0
SO,Offshore Storage,0.0,0.0
SO,Solar PV,49814.79677630178,0.0
SO,Wind,147366.05315493888,0.0
SO X5,Battery,10814.511777632377,-27.626624340098388
SO X5,NG-CC-CCS,1869.9741673939843,-15.247016002471003
SO X5,NG-CT,79491.9760627295,50.891471648988016
SO X5,Offshore Storage,0.0,0.0
SO X5,Solar PV,76674.20233289861,53.9185288202853
SO X5,Wind,125545.81805860707,-14.806826015344447
