Scenario,Cost Components,Cost ($),Percentage Difference (%) (Cost ($))
MO,Air Quality,26461041054.187477,-69.0398316409422
MO,BESS Investment,14431533237.00092,44.25159049627864
MO,Emission,61953719220.037964,-56.64869188817223
MO,Generation Investment,328700337297.34357,41.044905859923915
MO,Line Investment,6814447352.0872345,3.8178395854285716
MO,Operation,128145138056.31064,-29.38191337631296
MO EM190,Air Quality,12812531347.639212,-85.00897501287686
MO EM190,BESS Investment,35000648086.30534,249.8518883568958
MO EM190,Emission,114252203257.61873,-20.053508841253926
MO EM190,Generation Investment,414216087199.54553,77.73960776887249
MO EM190,Line Investment,7171811617.636907,9.262270230715831
MO EM190,Operation,97156893612.90549,-46.45888222283103
MO EM190 X5,Air Quality,24373712902.94331,-71.48206476588925
MO EM190 X5,BESS Investment,32503465465.486633,224.8910918221803
MO EM190 X5,Emission,188619291046.83218,31.983892249701302
MO EM190 X5,Generation Investment,448852196985.9181,92.60191939392475
MO EM190 X5,Line Investment,6911920272.250604,5.302835721812897
MO EM190 X5,Operation,133935977900.97565,-26.19070350306164
MO OPOI,Air Quality,24619665913.707657,-71.19429276908504
MO OPOI,BESS Investment,14131652277.032804,41.25410542490439
MO OPOI,Emission,58376418037.90105,-59.15186179803399
MO OPOI,Generation Investment,330312954719.54443,41.73687798983579
MO OPOI,Line Investment,10890467712.058743,65.91585076880791
MO OPOI,Operation,123240488777.12367,-32.0847622936416
MO OPOI X5,Air Quality,34610559663.867455,-59.504663780982334
MO OPOI X5,BESS Investment,12141162320.845007,21.357997552541704
MO OPOI X5,Emission,73529007764.40936,-48.54903449087986
MO OPOI X5,Generation Investment,379825611667.41016,62.98269749676596
MO OPOI X5,Line Investment,10663272158.78938,62.454535377381944
MO OPOI X5,Operation,154854793326.16782,-14.66278490881894
MO X5,Air Quality,36546625228.219955,-57.239412171879756
MO X5,BESS Investment,12566290843.893108,25.607405055397365
MO X5,Emission,77433022537.76778,-45.81725100082188
MO X5,Generation Investment,376056345639.31323,61.36531013274564
MO X5,Line Investment,6210904015.920328,-5.377119597554659
MO X5,Operation,159791333148.9991,-11.942361784558129
SO,Air Quality,85468014086.06021,0.0
SO,BESS Investment,10004418798.677454,0.0
SO,Emission,142910841491.1586,0.0
SO,Generation Investment,233046585619.89194,0.0
SO,Line Investment,6563850085.206051,0.0
SO,Operation,181462206331.3276,0.0
SO X5,Air Quality,103471978697.95166,21.065149113869357
SO X5,BESS Investment,7694901591.091493,-23.084971291798286
SO X5,Emission,168030109930.3803,17.576880925983318
SO X5,Generation Investment,262206562855.20627,12.512509959221369
SO X5,Line Investment,5932657122.445143,-9.616200165563255
SO X5,Operation,224622551144.13867,23.78475699452568
