Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO,Demand Flexibility,1,0.0,0.0
MO,Demand Flexibility,2,0.0,0.0
MO,Demand Flexibility,3,0.0,0.0
MO,Demand Flexibility,4,0.0,0.0
MO,Generator O&M,1,59370398057.74575,0.0
MO,Generator O&M,2,22832789157.68242,-61.54179539865231
MO,Generator O&M,3,22117688465.828415,-62.74626886564586
MO,Generator O&M,4,23824262375.054047,-59.87181633533647
MO,Over Generation Penalty,1,0.0,0.0
MO,Over Generation Penalty,2,0.0,0.0
MO,Over Generation Penalty,3,0.0,0.0
MO,Over Generation Penalty,4,0.0,0.0
MO,RPS Noncompliance,1,0.0,0.0
MO,RPS Noncompliance,2,0.0,0.0
MO,RPS Noncompliance,3,0.0,0.0
MO,RPS Noncompliance,4,0.0,0.0
MO,Under Generation Penalty,1,0.0,0.0
MO,Under Generation Penalty,2,0.0,0.0
MO,Under Generation Penalty,3,0.0,0.0
MO,Under Generation Penalty,4,0.0,0.0
MO EM190,Demand Flexibility,1,0.0,0.0
MO EM190,Demand Flexibility,2,0.0,0.0
MO EM190,Demand Flexibility,3,0.0,0.0
MO EM190,Demand Flexibility,4,0.0,0.0
MO EM190,Generator O&M,1,56413499214.150894,0.0
MO EM190,Generator O&M,2,14563268815.284992,-74.18478020659299
MO EM190,Generator O&M,3,12580399271.122955,-77.69966506887546
MO EM190,Generator O&M,4,13599726312.34665,-75.89278009378425
MO EM190,Over Generation Penalty,1,0.0,0.0
MO EM190,Over Generation Penalty,2,0.0,0.0
MO EM190,Over Generation Penalty,3,0.0,0.0
MO EM190,Over Generation Penalty,4,0.0,0.0
MO EM190,RPS Noncompliance,1,0.0,0.0
MO EM190,RPS Noncompliance,2,0.0,0.0
MO EM190,RPS Noncompliance,3,0.0,0.0
MO EM190,RPS Noncompliance,4,0.0,0.0
MO EM190,Under Generation Penalty,1,0.0,0.0
MO EM190,Under Generation Penalty,2,0.0,0.0
MO EM190,Under Generation Penalty,3,0.0,0.0
MO EM190,Under Generation Penalty,4,0.0,0.0
MO EM190 X5,Demand Flexibility,1,0.0,0.0
MO EM190 X5,Demand Flexibility,2,0.0,0.0
MO EM190 X5,Demand Flexibility,3,21391321.963822782,0.0
MO EM190 X5,Demand Flexibility,4,607345242.5941765,0.0
MO EM190 X5,Generator O&M,1,66129135922.36749,0.0
MO EM190 X5,Generator O&M,2,21611720640.585423,-67.3189127014202
MO EM190 X5,Generator O&M,3,21830912168.280365,-66.98745286206547
MO EM190 X5,Generator O&M,4,23735472605.18437,-64.10739037472271
MO EM190 X5,Over Generation Penalty,1,0.0,0.0
MO EM190 X5,Over Generation Penalty,2,0.0,0.0
MO EM190 X5,Over Generation Penalty,3,0.0,0.0
MO EM190 X5,Over Generation Penalty,4,0.0,0.0
MO EM190 X5,RPS Noncompliance,1,0.0,0.0
MO EM190 X5,RPS Noncompliance,2,0.0,0.0
MO EM190 X5,RPS Noncompliance,3,0.0,0.0
MO EM190 X5,RPS Noncompliance,4,0.0,0.0
MO EM190 X5,Under Generation Penalty,1,0.0,0.0
MO EM190 X5,Under Generation Penalty,2,0.0,0.0
MO EM190 X5,Under Generation Penalty,3,0.0,0.0
MO EM190 X5,Under Generation Penalty,4,0.0,0.0
MO OPOI,Demand Flexibility,1,0.0,0.0
MO OPOI,Demand Flexibility,2,0.0,0.0
MO OPOI,Demand Flexibility,3,0.0,0.0
MO OPOI,Demand Flexibility,4,0.0,0.0
MO OPOI,Generator O&M,1,57612030177.71475,0.0
MO OPOI,Generator O&M,2,21772517902.63924,-62.208382805677985
MO OPOI,Generator O&M,3,21138674664.574257,-63.30857531080196
MO OPOI,Generator O&M,4,22717266032.19542,-60.56853757432277
MO OPOI,Over Generation Penalty,1,0.0,0.0
MO OPOI,Over Generation Penalty,2,0.0,0.0
MO OPOI,Over Generation Penalty,3,0.0,0.0
MO OPOI,Over Generation Penalty,4,0.0,0.0
MO OPOI,RPS Noncompliance,1,0.0,0.0
MO OPOI,RPS Noncompliance,2,0.0,0.0
MO OPOI,RPS Noncompliance,3,0.0,0.0
MO OPOI,RPS Noncompliance,4,0.0,0.0
MO OPOI,Under Generation Penalty,1,0.0,0.0
MO OPOI,Under Generation Penalty,2,0.0,0.0
