Scenario,Emission Components,Epoch,Emission (mt),Emission (mt) Percentage Difference (%)
MO,CO2,1,91550951.42265698,0.0
MO,CO2,2,95521299.47026208,4.336763284168904
MO,CO2,3,140313280.78332487,53.26250421533053
MO,CO2,4,207715576.33052927,126.88521867083942
MO,NOx,1,2160656.667711629,0.0
MO,NOx,2,2254611.1957941055,4.348424693590239
MO,NOx,3,3459968.863005936,60.13506054483059
MO,NOx,4,5340214.710677919,147.15702362531243
MO,PM25,1,3942.8590048909873,0.0
MO,PM25,2,3970.186287433108,0.6930829255680279
MO,PM25,3,5484.941879517228,39.110779074608985
MO,PM25,4,7577.684117211866,92.18754989240033
MO,SO2,1,198813.18964801307,0.0
MO,SO2,2,213198.79085130367,7.235737844536096
MO,SO2,3,316230.00429471605,59.05886568923444
MO,SO2,4,473889.4938009708,138.35918262765364
MO EM190,CO2,1,43688702.07230323,0.0
MO EM190,CO2,2,44992859.51527877,2.9851137276113398
MO EM190,CO2,3,67182775.07305893,53.7760837158171
MO EM190,CO2,4,107978055.18008175,147.1532685987832
MO EM190,NOx,1,1054637.408977046,0.0
MO EM190,NOx,2,1100693.96080542,4.36705084006522
MO EM190,NOx,3,1701189.186714607,61.30559870474245
MO EM190,NOx,4,2808258.0341156786,166.27711194500213
MO EM190,PM25,1,1874.8889441176784,0.0
MO EM190,PM25,2,1880.141044886377,0.2801286329612509
MO EM190,PM25,3,2606.806449022763,39.03791246950493
MO EM190,PM25,4,3932.026752206262,109.72051515598812
MO EM190,SO2,1,93408.78394860156,0.0
MO EM190,SO2,2,97165.2019742612,4.0214826345738794
MO EM190,SO2,3,148914.86395415975,59.42276267733082
MO EM190,SO2,4,244259.28995136815,161.49498968509482
MO EM190 X5,CO2,1,74337198.16680662,0.0
MO EM190 X5,CO2,2,85117980.01377228,14.502539929974839
MO EM190 X5,CO2,3,131313912.14413476,76.64630276954618
MO EM190 X5,CO2,4,203807669.06785765,174.16646590651672
MO EM190 X5,NOx,1,1809130.4158958392,0.0
MO EM190 X5,NOx,2,2135937.668651437,18.0643280265547
MO EM190 X5,NOx,3,3372678.3449462904,86.42538510835985
MO EM190 X5,NOx,4,5311747.480248262,193.60777053864348
MO EM190 X5,PM25,1,3139.2039853084416,0.0
MO EM190 X5,PM25,2,3366.8606892066323,7.252051952139146
MO EM190 X5,PM25,3,4892.613160639698,55.85521627575839
MO EM190 X5,PM25,4,7271.757076169485,131.6433436693347
MO EM190 X5,SO2,1,159909.57857742804,0.0
MO EM190 X5,SO2,2,187516.65637530107,17.264180197001593
MO EM190 X5,SO2,3,295716.5575031602,84.9273571563911
MO EM190 X5,SO2,4,466247.3286093701,191.5693561055904
MO OPOI,CO2,1,85054178.73796053,0.0
MO OPOI,CO2,2,88949411.57816273,4.579707779206051
MO OPOI,CO2,3,133976548.47894198,57.51906663128699
MO OPOI,CO2,4,201417164.73640725,136.8104280413359
MO OPOI,NOx,1,1998895.7327969624,0.0
MO OPOI,NOx,2,2099660.415928239,5.041017471695798
MO OPOI,NOx,3,3299082.590716634,65.04525656775405
MO OPOI,NOx,4,5170173.353971262,158.65147787057796
MO OPOI,PM25,1,3661.308023338541,0.0
MO OPOI,PM25,2,3683.0202627868994,0.5930186509836556
MO OPOI,PM25,3,5236.485984359943,43.02227376065143
MO OPOI,PM25,4,7353.022663651378,100.83048508293957
MO OPOI,SO2,1,185396.15567054835,0.0
MO OPOI,SO2,2,199082.48110630113,7.382205626784179
MO OPOI,SO2,3,302319.637751209,63.06683202667664
MO OPOI,SO2,4,459911.7719588936,148.0697457266392
MO OPOI X5,CO2,1,108409635.75665504,0.0
MO OPOI X5,CO2,2,123710930.8012709,14.114331201114243
MO OPOI X5,CO2,3,186042536.6297952,71.61070169758821
MO OPOI X5,CO2,4,274549354.30365574,153.2518003472784
MO OPOI X5,NOx,1,2499166.3317263746,0.0
MO OPOI X5,NOx,2,2962383.117783467,18.534852209581075
MO OPOI X5,NOx,3,4671754.252823598,86.9325059927661
MO OPOI X5,NOx,4,7148251.655947602,186.02544637394067
MO OPOI X5,PM25,1,4630.436934902764,0.0
MO OPOI X5,PM25,2,4984.599204198776,7.648571274698702
MO OPOI X5,PM25,3,7071.129854432089,52.70977563979237
MO OPOI X5,PM25,4,9812.646287249729,111.91620629330066
MO OPOI X5,SO2,1,241343.42773986113,0.0
MO OPOI X5,SO2,2,279322.9648533707,15.73671902698211
MO OPOI X5,SO2,3,421201.6928564536,74.52378828001805
MO OPOI X5,SO2,4,627933.7327345689,160.18265283420317
MO X5,CO2,1,113837989.01300836,0.0
MO X5,CO2,2,130385342.95484488,14.535880408029382
MO X5,CO2,3,194621213.99806628,70.96332751962683
MO X5,CO2,4,286338578.1237244,151.5316552991851
MO X5,NOx,1,2628751.4725078344,0.0
MO X5,NOx,2,3117801.595871892,18.60389346344341
