longitude,latitude,fuel,zone,status,node,tech,ave_marg_damages_isrm_LePeule,unit,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
-90.27933,41.71217,Gas,PJM_COMD,Existing,3,NG-CC,7.729298667,Existing NG-CC 807,20569.581545413726,4537356.958325261,26120454.691326644,MO EM190 X5
-89.6075,41.774885,Gas,PJM_COMD,Existing,3,NG-CC,8.098491983,Existing NG-CC 801,25336.798096957933,5645297.870487147,29683746.335758552,MO EM190 X5
-89.6075,41.774885,Gas,PJM_COMD,Existing,3,NG-CC,8.098491983,Existing NG-CC 803,24499.999999999854,5518750.003212464,26529120.506097116,MO EM190 X5
-89.606175,41.774895,Gas,PJM_COMD,Existing,3,NG-CC,8.229878788,Existing NG-CC 802,22401.629652444015,5200010.816417215,27941960.916258138,MO EM190 X5
-89.606175,41.774895,Gas,PJM_COMD,Existing,3,NG-CC,8.229878788,Existing NG-CC 804,21942.326261245333,5105581.567987762,24784656.56256038,MO EM190 X5
-89.405,41.82875,Gas,PJM_COMD,Existing,3,NG-CT,14.5452821,Existing NG-CT 851,1528.2,229230.00049666504,2192112.2799503612,MO EM190 X5
-89.405,41.82875,Gas,PJM_COMD,Existing,3,NG-CT,15.08029076,Existing NG-CT 855,510.59999999999997,76590.00016594499,950220.9238421428,MO EM190 X5
-89.405,41.82875,Gas,PJM_COMD,Existing,3,NG-CT,15.30734507,Existing NG-CT 852,1528.2,229230.00049666504,2306962.413701459,MO EM190 X5
-89.405,41.82875,Gas,PJM_COMD,Existing,3,NG-CT,15.9892027,Existing NG-CT 857,503.40000000000003,75510.00016360501,993285.4713769786,MO EM190 X5
-89.405,41.82875,Gas,PJM_COMD,Existing,3,NG-CT,16.05050923,Existing NG-CT 853,509.40000000000003,76410.00016555501,1008978.2861433597,MO EM190 X5
-89.405,41.82875,Gas,PJM_COMD,Existing,3,NG-CT,16.18257689,Existing NG-CT 854,504.59999999999997,75690.000163995,1007694.734155387,MO EM190 X5
-89.405,41.82875,Gas,PJM_COMD,Existing,3,NG-CT,16.22960328,Existing NG-CT 858,503.40000000000003,75510.00016360501,1008219.699674966,MO EM190 X5
-89.405,41.82875,Gas,PJM_COMD,Existing,3,NG-CT,16.39237777,Existing NG-CT 856,510.59999999999997,76590.00016594499,1032896.5532875975,MO EM190 X5
-88.33022667,41.41324667,Gas,PJM_COMD,Existing,3,NG-CC,13.44148982,Existing NG-CC 830,5208.0,1204970.0009625503,11822983.623533444,MO EM190 X5
-88.25838,41.48058,Gas,PJM_COMD,Existing,3,NG-CC,13.75738347,Existing NG-CC 790,6236.87249928627,1462889.7383743133,16557327.537512373,MO EM190 X5
-88.25838,41.48058,Gas,PJM_COMD,Existing,3,NG-CC,13.75738347,Existing NG-CC 794,10375.0,2408750.0019187503,24163416.543263376,MO EM190 X5
-88.25748,41.4806,Gas,PJM_COMD,Existing,3,NG-CC,10.95323383,Existing NG-CC 791,6720.0,1573600.0012,14180107.068994403,MO EM190 X5
-88.25748,41.4806,Gas,PJM_COMD,Existing,3,NG-CC,10.95323383,Existing NG-CC 795,10732.955534642597,2491562.6651880457,19984464.495972045,MO EM190 X5
-88.25705,41.48061,Gas,PJM_COMD,Existing,3,NG-CC,13.69802891,Existing NG-CC 792,6400.0,1490400.001156,16795917.177142378,MO EM190 X5
-88.25705,41.48061,Gas,PJM_COMD,Existing,3,NG-CC,13.69802891,Existing NG-CC 796,10483.55999879257,2426662.401738522,24261028.456934113,MO EM190 X5
-88.25614,41.48064,Gas,PJM_COMD,Existing,3,NG-CC,12.27134763,Existing NG-CC 793,6400.0,1490400.001156,15046583.6946027,MO EM190 X5
-88.25614,41.48064,Gas,PJM_COMD,Existing,3,NG-CC,12.27134763,Existing NG-CC 797,10584.110717687636,2459234.3067281474,22063021.571206044,MO EM190 X5
-87.94555,41.39326,Gas,PJM_COMD,Existing,3,NG-CT,11.72894043,Existing NG-CT 831,465.0,69750.000151125,673047.6266699871,MO EM190 X5
-87.94502,41.39327,Gas,PJM_COMD,Existing,3,NG-CT,10.53271152,Existing NG-CT 832,466.79999999999995,70020.00015171,606743.4554353937,MO EM190 X5
-87.94449,41.39328,Gas,PJM_COMD,Existing,3,NG-CT,11.69332245,Existing NG-CT 833,468.0,70200.0001521,675332.798797665,MO EM190 X5
-87.94343,41.3933,Gas,PJM_COMD,Existing,3,NG-CT,11.95199726,Existing NG-CT 835,465.0,69750.000151125,685847.4077704212,MO EM190 X5
