node,zone,unit,status,tech,latitude,longitude,fuel,ave_marg_damages_isrm_LePeule,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
1,PJM_AP,Existing NG-CC 1026,Existing,NG-CC,40.545,-79.76917,Gas,11.40922873,14028.0,1812785.0010729749,17015526.424117412,MO OPOI X5
1,PJM_AP,Existing NG-CC 1027,Existing,NG-CC,40.545,-79.76917,Gas,9.758405555,14781.479623451569,1950021.944593441,15655291.757234925,MO OPOI X5
1,PJM_AP,Existing NG-CC 1028,Existing,NG-CC,40.545,-79.76917,Gas,10.58381714,46024.963643516836,6082994.004225272,42052874.31047935,MO OPOI X5
1,PJM_AP,Existing NG-CC 1042,Existing,NG-CC,38.97014,-78.17795,Gas,1.316939942,90631.08663491637,13339329.495857032,11468432.9570461,MO OPOI X5
1,PJM_AP,Existing NG-CC 1043,Existing,NG-CC,38.97014,-78.17795,Gas,0.975389303,94538.88549384246,14317516.854033649,9169752.673335655,MO OPOI X5
1,PJM_AP,Existing NG-CC 1044,Existing,NG-CC,38.97014,-78.17795,Gas,1.269545686,91622.04020449221,13582695.96371811,11297835.416697117,MO OPOI X5
1,PJM_AP,Existing NG-CC 1045,Existing,NG-CC,38.97014,-78.17795,Gas,1.187291644,234409.98933713284,35461634.261618115,24884425.67766888,MO OPOI X5
1,PJM_AP,Existing NG-CC 988,Existing,NG-CC,39.8589,-79.9181,Gas,3.192184906,17400.0,2468190.0010396503,6482006.050120181,MO OPOI X5
1,PJM_AP,Existing NG-CC 989,Existing,NG-CC,39.8592,-79.9182,Gas,3.505501953,16609.66308451785,2278299.4635387682,6570581.779364774,MO OPOI X5
1,PJM_AP,Existing NG-CC 990,Existing,NG-CC,39.85905,-79.91815,Gas,3.348843429,93885.9999999999,13536540.003885739,29530266.95397545,MO OPOI X5
1,PJM_AP,Existing NG-CT 1010,Existing,NG-CT,39.86666,-77.68334,Gas,7.530104892,132.0,17600.0000649,109032.6327716569,MO OPOI X5
1,PJM_AP,Existing NG-CT 1011,Existing,NG-CT,39.86666,-77.68334,Gas,7.842758213,88.0,11000.000050600001,70974.82282780821,MO OPOI X5
1,PJM_AP,Existing NG-CT 812,Existing,NG-CT,40.54409,-79.76719,Gas,13.17971833,44.0,5500.000025300001,59636.428153657675,MO OPOI X5
1,PJM_AP,Existing NG-CT 945,Existing,NG-CT,39.3331,-81.3636,Gas,6.273263383,515.0999999999999,68680.0002532575,354459.49433266255,MO OPOI X5
1,PJM_AP,Existing NG-CT 946,Existing,NG-CT,39.3331,-81.3636,Gas,0.466590209,515.0999999999999,68680.0002532575,26363.84277932546,MO OPOI X5
1,PJM_AP,Existing NG-CT 950,Existing,NG-CT,39.74751,-79.83877,Gas,11.09927979,88.0,11000.000050600001,100445.45493009481,MO OPOI X5
1,PJM_AP,Existing NG-CT 951,Existing,NG-CT,39.74751,-79.83877,Gas,12.85790455,44.0,5500.000025300001,58180.26468420461,MO OPOI X5
2,PJM_ATSI,Existing NG-CC 1023,Existing,NG-CC,41.37778,-83.1655,Gas,8.079041113,131322.05422627495,19752422.073297426,94933807.51166007,MO OPOI X5
2,PJM_ATSI,Existing NG-CC 1024,Existing,NG-CC,41.37778,-83.1655,Gas,6.619972007,52779.97140123401,8124791.932921873,34882348.60304683,MO OPOI X5
2,PJM_ATSI,Existing NG-CC 1025,Existing,NG-CC,41.37778,-83.1655,Gas,9.538110219,46228.48118181668,6537837.092399466,40217913.45214312,MO OPOI X5
2,PJM_ATSI,Existing NG-CT 941,Existing,NG-CT,41.47684,-83.46102,Gas,6.614370536,535.5,71400.0002632875,388534.45468658104,MO OPOI X5
2,PJM_ATSI,Existing NG-CT 942,Existing,NG-CT,41.47684,-83.46102,Gas,7.389630692,971.9333332,128480.00046897834,703127.4386744105,MO OPOI X5
2,PJM_ATSI,Existing NG-CT 943,Existing,NG-CT,41.47684,-83.46102,Gas,7.076490561,1111.186156816829,149337.92405705986,768628.0714654749,MO OPOI X5
2,PJM_ATSI,Existing NG-CT 944,Existing,NG-CT,41.47684,-83.46102,Gas,7.850650805,806.4908985168626,103363.63521573893,584635.5303730499,MO OPOI X5
3,PJM_COMD,Existing NG-CC 790,Existing,NG-CC,41.48058,-88.25838,Gas,13.75738347,12071.442685535507,2407788.045737861,27251907.14543644,MO OPOI X5
3,PJM_COMD,Existing NG-CC 791,Existing,NG-CC,41.4806,-88.25748,Gas,10.95323383,14461.200486072996,2809250.063730315,25314861.881607383,MO OPOI X5
3,PJM_COMD,Existing NG-CC 792,Existing,NG-CC,41.48061,-88.25705,Gas,13.69802891,13120.0,2608000.002536,29390601.18532356,MO OPOI X5
3,PJM_COMD,Existing NG-CC 793,Existing,NG-CC,41.48064,-88.25614,Gas,12.27134763,13440.0,2681600.002384,27072543.505113926,MO OPOI X5
3,PJM_COMD,Existing NG-CC 794,Existing,NG-CC,41.48058,-88.25838,Gas,13.75738347,19541.76621191291,3878977.275101062,38956859.860285155,MO OPOI X5
3,PJM_COMD,Existing NG-CC 795,Existing,NG-CC,41.4806,-88.25748,Gas,10.95323383,22103.32021078943,4353965.41192953,35056525.64341855,MO OPOI X5
3,PJM_COMD,Existing NG-CC 796,Existing,NG-CC,41.48061,-88.25705,Gas,13.69802891,20607.77110377211,4072838.8420921257,40889797.84729309,MO OPOI X5
3,PJM_COMD,Existing NG-CC 797,Existing,NG-CC,41.48064,-88.25614,Gas,12.27134763,21048.23017157647,4209621.714842594,37877547.7834707,MO OPOI X5
3,PJM_COMD,Existing NG-CC 801,Existing,NG-CC,41.774885,-89.6075,Gas,8.098491983,56903.118575967164,11656218.383557044,60433990.78028948,MO OPOI X5
3,PJM_COMD,Existing NG-CC 802,Existing,NG-CC,41.774895,-89.606175,Gas,8.229878788,54302.66445726279,10935839.71303667,57252888.03124445,MO OPOI X5
3,PJM_COMD,Existing NG-CC 803,Existing,NG-CC,41.774885,-89.6075,Gas,8.098491983,51886.969867601714,10564882.59296166,51183738.06991834,MO OPOI X5
