latitude,zone,longitude,fuel,node,ave_marg_damages_isrm_LePeule,unit,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
36.66416,PJM_West,-82.10208,Gas,9,12.3706913,Existing NG-CT 923,NG-CT,Existing,2.3403501359098305e-13,4.711786519802087e-11,4.79537283399184e-10,SO X5
36.66416,PJM_West,-82.10208,Gas,9,13.63576773,Existing NG-CT 922,NG-CT,Existing,7.105427357601002e-15,5.329070464910046e-13,5.9782470946831e-12,SO X5
36.66416,PJM_West,-82.10208,Gas,9,13.86032439,Existing NG-CT 921,NG-CT,Existing,3.0508928716699307e-13,5.4245496919713706e-11,6.185572340775521e-10,SO X5
36.66416,PJM_West,-82.10208,Gas,9,14.03432113,Existing NG-CT 925,NG-CT,Existing,8.526512829121205e-14,1.421085472870232e-11,1.6407953376989e-10,SO X5
36.76479,PJM_Dom,-77.71313,Gas,4,3.332454903,Existing NG-CC 1165,NG-CC,Existing,75961.89671093537,11520818.8677875,25096078.550484084,SO X5
36.76479,PJM_Dom,-77.71313,Gas,4,3.384191279,Existing NG-CC 1164,NG-CC,Existing,75961.89671093537,11520818.8677875,25485695.27263223,SO X5
36.76479,PJM_Dom,-77.71313,Gas,4,3.407856829,Existing NG-CC 1167,NG-CC,Existing,178942.14778804398,26525492.727638915,56083290.98668328,SO X5
36.76479,PJM_Dom,-77.71313,Gas,4,3.506924306,Existing NG-CC 1166,NG-CC,Existing,75961.89671093537,11520818.8677875,26409974.152912907,SO X5
36.86875,PJM_Dom,-78.70482,Coal,4,30.66096976,Existing Coal 469,Coal,Existing,234935.1217265334,43117531.393499196,791507042.5427105,SO X5
36.86875,PJM_Dom,-78.70482,Coal,4,32.19076745,Existing Coal 468,Coal,Existing,236651.72004495395,43479271.49813208,839272883.0972906,SO X5
37.6961,PJM_Dom,-78.2848,Gas,4,0.910301291,Existing NG-CC 1111,NG-CC,Existing,35151.09491041839,5229655.362606387,3506387.222965658,SO X5
37.6961,PJM_Dom,-78.2848,Gas,4,1.02926131,Existing NG-CC 1112,NG-CC,Existing,74838.55382420444,10908464.392101333,6965874.574888342,SO X5
37.6961,PJM_Dom,-78.2848,Gas,4,1.148221329,Existing NG-CC 1110,NG-CC,Existing,35151.09491041839,5229655.362606387,4422830.811015787,SO X5
37.8669,PJM_Dom,-78.3801,Gas,4,1.375231631,Existing NG-CC 974,NG-CC,Existing,15527.889768911858,2265252.943208072,2562921.8276052354,SO X5
37.8669,PJM_Dom,-78.3801,Gas,4,1.436337517,Existing NG-CC 976,NG-CC,Existing,16743.106966794254,2476540.974175061,2926475.0498776683,SO X5
37.8669,PJM_Dom,-78.3801,Gas,4,1.525950515,Existing NG-CC 977,NG-CC,Existing,102826.3485838395,15267303.634614715,14985919.343801385,SO X5
37.8669,PJM_Dom,-78.3801,Gas,4,1.766282398,Existing NG-CC 975,NG-CC,Existing,16535.4,2371852.0009423406,3446597.2017219444,SO X5
37.8824,PJM_West,-84.1025,Gas,9,11.67561276,Existing NG-CT 9,NG-CT,Existing,149.0535430924427,19698.35962159446,120505.39343527146,SO X5
37.8824,PJM_West,-84.1025,Gas,9,12.19275549,Existing NG-CT 6,NG-CT,Existing,73.99999999997817,9250.000042547274,72700.92017898963,SO X5
37.8824,PJM_West,-84.1025,Gas,9,13.85084452,Existing NG-CT 8,NG-CT,Existing,149.05354309239542,19698.35962158782,142956.2201661124,SO X5
37.8824,PJM_West,-84.1025,Gas,9,14.05763666,Existing NG-CT 7,NG-CT,Existing,74.0,9250.000042550002,83820.52125644652,SO X5
37.9892,PJM_EMAC,-75.5405,Gas,5,7.42920719,Existing NG-CT 952,NG-CT,Existing,92.59999999999984,11575.000053244967,70746.71448198466,SO X5
37.9892,PJM_EMAC,-75.5405,Gas,5,8.098248727,Existing NG-CT 953,NG-CT,Existing,93.6,11700.000053820004,77950.6568080154,SO X5
37.9892,PJM_EMAC,-75.5405,Gas,5,8.149516808,Existing NG-CT 956,NG-CT,Existing,92.20000000000039,11525.000053015061,77270.83397904955,SO X5
37.9892,PJM_EMAC,-75.5405,Gas,5,8.677263375,Existing NG-CT 955,NG-CT,Existing,89.20000000000005,11150.00005129,79597.68785747241,SO X5
37.9892,PJM_EMAC,-75.5405,Gas,5,8.729224771,Existing NG-CT 957,NG-CT,Existing,90.00000000000003,11250.000051750005,80792.49212045386,SO X5
37.9892,PJM_EMAC,-75.5405,Gas,5,15.95566143,Existing NG-CT 954,NG-CT,Existing,92.00000000000004,11500.000052900012,150957.7653665332,SO X5
37.9892,PJM_EMAC,-75.5405,Gas,5,16.06881938,Existing NG-CT 958,NG-CT,Existing,91.40000000000028,11425.000052555039,151036.87229991404,SO X5
38.07194,PJM_Dom,-77.51309,Gas,4,5.057132318,Existing NG-CT 569,NG-CT,Existing,599.9999996,79666.66690833334,225830.68161792977,SO X5
38.07194,PJM_Dom,-77.51309,Gas,4,5.234635107,Existing NG-CT 567,NG-CT,Existing,671.5249931064739,87170.90525444913,279963.36027627497,SO X5
38.07194,PJM_Dom,-77.51309,Gas,4,5.437898621,Existing NG-CT 568,NG-CT,Existing,599.9999996,79666.66690833334,242834.1350252229,SO X5
38.1169,PJM_Dom,-78.2144,Gas,4,10.21531045,Existing NG-CT 560,NG-CT,Existing,249.3333332,31166.66679336667,241159.56672277028,SO X5
38.1169,PJM_Dom,-78.2144,Gas,4,11.59778176,Existing NG-CT 556,NG-CT,Existing,9.833333199999998,1229.1666556541666,9189.291132666098,SO X5
38.1169,PJM_Dom,-78.2144,Gas,4,11.85436063,Existing NG-CT 558,NG-CT,Existing,77.3,9662.5000444475,73835.28445785581,SO X5
38.1169,PJM_Dom,-78.2144,Gas,4,11.8819614,Existing NG-CT 557,NG-CT,Existing,77.0,9625.000044275,73719.9760973455,SO X5
38.1169,PJM_Dom,-78.2144,Gas,4,12.2640199,Existing NG-CT 559,NG-CT,Existing,77.2,9650.00004439,76288.0423113756,SO X5
38.12417,PJM_Dom,-78.2036,Gas,4,6.747324639,Existing NG-CC 768,NG-CC,Existing,3946.3725391870767,592530.3958632005,3289160.3308203444,SO X5
38.12583,PJM_Dom,-78.205,Gas,4,5.475829282,Existing NG-CC 769,NG-CC,Existing,3938.2000000000003,594384.000206045,2677687.0238886513,SO X5
38.191734,PJM_West,-82.604615,Gas,9,2.073030169,Existing NG-CT 816,NG-CT,Existing,196.6666664,24583.33341308334,32850.55431533082,SO X5
38.191734,PJM_West,-82.604615,Gas,9,2.357446841,Existing NG-CT 817,NG-CT,Existing,196.6666664,24583.33341308334,37357.60176280172,SO X5
38.3441,PJM_West,-82.5939,Gas,9,7.800039409,Existing NG-CT 917,NG-CT,Existing,6.217248937900877e-14,2.3625545954697455e-11,1.5160776796152275e-10,SO X5
38.3441,PJM_West,-82.5939,Gas,9,9.057435321,Existing NG-CT 916,NG-CT,Existing,5.684341886080803e-14,7.10542739028597e-12,5.294662122517016e-11,SO X5
38.3441,PJM_West,-82.5939,Gas,9,9.831173851,Existing NG-CT 915,NG-CT,Existing,5.5067062021407764e-14,1.985966946689288e-11,1.606276094034238e-10,SO X5
38.3441,PJM_West,-82.5939,Gas,9,13.97541033,Existing NG-CT 918,NG-CT,Existing,-1.76277325862982e-14,-8.678029942326311e-13,-9.97765575454972e-12,SO X5
38.3441,PJM_West,-82.5939,Gas,9,14.24343749,Existing NG-CT 919,NG-CT,Existing,7.105427357601002e-15,1.776356847571492e-12,2.081554719962814e-11,SO X5
38.3441,PJM_West,-82.5939,Gas,9,14.27925683,Existing NG-CT 920,NG-CT,Existing,2.34035013590983e-13,5.1338933097055956e-11,6.03108220193067e-10,SO X5
38.5292,PJM_Dom,-77.7686,Gas,4,11.73940391,Existing NG-CT 555,NG-CT,Existing,381.3137626138405,47664.22054598547,393614.22366947663,SO X5
38.5292,PJM_Dom,-77.7686,Gas,4,11.76288831,Existing NG-CT 553,NG-CT,Existing,381.3137626138405,47664.22054598547,394401.6396188051,SO X5
38.5292,PJM_Dom,-77.7686,Gas,4,12.05382666,Existing NG-CT 554,NG-CT,Existing,251.9333332,31491.66679486167,244690.3813583426,SO X5
38.5391,PJM_Dom,-77.2786,Gas,4,1.86815888,Existing NG-CC 379,NG-CC,Existing,13181.126580009892,1959065.904222332,3010964.662236972,SO X5
38.5391,PJM_Dom,-77.2786,Gas,4,2.100079035,Existing NG-CC 381,NG-CC,Existing,71779.56146272949,10738432.53513775,14672775.90479043,SO X5
38.5391,PJM_Dom,-77.2786,Gas,4,2.331999191,Existing NG-CC 380,NG-CC,Existing,13181.126580010723,1959065.9042224535,3758549.249551324,SO X5
38.5444,PJM_SMAC,-76.6861,Gas,7,7.452279932,Existing NG-CC 88,NG-CC,Existing,81295.22204575999,14585915.494335495,89426381.25331256,SO X5
38.54573,PJM_Dom,-77.77069,Gas,4,7.76911235,Existing NG-CT 562,NG-CT,Existing,151.0,18875.000086825003,94526.7382945828,SO X5
38.54573,PJM_Dom,-77.77069,Gas,4,7.894826684,Existing NG-CT 561,NG-CT,Existing,306.0,38250.00017595,221547.2355056794,SO X5
38.54573,PJM_Dom,-77.77069,Gas,4,8.187206639,Existing NG-CT 563,NG-CT,Existing,152.0,19000.0000874,100273.38203117947,SO X5
38.57278,PJM_West,-82.785,Gas,9,8.122713767,Existing NG-CC 1030,NG-CC,Existing,19764.0,3192435.001139175,21333691.812778287,SO X5
38.57292,PJM_West,-82.78486,Gas,9,9.206402713,Existing NG-CC 1031,NG-CC,Existing,110060.20193528119,19510945.24288703,115600449.2244515,SO X5
38.57306,PJM_West,-82.78472,Gas,9,10.29009166,Existing NG-CC 1029,NG-CC,Existing,19957.6666664,3305543.3340047086,27983684.899201825,SO X5
38.57417,PJM_West,-82.78389,Gas,9,6.699543491,Existing NG-CC 1033,NG-CC,Existing,19902.0,3353580.0010881,18484030.886585362,SO X5
38.574305,PJM_West,-82.78375,Gas,9,6.741203522,Existing NG-CC 1034,NG-CC,Existing,108483.61069272406,19125672.20303397,83272320.28814684,SO X5
38.57444,PJM_West,-82.78361,Gas,9,6.782863554,Existing NG-CC 1032,NG-CC,Existing,19055.0,3080250.001271875,17188653.263473928,SO X5
38.700049,PJM_West,-83.817613,Coal,9,39.49324355,Existing Coal 424,Coal,Existing,157962.785113944,30772232.919329897,711242544.110437,SO X5
38.700049,PJM_West,-83.817613,Coal,9,41.68817601,Existing Coal 422,Coal,Existing,146549.99999988,27994499.99688015,855244193.0860182,SO X5
38.700049,PJM_West,-83.817613,Coal,9,45.84847857,Existing Coal 423,Coal,Existing,157962.78511394394,30772232.919329878,825695374.9679958,SO X5
38.700049,PJM_West,-83.817613,Coal,9,134.826744,Existing Coal 421,Coal,Existing,43619.999999999956,8218199.998628984,911581612.4811783,SO X5
38.905053,PJM_West,-84.851009,Coal,9,92.91355026,Existing Coal 412,Coal,Existing,172482.99505503496,32966624.62555238,2245190013.053898,SO X5
