index,from_node,to_node,r,x,b,s_max,From Zone,To Zone,Distance (miles),Resistance (ohms),Reactance (ohms),Line Type,epoch,type
1,5,7,0.000128502,0.00036383,2748.536404,2200,PJM_SMAC,PJM_SMAC,92.13790992,15.29489305,43.30481766,Submarine HVDC 2200 MW,,-1
1,5,7,0.000128502,0.00036383,2748.536404,1400,PJM_SMAC,PJM_SMAC,92.13790992,15.29489305,43.30481766,Submarine HVDC 1400 MW,,-1
1,5,7,0.000128502,0.00036383,2748.536404,400,PJM_SMAC,PJM_SMAC,92.13790992,15.29489305,43.30481766,Submarine HVAC 400 MW,,-1
1,5,7,0.000128502,0.00036383,2748.536404,1200,PJM_SMAC,PJM_SMAC,92.13790992,15.29489305,43.30481766,Overhead HVAC MW,,0
1,5,7,0.000128502,0.00036383,2748.536404,1200,PJM_SMAC,PJM_SMAC,92.13790992,15.29489305,43.30481766,Existing Overhead HVAC MW,,0
1,5,7,0.000128502,0.00036383,2748.536404,300,PJM_EMAC,PJM_SMAC,92.13790992,15.29489305,43.30481766,Existing Overhead HVAC MW,,
2,5,8,0.000142086,0.000402293,2485.750436,6900,PJM_EMAC,PJM_WMAC,101.878588,16.91184561,47.88293636,Existing Overhead HVAC MW,,
3,6,8,0.000146199,0.000413936,2415.832399,3565,PJM_PENE,PJM_WMAC,104.8271859,17.40131286,49.26877737,Existing Overhead HVAC MW,,
4,1,6,0.000163556,0.00046308,2159.45409,2785,PJM_AP,PJM_PENE,117.2724795,19.4672316,55.11806537,Existing Overhead HVAC MW,,
5,4,7,0.000176228,0.000498958,2004.176704,1200,PJM_Dom,PJM_SMAC,126.3584905,20.97550942,59.38849054,Existing Overhead HVAC MW,,
6,7,8,0.000183207,0.000518719,1927.826048,780,PJM_SMAC,PJM_WMAC,131.3627648,21.80621896,61.74049946,Existing Overhead HVAC MW,,
7,1,7,0.000190245,0.000538644,1856.513764,1100,PJM_AP,PJM_SMAC,136.408831,22.64386595,64.11215057,Existing Overhead HVAC MW,,
8,2,9,0.000215966,0.000611469,1635.405883,7400,PJM_ATSI,PJM_West,154.85124,25.70530584,72.7800828,Existing Overhead HVAC MW,,
9,4,1,0.000243056,0.000688171,1453.127202,5400,PJM_Dom,PJM_AP,174.2756514,28.92975813,81.90955616,Existing Overhead HVAC MW,,
