Scenario,Technology,Capacity (MW),Percentage Difference (%) (Capacity (MW))
MO,Battery,23905.273575491265,52.843693612002795
MO,NG-CC-CCS,3660.396360101202,-35.42432589013159
MO,NG-CT,75487.47571368248,-5.453641979509314
MO,Offshore Storage,0.0,0.0
MO,Solar PV,109756.33330826204,28.97778975684156
MO,Wind,356336.07771269686,8.338158555359488
MO EM190,Battery,46914.400541776486,199.95767418238822
MO EM190,NG-CC-CCS,3200.0,-43.54650785799991
MO EM190,NG-CT,70864.16276761562,-11.244237000828551
MO EM190,Offshore Storage,0.0,0.0
MO EM190,Solar PV,142468.5527622148,67.41884947557016
MO EM190,Wind,353905.1228279112,7.599066467240431
MO EM190 X5,Battery,49956.22774828461,219.40627426236566
MO EM190 X5,NG-CC-CCS,3244.801523324037,-42.756132093961426
MO EM190 X5,NG-CT,71665.2723814852,-10.240865307041176
MO EM190 X5,Offshore Storage,0.0,0.0
MO EM190 X5,Solar PV,148422.85560401078,74.4159201404656
MO EM190 X5,Wind,323902.57297259616,-1.522718293243236
MO OPOI,Battery,23294.020368669342,48.93551002364894
MO OPOI,NG-CC-CCS,3656.2700069113394,-35.49712184243754
MO OPOI,NG-CT,75593.73325482625,-5.320556809653314
MO OPOI,Offshore Storage,0.0,0.0
MO OPOI,Solar PV,121142.33826029672,42.35780809937615
MO OPOI,Wind,360232.2255013166,9.522718590896856
MO OPOI X5,Battery,25325.755155349638,61.92585913032421
MO OPOI X5,NG-CC-CCS,3679.642673282056,-35.084787893282275
MO OPOI X5,NG-CT,76285.17919456278,-4.4545363903442725
MO OPOI X5,Offshore Storage,0.0,0.0
MO OPOI X5,Solar PV,130362.28887005977,53.19243436166735
MO OPOI X5,Wind,328148.517520361,-0.23180827204719542
MO X5,Battery,29865.202128298093,90.94982491386612
MO X5,NG-CC-CCS,3767.2917493122136,-33.53850776049413
MO X5,NG-CT,74825.55591349697,-6.282681576045294
MO X5,Offshore Storage,0.0,0.0
MO X5,Solar PV,121392.85334390873,42.65219550109701
MO X5,Wind,323005.53303178365,-1.7954486212023155
SO,Battery,15640.34014787378,0.0
SO,NG-CC-CCS,5668.3827316667885,0.0
SO,NG-CT,79841.75942273985,0.0
SO,Offshore Storage,0.0,0.0
SO,Solar PV,85097.08029202762,0.0
SO,Wind,328910.9603340853,0.0
SO X5,Battery,16210.239655893156,3.643779499877764
SO X5,NG-CC-CCS,5668.3827316667885,0.0
SO X5,NG-CT,80481.05861834303,0.8007078003106939
SO X5,Offshore Storage,0.0,0.0
SO X5,Solar PV,91731.64988760084,7.796471480343829
SO X5,Wind,297863.8759109515,-9.439358418338582
