Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO,Air Quality,1,12462013972.972141,0.0
MO,Air Quality,2,11294099778.852585,-9.371793328530616
MO,Air Quality,3,12594798449.975424,1.0655137868667786
MO,Air Quality,4,9869917139.98258,-20.799983362330927
MO,BESS Investment,1,4112473940.815112,0.0
MO,BESS Investment,2,5303478845.0414,28.960789086245857
MO,BESS Investment,3,4534167736.101171,10.254017444362862
MO,BESS Investment,4,4218808455.740711,2.585658084547597
MO,Emission,1,33350050321.127563,0.0
MO,Emission,2,23836588839.852608,-28.526078340721696
MO,Emission,3,23605890793.167786,-29.217825562880073
MO,Emission,4,14832829220.754093,-55.52381757170135
MO,Generation Investment,1,110585350380.7207,0.0
MO,Generation Investment,2,107065122631.74516,-3.1832677084769196
MO,Generation Investment,3,93571811254.53967,-15.384984600227073
MO,Generation Investment,4,117653687266.54251,6.391747967960584
MO,Line Investment,1,4357911127.2675905,0.0
MO,Line Investment,2,1173710779.4609036,-73.06712447353601
MO,Line Investment,3,919633107.5737088,-78.8973872867775
MO,Line Investment,4,720556603.3347037,-83.46555075834021
MO,Operation,1,79330029515.33528,0.0
MO,Operation,2,42086746488.23281,-46.94726984805038
MO,Operation,3,41850135134.47835,-47.24553187467515
MO,Operation,4,47407618265.028656,-40.24000929450771
MO EM190,Air Quality,1,9406595583.01704,0.0
MO EM190,Air Quality,2,9106169081.908245,-3.1937856630213224
MO EM190,Air Quality,3,9934677809.27186,5.613956947487313
MO EM190,Air Quality,4,8978979626.624662,-4.54591624162528
MO EM190,BESS Investment,1,10984763470.118725,0.0
MO EM190,BESS Investment,2,10306158031.964533,-6.177697316834966
MO EM190,BESS Investment,3,9044976250.7973,-17.658889284217413
MO EM190,BESS Investment,4,8078346783.947985,-26.458618741103646
MO EM190,Emission,1,89036230616.29837,0.0
MO EM190,Emission,2,70147566753.02489,-21.21458167369436
MO EM190,Emission,3,65571667962.28633,-26.35394882689112
MO EM190,Emission,4,50272495833.910065,-43.53703488351906
MO EM190,Generation Investment,1,131258951585.34412,0.0
MO EM190,Generation Investment,2,120908023079.6791,-7.885883881172771
MO EM190,Generation Investment,3,108150469829.8906,-17.60526156604905
MO EM190,Generation Investment,4,119438384372.48512,-9.00553224758412
MO EM190,Line Investment,1,4267622688.39347,0.0
MO EM190,Line Investment,2,1102967425.0734422,-74.15499200355386
MO EM190,Line Investment,3,864203838.3073813,-79.74975996219788
MO EM190,Line Investment,4,677126320.4763103,-84.13340705311482
MO EM190,Operation,1,77518002931.75443,0.0
MO EM190,Operation,2,34973512061.46707,-54.883368070953566
MO EM190,Operation,3,35418998558.7413,-54.30868028176163
MO EM190,Operation,4,40727311900.95009,-47.460834437639285
MO EM190 X5,Air Quality,1,9325188263.445477,0.0
MO EM190 X5,Air Quality,2,9067651092.112085,-2.7617369650640833
MO EM190 X5,Air Quality,3,9866128028.877996,5.800845518079151
MO EM190 X5,Air Quality,4,9201445259.243166,-1.32697593556776
MO EM190 X5,BESS Investment,1,11151547359.696068,0.0
MO EM190 X5,BESS Investment,2,10177304818.252844,-8.736388861731712
MO EM190 X5,BESS Investment,3,9294900361.535475,-16.649232059677104
MO EM190 X5,BESS Investment,4,8801398169.166134,-21.074646546575636
MO EM190 X5,Emission,1,88368361080.9709,0.0
MO EM190 X5,Emission,2,69962731081.28813,-20.82830299728871
MO EM190 X5,Emission,3,65348209486.999245,-26.05021900641403
MO EM190 X5,Emission,4,51395358093.91922,-41.83963868377478
MO EM190 X5,Generation Investment,1,130965672958.83833,0.0
MO EM190 X5,Generation Investment,2,120684659602.21002,-7.850158842660678
MO EM190 X5,Generation Investment,3,107824465270.82849,-17.669674171248655
MO EM190 X5,Generation Investment,4,112546829418.56004,-14.063871184067608
MO EM190 X5,Line Investment,1,4267622688.39347,0.0
MO EM190 X5,Line Investment,2,1102967425.0734422,-74.15499200355386
MO EM190 X5,Line Investment,3,864203838.3073813,-79.74975996219788
MO EM190 X5,Line Investment,4,677126320.4763103,-84.13340705311482
MO EM190 X5,Operation,1,77322069112.72769,0.0
MO EM190 X5,Operation,2,34799138579.12323,-54.99455850258011
MO EM190 X5,Operation,3,35256126498.226845,-54.40353976194427
MO EM190 X5,Operation,4,39254453934.67008,-49.23253556828505
MO OPOI,Air Quality,1,12122360623.149517,0.0
MO OPOI,Air Quality,2,11255902985.930382,-7.147598262045602
MO OPOI,Air Quality,3,12947265427.38415,6.8048198686594885
MO OPOI,Air Quality,4,9684822993.795443,-20.107780201648353
MO OPOI,BESS Investment,1,4193327260.6514664,0.0
MO OPOI,BESS Investment,2,5191813945.278532,23.811322669624953
MO OPOI,BESS Investment,3,4256304316.725707,1.5018397601635485
MO OPOI,BESS Investment,4,4119125946.187079,-1.7695092667978332
MO OPOI,Emission,1,31422606904.62835,0.0
MO OPOI,Emission,2,23576863371.779564,-24.968467946219818
MO OPOI,Emission,3,24513111404.129177,-21.988931476851615
MO OPOI,Emission,4,14564972628.236187,-53.64810859760061
MO OPOI,Generation Investment,1,111033001262.80264,0.0
MO OPOI,Generation Investment,2,108469511563.07503,-2.308763764441639
MO OPOI,Generation Investment,3,90030304993.9556,-18.9157241810802
MO OPOI,Generation Investment,4,121795289439.61346,9.69287333892533
MO OPOI,Line Investment,1,4900971280.489272,0.0
MO OPOI,Line Investment,2,1599212619.4764626,-67.36947580486923
MO OPOI,Line Investment,3,1253024933.106375,-74.43313046753289
MO OPOI,Line Investment,4,981777822.3262352,-79.96768872662679
MO OPOI,Operation,1,77151220724.97617,0.0
MO OPOI,Operation,2,42039598178.75789,-45.51013220047676
MO OPOI,Operation,3,41660768745.3637,-46.00115415688185
MO OPOI,Operation,4,48412468763.4529,-37.24989921283211
MO OPOI X5,Air Quality,1,12090480242.045647,0.0
MO OPOI X5,Air Quality,2,11224191072.585697,-7.165051777243366
MO OPOI X5,Air Quality,3,12856789274.623695,6.338119059267353
MO OPOI X5,Air Quality,4,9928097362.12357,-17.885004041462402
MO OPOI X5,BESS Investment,1,3902754562.9798794,0.0
MO OPOI X5,BESS Investment,2,5192929221.064538,33.058052646271676
MO OPOI X5,BESS Investment,3,4402602834.629286,12.807576381840319
MO OPOI X5,BESS Investment,4,4619499591.071569,18.36510640178285
MO OPOI X5,Emission,1,31453157262.07495,0.0
MO OPOI X5,Emission,2,23440552600.12874,-25.474722919493725
MO OPOI X5,Emission,3,24310363450.193504,-22.709306262535247
MO OPOI X5,Emission,4,14918594228.047455,-52.56884991308729
MO OPOI X5,Generation Investment,1,110289769400.33209,0.0
MO OPOI X5,Generation Investment,2,108338483494.53256,-1.769235638454109
MO OPOI X5,Generation Investment,3,89987626312.17566,-18.40800211891213
MO OPOI X5,Generation Investment,4,114977782671.87029,4.250632943588398
MO OPOI X5,Line Investment,1,5080137271.684814,0.0
MO OPOI X5,Line Investment,2,1739593861.7194266,-65.75695165925123
MO OPOI X5,Line Investment,3,1363017309.6850846,-73.169675605379
MO OPOI X5,Line Investment,4,1067959727.4877065,-78.97773878197742
MO OPOI X5,Operation,1,76828194368.28127,0.0
MO OPOI X5,Operation,2,41951643184.45779,-45.39551068536157
MO OPOI X5,Operation,3,41338835476.25564,-46.19314456604945
MO OPOI X5,Operation,4,46890332066.7341,-38.96728609556793
MO X5,Air Quality,1,12479793434.815313,0.0
MO X5,Air Quality,2,11274617588.151682,-9.65701758573592
MO X5,Air Quality,3,12525387928.566465,0.3653465419063387
MO X5,Air Quality,4,9924323493.162916,-20.476860895175665
MO X5,BESS Investment,1,3803585587.5312147,0.0
MO X5,BESS Investment,2,5426831942.280101,42.676740601556524
MO X5,BESS Investment,3,4631959519.341537,21.778764083181674
MO X5,BESS Investment,4,5682450206.836705,49.39719577928576
MO X5,Emission,1,33627665424.039246,0.0
MO X5,Emission,2,23762181178.713448,-29.337404547486983
MO X5,Emission,3,23398408157.748226,-30.419171647219017
MO X5,Emission,4,15008088754.923258,-55.36981659097127
MO X5,Generation Investment,1,109725317111.91211,0.0
MO X5,Generation Investment,2,106722650419.10072,-2.7365304305740827
MO X5,Generation Investment,3,93489205159.4323,-14.797051746881825
MO X5,Generation Investment,4,110779936343.18481,0.9611448469974049
MO X5,Line Investment,1,4267622688.39347,0.0
MO X5,Line Investment,2,1102967425.0734422,-74.15499200355386
MO X5,Line Investment,3,864203838.3073813,-79.74975996219788
MO X5,Line Investment,4,677126320.4763103,-84.13340705311482
MO X5,Operation,1,79261366861.18518,0.0
MO X5,Operation,2,42029521887.06488,-46.97350859382288
MO X5,Operation,3,41626786021.317184,-47.48161977294628
MO X5,Operation,4,45940882749.911026,-42.03874526871353
SO,Air Quality,1,37633306997.27022,0.0
SO,Air Quality,2,28114761794.76844,-25.292874748403637
SO,Air Quality,3,26943401158.51397,-28.405438404686716
SO,Air Quality,4,15651340728.862457,-58.41093441509738
SO,BESS Investment,1,438758824.57748497,0.0
SO,BESS Investment,2,1657815973.1247826,277.8421949054181
SO,BESS Investment,3,1665934281.1481204,279.69248430555854
SO,BESS Investment,4,3359822554.8708158,665.7561208270284
SO,Emission,1,67685290725.85572,0.0
SO,Emission,2,48399236661.64804,-28.493715336647618
SO,Emission,3,45071191389.85492,-33.41065554049875
SO,Emission,4,20875930800.271393,-69.15735963250165
SO,Generation Investment,1,80073313088.23665,0.0
SO,Generation Investment,2,79921985982.97772,-0.18898569251427344
SO,Generation Investment,3,67728363203.879074,-15.417058952904918
SO,Generation Investment,4,112761231268.21664,40.822487442176396
SO,Line Investment,1,4267622688.39347,0.0
SO,Line Investment,2,1102967425.0734422,-74.15499200355386
SO,Line Investment,3,864203838.3073813,-79.74975996219788
SO,Line Investment,4,677126320.4763103,-84.13340705311482
SO,Operation,1,83297574660.90349,0.0
SO,Operation,2,57116191436.93943,-31.431147101876594
SO,Operation,3,59819318353.10752,-28.186002297634378
SO,Operation,4,61947244304.13646,-25.631394963997682
SO X5,Air Quality,1,37570030390.11494,0.0
SO X5,Air Quality,2,27831385903.388638,-25.92131117702965
SO X5,Air Quality,3,26811910632.346,-28.634844438665958
SO X5,Air Quality,4,16738065320.475708,-55.44835831466438
SO X5,BESS Investment,1,441604275.12331057,0.0
SO X5,BESS Investment,2,1616712256.5121899,266.09977474985953
SO X5,BESS Investment,3,1800363686.8070736,307.6871054530331
SO X5,BESS Investment,4,3486620303.8626013,689.5349977961652
SO X5,Emission,1,67867153157.8889,0.0
SO X5,Emission,2,47985490034.60101,-29.2949714231189
SO X5,Emission,3,44817326318.86071,-33.96315561580156
SO X5,Emission,4,22306330228.98877,-67.13236198799379
SO X5,Generation Investment,1,79453734898.90155,0.0
SO X5,Generation Investment,2,80007257658.0529,0.6966604651822408
SO X5,Generation Investment,3,67703609827.87194,-14.788637797808615
SO X5,Generation Investment,4,105530698300.12262,32.82031163720862
SO X5,Line Investment,1,4267622688.39347,0.0
SO X5,Line Investment,2,1102967425.0734422,-74.15499200355386
SO X5,Line Investment,3,864203838.3073813,-79.74975996219788
SO X5,Line Investment,4,677126320.4763103,-84.13340705311482
SO X5,Operation,1,83274910486.98476,0.0
SO X5,Operation,2,57087265379.73652,-31.44722096259854
SO X5,Operation,3,59490170604.53536,-28.561711736894356
SO X5,Operation,4,61429389106.57142,-26.23301694671606
