Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO,Demand Flexibility,1,0.0,0.0
MO,Demand Flexibility,2,0.0,0.0
MO,Demand Flexibility,3,0.0,0.0
MO,Demand Flexibility,4,0.0,0.0
MO,Generator O&M,1,79330029515.33528,0.0
MO,Generator O&M,2,42086746488.23281,-46.94726984805038
MO,Generator O&M,3,41850135134.47835,-47.24553187467515
MO,Generator O&M,4,47407618265.028656,-40.24000929450771
MO,Over Generation Penalty,1,0.0,0.0
MO,Over Generation Penalty,2,0.0,0.0
MO,Over Generation Penalty,3,0.0,0.0
MO,Over Generation Penalty,4,0.0,0.0
MO,RPS Noncompliance,1,0.0,0.0
MO,RPS Noncompliance,2,0.0,0.0
MO,RPS Noncompliance,3,0.0,0.0
MO,RPS Noncompliance,4,0.0,0.0
MO,Under Generation Penalty,1,0.0,0.0
MO,Under Generation Penalty,2,0.0,0.0
MO,Under Generation Penalty,3,0.0,0.0
MO,Under Generation Penalty,4,0.0,0.0
MO EM190,Demand Flexibility,1,0.0,0.0
MO EM190,Demand Flexibility,2,0.0,0.0
MO EM190,Demand Flexibility,3,0.0,0.0
MO EM190,Demand Flexibility,4,0.0,0.0
MO EM190,Generator O&M,1,77518002931.75443,0.0
MO EM190,Generator O&M,2,34973512061.46707,-54.883368070953566
MO EM190,Generator O&M,3,35418998558.7413,-54.30868028176163
MO EM190,Generator O&M,4,40727311900.95009,-47.460834437639285
MO EM190,Over Generation Penalty,1,0.0,0.0
MO EM190,Over Generation Penalty,2,0.0,0.0
MO EM190,Over Generation Penalty,3,0.0,0.0
MO EM190,Over Generation Penalty,4,0.0,0.0
MO EM190,RPS Noncompliance,1,0.0,0.0
MO EM190,RPS Noncompliance,2,0.0,0.0
MO EM190,RPS Noncompliance,3,0.0,0.0
MO EM190,RPS Noncompliance,4,0.0,0.0
MO EM190,Under Generation Penalty,1,0.0,0.0
MO EM190,Under Generation Penalty,2,0.0,0.0
MO EM190,Under Generation Penalty,3,0.0,0.0
MO EM190,Under Generation Penalty,4,0.0,0.0
MO EM190 X5,Demand Flexibility,1,0.0,0.0
MO EM190 X5,Demand Flexibility,2,0.0,0.0
MO EM190 X5,Demand Flexibility,3,0.0,0.0
MO EM190 X5,Demand Flexibility,4,83135850.90297204,0.0
MO EM190 X5,Generator O&M,1,77322069112.72769,0.0
MO EM190 X5,Generator O&M,2,34799138579.12323,-54.99455850258011
MO EM190 X5,Generator O&M,3,35256126498.226845,-54.40353976194427
MO EM190 X5,Generator O&M,4,39171318083.767105,-49.34005448475607
MO EM190 X5,Over Generation Penalty,1,0.0,0.0
MO EM190 X5,Over Generation Penalty,2,0.0,0.0
MO EM190 X5,Over Generation Penalty,3,0.0,0.0
MO EM190 X5,Over Generation Penalty,4,0.0,0.0
MO EM190 X5,RPS Noncompliance,1,0.0,0.0
MO EM190 X5,RPS Noncompliance,2,0.0,0.0
MO EM190 X5,RPS Noncompliance,3,0.0,0.0
MO EM190 X5,RPS Noncompliance,4,0.0,0.0
MO EM190 X5,Under Generation Penalty,1,0.0,0.0
MO EM190 X5,Under Generation Penalty,2,0.0,0.0
MO EM190 X5,Under Generation Penalty,3,0.0,0.0
MO EM190 X5,Under Generation Penalty,4,0.0,0.0
MO OPOI,Demand Flexibility,1,0.0,0.0
MO OPOI,Demand Flexibility,2,0.0,0.0
MO OPOI,Demand Flexibility,3,0.0,0.0
MO OPOI,Demand Flexibility,4,0.0,0.0
MO OPOI,Generator O&M,1,77151220724.97617,0.0
MO OPOI,Generator O&M,2,42039598178.75789,-45.51013220047676
MO OPOI,Generator O&M,3,41660768745.3637,-46.00115415688185
MO OPOI,Generator O&M,4,48412468763.4529,-37.24989921283211
MO OPOI,Over Generation Penalty,1,0.0,0.0
MO OPOI,Over Generation Penalty,2,0.0,0.0
MO OPOI,Over Generation Penalty,3,0.0,0.0
MO OPOI,Over Generation Penalty,4,0.0,0.0
MO OPOI,RPS Noncompliance,1,0.0,0.0
MO OPOI,RPS Noncompliance,2,0.0,0.0
MO OPOI,RPS Noncompliance,3,0.0,0.0
MO OPOI,RPS Noncompliance,4,0.0,0.0
MO OPOI,Under Generation Penalty,1,0.0,0.0
MO OPOI,Under Generation Penalty,2,0.0,0.0
