Scenario,Emission Components,Emission (mt),Percentage Difference (%) (Emission (mt))
MO,CO2,989303901.5198393,-40.93388100738291
MO,NOx,25037654.766240507,-28.802579790898385
MO,PM25,37189.35290413488,-44.30173327395096
MO,SO2,2242023.2229516166,-46.290534969883296
MO EM190,CO2,797870355.4920117,-52.36336854047292
MO EM190,NOx,20560341.582087833,-41.53432927606527
MO EM190,PM25,29615.232073936164,-55.645447785553216
MO EM190,SO2,1796329.7239791027,-56.967480307541464
MO EM190 X5,CO2,797259167.295715,-52.39985936465129
MO EM190 X5,NOx,20549781.794735648,-41.5643572329347
MO EM190 X5,PM25,29588.64772397567,-55.685263004136196
MO EM190 X5,SO2,1794728.4637779344,-57.005839780315135
MO OPOI,CO2,984895388.3061838,-41.19709008364175
MO OPOI,NOx,24939026.252852537,-29.083041191051194
MO OPOI,PM25,36974.81326099418,-44.62304798727132
MO OPOI,SO2,2233044.1018902464,-46.50563701865331
MO OPOI X5,CO2,984086869.7326996,-41.24536246404558
MO OPOI X5,NOx,24897439.207050964,-29.20129868772305
MO OPOI X5,PM25,36949.3409472949,-44.6611977159372
MO OPOI X5,SO2,2232569.103880846,-46.517015977048615
MO X5,CO2,989666517.1730542,-40.91223113893655
MO X5,NOx,25034975.08091397,-28.81019978102937
MO X5,PM25,37219.59882026576,-44.25643415007606
MO X5,SO2,2243049.3144182377,-46.26595412559051
SO,CO2,1674909268.4479513,0.0
SO,NOx,35166519.64735063,0.0
SO,PM25,66769.31813165761,0.0
SO,SO2,4174354.039263729,0.0
SO X5,CO2,1685446674.2288828,0.6291329315226682
SO X5,NOx,35451199.83315498,0.8095205003483815
SO X5,PM25,67124.41930437999,0.5318328577538907
SO X5,SO2,4198560.31480576,0.5798807507544458
