tech,zone,longitude,status,unit,ave_marg_damages_isrm_LePeule,fuel,node,latitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Coal,PJM_Dom,-78.70482,Existing,Existing Coal 468,32.19076745,Coal,4,36.86875,23076.765238432716,5057581.050108707,92902018.74830063,MO OPOI X5
Coal,PJM_Dom,-78.70482,Existing,Existing Coal 469,30.66096976,Coal,4,36.86875,25303.99999988,5438759.9999645995,96684385.91774037,MO OPOI X5
Coal,PJM_West,-84.851009,Existing,Existing Coal 412,92.91355026,Coal,9,38.905053,7800.0,1677000.0,113248012.14157277,MO OPOI X5
Coal,PJM_West,-83.817613,Existing,Existing Coal 421,134.826744,Coal,9,38.700049,1320.0,283800.0,31479747.59257716,MO OPOI X5
Coal,PJM_West,-83.817613,Existing,Existing Coal 422,41.68817601,Coal,9,38.700049,10290.0,2212350.0,66969844.364781216,MO OPOI X5
Coal,PJM_West,-83.817613,Existing,Existing Coal 423,45.84847857,Coal,9,38.700049,10659.99999992,2149099.9999996,57866863.692401364,MO OPOI X5
Coal,PJM_West,-83.817613,Existing,Existing Coal 424,39.49324355,Coal,9,38.700049,10784.0,2167360.0,50131096.0152134,MO OPOI X5
Coal,PJM_West,-81.9344,Existing,Existing Coal 435,46.76057225,Coal,9,38.9794,14763.0,3174045.0,122105633.39123203,MO OPOI X5
Coal,PJM_West,-80.6486,Existing,Existing Coal 165,139.8577554,Coal,9,40.2522,1439.9999999999236,309599.9999999836,35622985.13219303,MO OPOI X5
NG-CC,PJM_AP,-79.9182,Existing,Existing NG-CC 989,3.505501953,Gas,1,39.8592,16008.0,2091479.999999999,6031797.224128165,MO OPOI X5
NG-CC,PJM_AP,-79.91815,Existing,Existing NG-CC 990,3.348843429,Gas,1,39.85905,98774.81136751958,15729432.177808966,33891930.24309076,MO OPOI X5
NG-CC,PJM_AP,-79.9181,Existing,Existing NG-CC 988,3.192184906,Gas,1,39.8589,17399.999999999978,2907539.9999999893,7635835.1111655785,MO OPOI X5
NG-CC,PJM_AP,-79.76917,Existing,Existing NG-CC 1026,11.40922873,Gas,1,40.545,13482.863276124524,1672284.3163806219,15696730.697335532,MO OPOI X5
NG-CC,PJM_AP,-79.76917,Existing,Existing NG-CC 1027,9.758405555,Gas,1,40.545,14907.145148900705,1956625.7257445026,15708308.658356184,MO OPOI X5
NG-CC,PJM_AP,-79.76917,Existing,Existing NG-CC 1028,10.58381714,Gas,1,40.545,47245.40365542731,6180130.115937293,42626563.98097374,MO OPOI X5
NG-CC,PJM_AP,-78.17795,Existing,Existing NG-CC 1042,1.316939942,Gas,1,38.97014,96860.05710445643,15499303.098361509,13120256.201580876,MO OPOI X5
NG-CC,PJM_AP,-78.17795,Existing,Existing NG-CC 1043,0.975389303,Gas,1,38.97014,103254.77873666406,16946448.781199753,10609821.318898309,MO OPOI X5
NG-CC,PJM_AP,-78.17795,Existing,Existing NG-CC 1044,1.269545686,Gas,1,38.97014,98567.52209679176,15918041.863600057,12945240.31317674,MO OPOI X5
NG-CC,PJM_AP,-78.17795,Existing,Existing NG-CC 1045,1.187291644,Gas,1,38.97014,237099.11152061875,37921051.22797934,26979808.69104908,MO OPOI X5
NG-CC,PJM_ATSI,-83.1655,Existing,Existing NG-CC 1023,8.079041113,Gas,2,41.37778,103008.7449294797,13906807.245405724,67527339.93874888,MO OPOI X5
NG-CC,PJM_ATSI,-83.1655,Existing,Existing NG-CC 1024,6.619972007,Gas,2,41.37778,42854.03584646042,6480874.179232299,26750820.409833647,MO OPOI X5
NG-CC,PJM_ATSI,-83.1655,Existing,Existing NG-CC 1025,9.538110219,Gas,2,41.37778,37072.799999999996,5154419.999999997,31919965.61511386,MO OPOI X5
NG-CC,PJM_COMD,-90.27933,Existing,Existing NG-CC 807,7.729298667,Gas,3,41.71217,80758.56336029593,15107674.451966543,86418368.17986402,MO OPOI X5
NG-CC,PJM_COMD,-89.6075,Existing,Existing NG-CC 801,8.098491983,Gas,3,41.774885,103657.96241781407,19654038.663211234,105373277.75107516,MO OPOI X5
NG-CC,PJM_COMD,-89.6075,Existing,Existing NG-CC 803,8.098491983,Gas,3,41.774885,89344.62313062274,16754386.880383981,85369648.48138621,MO OPOI X5
NG-CC,PJM_COMD,-89.606175,Existing,Existing NG-CC 802,8.229878788,Gas,3,41.774895,100005.73174289853,18908777.67752715,103514277.45439686,MO OPOI X5
NG-CC,PJM_COMD,-89.606175,Existing,Existing NG-CC 804,8.229878788,Gas,3,41.774895,85603.99723006533,16063753.242049644,83387251.9198807,MO OPOI X5
NG-CC,PJM_COMD,-88.33022667,Existing,Existing NG-CC 830,13.44148982,Gas,3,41.41324667,22186.09130435184,4165518.980344539,41131073.50418079,MO OPOI X5
NG-CC,PJM_COMD,-88.25838,Existing,Existing NG-CC 790,13.75738347,Gas,3,41.48058,27298.325252352337,5107824.9595537605,57811555.198682286,MO OPOI X5
NG-CC,PJM_COMD,-88.25838,Existing,Existing NG-CC 794,13.75738347,Gas,3,41.48058,42548.084827495164,7939951.98355051,80162726.34164886,MO OPOI X5
NG-CC,PJM_COMD,-88.25748,Existing,Existing NG-CC 791,10.95323383,Gas,3,41.4806,33489.38102237769,6364065.992198042,57348206.08458088,MO OPOI X5
NG-CC,PJM_COMD,-88.25748,Existing,Existing NG-CC 795,10.95323383,Gas,3,41.4806,48618.25207427413,9335190.57180183,75791712.67249438,MO OPOI X5
NG-CC,PJM_COMD,-88.25705,Existing,Existing NG-CC 792,13.69802891,Gas,3,41.48061,28445.87279550919,5237760.429254781,59026429.34463397,MO OPOI X5
NG-CC,PJM_COMD,-88.25705,Existing,Existing NG-CC 796,13.69802891,Gas,3,41.48061,43966.85844532441,8258345.719427921,83020785.70502006,MO OPOI X5
NG-CC,PJM_COMD,-88.25614,Existing,Existing NG-CC 793,12.27134763,Gas,3,41.48064,31133.65186929348,5724032.196387242,57787929.043705255,MO OPOI X5
NG-CC,PJM_COMD,-88.25614,Existing,Existing NG-CC 797,12.27134763,Gas,3,41.48064,46302.29411370587,8733571.160984412,78965360.90660153,MO OPOI X5
NG-CC,PJM_Dom,-78.3801,Existing,Existing NG-CC 974,1.375231631,Gas,4,37.8669,27332.100000000002,3957997.499999998,4478103.964845033,MO OPOI X5
NG-CC,PJM_Dom,-78.3801,Existing,Existing NG-CC 975,1.766282398,Gas,4,37.8669,27021.100720925344,3802799.1609741226,5525942.1505712215,MO OPOI X5
NG-CC,PJM_Dom,-78.3801,Existing,Existing NG-CC 976,1.436337517,Gas,4,37.8669,28748.594944743825,4171818.9747237167,4929748.495763101,MO OPOI X5
NG-CC,PJM_Dom,-78.3801,Existing,Existing NG-CC 977,1.525950515,Gas,4,37.8669,189182.92381913672,27093406.619095672,26939760.14335226,MO OPOI X5
NG-CC,PJM_Dom,-78.2848,Existing,Existing NG-CC 1110,1.148221329,Gas,4,37.6961,56775.10329726018,7906675.516486297,6746751.415127779,MO OPOI X5
NG-CC,PJM_Dom,-78.2848,Existing,Existing NG-CC 1111,0.910301291,Gas,4,37.6961,57638.782532301564,8424839.082688471,5672078.055373546,MO OPOI X5
NG-CC,PJM_Dom,-78.2848,Existing,Existing NG-CC 1112,1.02926131,Gas,4,37.6961,136003.99999999974,20049699.999999974,12509854.058570424,MO OPOI X5
NG-CC,PJM_Dom,-78.205,Existing,Existing NG-CC 769,5.475829282,Gas,4,38.12583,4750.2,631532.9999999997,2845042.461895448,MO OPOI X5
NG-CC,PJM_Dom,-78.2036,Existing,Existing NG-CC 768,6.747324639,Gas,4,38.12417,4709.6,631329.9999999997,3504538.511702319,MO OPOI X5
NG-CC,PJM_Dom,-77.71313,Existing,Existing NG-CC 1164,3.384191279,Gas,4,36.76479,115019.14779478259,17124264.738973904,37398674.651678056,MO OPOI X5
NG-CC,PJM_Dom,-77.71313,Existing,Existing NG-CC 1165,3.332454903,Gas,4,36.76479,115890.75142908178,17143133.798192907,36877331.33161237,MO OPOI X5
NG-CC,PJM_Dom,-77.71313,Existing,Existing NG-CC 1166,3.506924306,Gas,4,36.76479,100589.8168072307,14568819.084036145,32359364.109612547,MO OPOI X5
NG-CC,PJM_Dom,-77.71313,Existing,Existing NG-CC 1167,3.407856829,Gas,4,36.76479,283102.8195192837,41687982.94266941,83591977.34744534,MO OPOI X5
NG-CC,PJM_Dom,-77.2786,Existing,Existing NG-CC 379,1.86815888,Gas,4,38.5391,22138.03825312648,3153455.1912654317,4846668.059703201,MO OPOI X5
NG-CC,PJM_Dom,-77.2786,Existing,Existing NG-CC 380,2.331999191,Gas,4,38.5391,20938.5,3104392.4999999986,5955905.861073494,MO OPOI X5
NG-CC,PJM_Dom,-77.2786,Existing,Existing NG-CC 381,2.100079035,Gas,4,38.5391,117178.05546896342,17130435.184871603,23261922.011961084,MO OPOI X5
NG-CC,PJM_EMAC,-76.30826,Existing,Existing NG-CC 991,31.46051817,Gas,5,39.73872,14351.0,2673014.9999999995,61273748.72875393,MO OPOI X5
