latitude,zone,ave_marg_damages_isrm_LePeule,fuel,longitude,node,status,unit,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
36.76479,PJM_Dom,3.332454903,Gas,-77.71313,4,Existing,Existing NG-CC 1165,NG-CC,56387.4879096398,17738183.66099183,38891373.74825401,MO
36.76479,PJM_Dom,3.384191279,Gas,-77.71313,4,Existing,Existing NG-CC 1164,NG-CC,52430.41236925193,16203429.628995227,35967846.84416167,MO
36.76479,PJM_Dom,3.407856829,Gas,-77.71313,4,Existing,Existing NG-CC 1167,NG-CC,137006.65245016466,40764958.47169408,84188084.41233055,MO
36.76479,PJM_Dom,3.506924306,Gas,-77.71313,4,Existing,Existing NG-CC 1166,NG-CC,47874.45081413005,14158008.012901926,31791115.763740797,MO
36.86875,PJM_Dom,30.66096976,Coal,-78.70482,4,Existing,Existing Coal 469,Coal,19202.600028582332,4445366.984248255,82515787.01582354,MO
36.86875,PJM_Dom,32.19076745,Coal,-78.70482,4,Existing,Existing Coal 468,Coal,18574.113152528455,4275716.208809105,83548315.60712515,MO
37.6961,PJM_Dom,0.910301291,Gas,-78.2848,4,Existing,Existing NG-CC 1111,NG-CC,34580.50184543787,11542559.049449058,7926912.826391796,MO
37.6961,PJM_Dom,1.02926131,Gas,-78.2848,4,Existing,Existing NG-CC 1112,NG-CC,75983.47921651698,24561361.906405855,16087738.50389818,MO
37.6961,PJM_Dom,1.148221329,Gas,-78.2848,4,Existing,Existing NG-CC 1110,NG-CC,33780.99928294602,11105007.846310347,9585392.567566033,MO
37.8669,PJM_Dom,1.375231631,Gas,-78.3801,4,Existing,Existing NG-CC 974,NG-CC,17154.573687143704,5766413.92290053,6524157.999361667,MO
37.8669,PJM_Dom,1.436337517,Gas,-78.3801,4,Existing,Existing NG-CC 976,NG-CC,17500.36558062589,5725035.43309404,6765150.881542,MO
37.8669,PJM_Dom,1.525950515,Gas,-78.3801,4,Existing,Existing NG-CC 977,NG-CC,99643.80387967604,32062115.139263038,32313089.502569385,MO
37.8669,PJM_Dom,1.766282398,Gas,-78.3801,4,Existing,Existing NG-CC 975,NG-CC,15543.775257150828,4923526.441058597,7154498.867389108,MO
37.8824,PJM_West,11.67561276,Gas,-84.1025,9,Existing,Existing NG-CT 9,NG-CT,21.3333332,4693.333303999997,27676.48247375354,MO
37.8824,PJM_West,13.85084452,Gas,-84.1025,9,Existing,Existing NG-CT 8,NG-CT,21.333333199989085,4693.333303997596,32832.76548170386,MO
37.9892,PJM_EMAC,7.42920719,Gas,-75.5405,5,Existing,Existing NG-CT 952,NG-CT,46.3,10185.999999999995,62257.108457763956,MO
37.9892,PJM_EMAC,8.098248727,Gas,-75.5405,5,Existing,Existing NG-CT 953,NG-CT,46.8,10295.999999999995,68596.57767550922,MO
37.9892,PJM_EMAC,8.149516808,Gas,-75.5405,5,Existing,Existing NG-CT 956,NG-CT,46.1,10141.999999999996,67998.3335887709,MO
38.07194,PJM_Dom,5.057132318,Gas,-77.51309,4,Existing,Existing NG-CT 569,NG-CT,253.3333332,55733.33330399997,198896.2844881158,MO
38.07194,PJM_Dom,5.064132646,Gas,-77.51309,4,Existing,Existing NG-CT 566,NG-CT,151.0,33219.999999999985,138403.63757909092,MO
38.07194,PJM_Dom,5.234635107,Gas,-77.51309,4,Existing,Existing NG-CT 567,NG-CT,255.3333332,56173.33330399997,207406.53018461083,MO
38.07194,PJM_Dom,5.275309188,Gas,-77.51309,4,Existing,Existing NG-CT 565,NG-CT,151.0,33219.999999999985,144175.12968391555,MO
38.07194,PJM_Dom,5.437898621,Gas,-77.51309,4,Existing,Existing NG-CT 568,NG-CT,253.3333332,55733.33330399997,213871.76825297944,MO
38.12417,PJM_Dom,6.747324639,Gas,-78.2036,4,Existing,Existing NG-CC 768,NG-CC,2273.6,617931.9999999998,3430165.6686887015,MO
38.12583,PJM_Dom,5.475829282,Gas,-78.205,4,Existing,Existing NG-CC 769,NG-CC,2273.6,617931.9999999998,2783770.2520121327,MO
38.191734,PJM_West,2.048647681,Gas,-82.604615,9,Existing,Existing NG-CT 815,NG-CT,165.0,36299.999999999985,61181.01887201317,MO
38.191734,PJM_West,2.073030169,Gas,-82.604615,9,Existing,Existing NG-CT 816,NG-CT,165.0,36299.999999999985,61909.179927869525,MO
