tech,fuel,unit,ave_marg_damages_isrm_LePeule,zone,node,latitude,longitude,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Coal,Coal,Existing Coal 165,139.8577554,PJM_West,9,40.2522,-80.6486,Existing,48099.99999999811,16703299.99999933,1921903771.184003,SO
Coal,Coal,Existing Coal 412,92.91355026,PJM_West,9,38.905053,-84.851009,Existing,94016.72457740546,32590351.864769734,2218160367.872245,SO
Coal,Coal,Existing Coal 421,134.826744,PJM_West,9,38.700049,-83.817613,Existing,22735.95323911615,7958905.036517163,882820019.9536694,SO
Coal,Coal,Existing Coal 422,41.68817601,PJM_West,9,38.700049,-83.817613,Existing,80684.86007129731,28183188.178926643,860417098.3666664,SO
Coal,Coal,Existing Coal 423,45.84847857,PJM_West,9,38.700049,-83.817613,Existing,85087.2307353586,29868063.718975857,805758676.8909128,SO
Coal,Coal,Existing Coal 424,39.49324355,PJM_West,9,38.700049,-83.817613,Existing,85087.23073535867,29868063.71897589,694069348.8965781,SO
Coal,Coal,Existing Coal 435,46.76057225,PJM_West,9,38.9794,-81.9344,Existing,105020.78970628264,37244177.51495805,1432784943.376491,SO
Coal,Coal,Existing Coal 468,32.19076745,PJM_Dom,4,36.86875,-78.70482,Existing,179792.94415533476,63420168.32421775,1236034736.949594,SO
Coal,Coal,Existing Coal 469,30.66096976,PJM_Dom,4,36.86875,-78.70482,Existing,178537.9330520659,63050346.23348337,1170956291.104988,SO
NG-CC,Gas,Existing NG-CC 1012,9.956977323,PJM_WMAC,8,40.8022,-75.1072,Existing,13637.057991762149,4349732.534810152,35631399.02425017,SO
NG-CC,Gas,Existing NG-CC 1013,10.01388295,PJM_WMAC,8,40.8022,-75.1072,Existing,13637.057991762149,4349732.534810152,35835037.84319962,SO
NG-CC,Gas,Existing NG-CC 1014,9.985430136,PJM_WMAC,8,40.8022,-75.1072,Existing,50677.25927425026,16243954.20203651,105630425.75028217,SO
NG-CC,Gas,Existing NG-CC 1020,9.493148215,PJM_WMAC,8,40.61842,-75.313775,Existing,8890.0,2695574.9999999986,21052539.21948045,SO
NG-CC,Gas,Existing NG-CC 1022,9.493148215,PJM_WMAC,8,40.61842,-75.313775,Existing,45466.43571162713,14764109.677411623,91081305.33847474,SO
NG-CC,Gas,Existing NG-CC 1023,8.079041113,PJM_ATSI,2,41.37778,-83.1655,Existing,61377.07186484966,17927781.747171506,86939295.52225274,SO
NG-CC,Gas,Existing NG-CC 1024,6.619972007,PJM_ATSI,2,41.37778,-83.1655,Existing,26020.8666644,7873428.332307995,32917727.179994367,SO
NG-CC,Gas,Existing NG-CC 1025,9.538110219,PJM_ATSI,2,41.37778,-83.1655,Existing,26020.8666644,7873428.332307995,47428132.57665763,SO
NG-CC,Gas,Existing NG-CC 1026,11.40922873,PJM_AP,1,40.545,-79.76917,Existing,8822.052920899208,2435349.538385872,22859166.640191544,SO
NG-CC,Gas,Existing NG-CC 1027,9.758405555,PJM_AP,1,40.545,-79.76917,Existing,8822.052920899208,2435349.538385872,19551630.00087525,SO
NG-CC,Gas,Existing NG-CC 1028,10.58381714,PJM_AP,1,40.545,-79.76917,Existing,35014.2597383191,10941063.115826108,73640125.06206198,SO
NG-CC,Gas,Existing NG-CC 1029,10.29009166,PJM_West,9,38.57306,-82.78472,Existing,6878.0,1737599.999999999,14709972.30036126,SO
